06年 2月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1600m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万 馬齢,,,,,,,,,,,,■10R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,立春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａブライティアミラ, 65,柴田善,, 60,  -4,*  3, 2,  4.5,⑦④④, 1, 6,Ｅライブリチチカカ, 44,小野  ,, 60,  -4,*  6, 9,103.1,⑥⑩⑪, 1,10,Ｃリザｰブカｰド, 68,柴田善,, 76,  -2,* 18, 1,  3.2,⑥⑨⑧, 1, 4,Ｆジャッキｰテｰスト, 79,藤田  ,, 82,   6,* 18, 2,  4.2,⑪⑩⑪
 2, 4,Ｂナチュラルウィン, 58,バルジ, 0.2, 58,  -6,*  3, 1,  1.7,⑥④⑥, 2, 2,Ｊサムシンググッド, 33,柴田善, 0.8, 54,  -2,* -4, 7, 24.5,⑫⑩⑩, 2,14,Ｋミストラルクルｰズ, 52,藤田  , 0.1, 73,   0,* 14, 4,  6.7,⑥⑤⑥, 2, 5,Ｊジョリｰノエル, 73,小野  , 0.0, 80,   8,* 12, 8, 22.8,⑤⑤⑤
 3,15,Ｄカネツサンバ, 47,木幡  , 0.5, 56,* -3,  -3, 7, 41.0,⑤③③, 3,11,Ｆダンシングクリス, 41,バルジ, 0.8, 54,  -1,  -7, 8, 51.9,⑩⑦⑥, 3,12,Ｍマシュリク, 49,後藤浩, 0.5, 68,*  2,   4, 5,  7.0,⑥③③, 3,10,Ｉディｰエスハリアｰ, 74,石橋脩, 0.1, 81,* 11,   6, 4,  7.2,④④③
 4, 3,Ｃルルドウォｰタｰ, 52,柴山  , 0.5, 56,  -4,  -2, 3,  7.0,③④④, 4, 9,Ｃマイネルプロメッサ, 51,松岡  , 1.0, 52,   2, -14, 3,  5.9,⑪④④, 4, 5,Ｂスピンオフ, 74,松岡  , 0.5, 67,  -2,   8, 2,  5.2,⑤⑦⑥, 4, 6,Ｃコンドルクエスト, 80,後藤浩, 0.3, 81,   9,  12, 1,  4.0,⑦⑧⑧
 5,10,Ｌファウンテンビｰト, 34,石橋脩, 0.6, 55,* -2,  -5,11, 90.4,②②②, 5,10,Ｌトウショウノｰティ, 16,菊沢徳, 1.4, 49,*  5, -23,11,208.1,①①①, 5, 9,Ｄゲイルワン, 65,北村宏, 0.6, 69,  -5,* 14, 6,  8.6,⑫⑫⑩, 4, 2,Ａロフティｰエイム, 89,松岡  , 0.3, 76,* 10,   3, 3,  4.7,②③③
 6,16,Ｇカネスキングオｰ, 43,小野  , 0.8, 52,  -8,   0,10, 86.0,⑨⑧⑧, 6,14,Ｂグレｰトアドミラル, 55,ペリエ, 1.6, 48,   2, -20, 4,  6.7,⑧④④, 6, 7,Ｇコスモスカイライン, 59,木幡  , 0.6, 66,   1,   4,10, 44.1,③③③, 6, 7,Ｌトウショウアタック, 68,小林淳, 0.5, 73,* 10,  -3,10, 40.0,②②②
 7, 6,Ｋヤマノマイラヴ, 34,吉田豊, 0.9, 51, -10,   1, 9, 80.6,⑫⑩⑩, 7, 3,Ａセラピｰ, 57,田中勝, 1.8, 48,   0, -18, 2,  3.7,⑬⑨⑥, 7, 3,Ｈメタルビｰズ, 59,江田照, 0.8, 65,  -5,  10,11, 46.1,⑪⑩⑩, 7, 1,Ｂエイシンサリヴァン, 80,吉田豊, 0.6, 76,   7,   8, 6, 12.2,⑬⑬⑪
 8,13,Ｈセイカブレイズ, 39,田中勝, 1.2, 47, -14,*  2, 8, 44.4,⑬⑭⑮, 8,13,Ｇエイシンシテンノｰ, 41,藤田  , 1.9, 46,   4, -24, 1,  2.5,③③③, 8,11,Ｅブラックシャドウ, 63,バルジ, 0.9, 63,  -2,   4, 3,  6.2,⑥⑦⑧, 8,11,Ｍドラマチックテナｰ, 64,内田博, 0.6, 73,   6,   5, 9, 29.6,⑨⑧⑧
 9, 2,Ｆカズサハｰト, 44,勝浦  , 1.2, 48,  -7,  -6,13,294.6,③⑦⑦, 9, 7,Ｎボビン, -2,後藤浩, 2.2, 41,  -1, -20, 6, 13.3,⑧④⑧, 9,15,Ａラムグレス, 80,吉田隼, 1.0, 59,  -7,   5,12, 48.7,⑩⑩⑩, 9,13,Ｋマイネルモンシェリ, 68,江田照, 0.7, 70,   8,  -2,13,119.7,⑥⑤⑤
10, 8,Ｉカネショウサンデｰ, 38,小林淳, 1.3, 46, -13,   0,12,171.2,⑩⑩⑬,10, 1,Ｈパレスソルジャｰ, 36,南田  , 2.4, 38,  -6, -17,12,220.3,⑥⑫⑫,10, 8,Ｉノボワｰルド, 58,石橋脩, 1.1, 60,*  3,  -6, 9, 35.3,②②②,10,12,Ｄウェルシュステラ, 79,バルジ, 1.0, 72,   9,  -3, 7, 13.5,⑦⑦⑤
11, 7,Ｊアルファジュリア, 37,内田博, 1.5, 46,  -8,  -7, 5, 18.7,⑧⑧⑧,11, 4,Ｄショウナンアガトス, 45,吉田豊, 2.4, 40,  -2, -21, 5, 11.2,⑤⑦⑧,11, 1,Ｊコスモワイズマン, 55,小野  , 1.1, 63, -10,* 15, 7, 30.6,⑮⑮⑮,11,14,Ｈロｰズウッド, 75,水出  , 1.1, 68,   6,  -3,14,220.4,⑫⑪⑧
12,14,Ｍタカトモカントリｰ, 31,土谷  , 1.9, 42, -11,  -8,15,433.7,⑯⑩⑩,12, 5,Ｉカイテキラボンバ, 34,柴山  , 2.6, 40,*  5, -33,10,159.9,②②②,12, 2, キタニッポン,---,内田博, 1.7, 55,  -8,   3,14,162.1,⑬⑬⑭,12, 8,Ｇハｰトランドヒリュ, 75,武士沢, 1.2, 64,   0,   5,12,100.1,⑭⑭⑭
13, 5,Ｐストレイフ,-56,吉田隼, 2.0, 38, -15,  -7,14,428.5,⑮⑯⑮,13,12,Ｍラピッドファイヤｰ, 13,大野  , 6.1,  7, -20, -31,14,361.8,③⑬⑬,13, 4,Ｆオリオンザシュネル, 60,佐藤哲, 1.8, 54,  -5,  -5, 8, 33.2,⑭⑬⑩,13, 3,Ｅレディインブラック, 79,勝浦  , 1.3, 65,   5,  -1, 5,  8.4,⑩⑪⑬
