06年 7月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,,■ 4R  芝2770m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,彦星賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａオｰデコロン, 56,村田一,, 63,*  3,* -1, 1,  1.8, ②①, 1, 5, アドニスシチｰ,,穂苅寿,,,,, 5, 11.3,⑦①①, 1, 8,Ａオンリｰワンクロス, 76,柴田善,, 76,   6,* 13, 1,  2.5,⑨⑧③, 1,10,Ａエイシンラｰジヒル, 79,武豊  ,, 78,* -4,* 21, 1,  2.3,①①①
 2, 3,Ｂパッションルンバ, 49,吉田豊, 0.4, 58,  -1,* -2, 3,  6.3, ④③, 2,10, メイショウピュｰマ,,嘉堂信, 0.4,,,, 1,  3.2,⑨⑧⑤, 2, 3,Ｊマイネルプログレス, 58,岩田康, 0.2, 73,   5,* 15, 6, 23.1,⑩⑩⑧, 2, 5,Ｆピｰスオブレグルス, 68,二本柳, 0.4, 73,  -6,* 20, 8, 34.1,⑥⑤④
 3, 2,Ｅアマゾンリブ, 41,岩田康, 1.1, 50, -10,* -1, 7, 40.5, ⑨⑨, 3,14, シルクアルディ,,蓑島靖, 0.5,,,, 7, 36.5,⑦④②, 3, 7,Ｉヤクモアクティヴ, 61,横山義, 0.3, 71,   8,   5,10,135.9,⑥⑤⑤, 3,13,Ｈメイショウシャフト, 67,勝浦正, 0.7, 65,* -5,  14, 6, 20.7,②②②
 4,15,Ｆベルモントアヴリル, 37,小林淳, 1.1, 48,  -1,  -9,10, 54.4, ④⑤, 4, 1, スガノグラスワン,,柴田大, 1.6,,,, 2,  3.6,⑨⑦⑤, 4, 9,Ｃフェラｰリセブン, 70,北村宏, 0.6, 67,*  9,  -6, 3,  4.2,②②①, 4, 2,Ｋハウンドコップ, 64,岩田康, 1.0, 64,  -6,  15, 4,  7.9,③⑤④
 5,13,Ｃコアレスボニｰタ, 46,丹内祐, 1.7, 38,*  2, -19, 2,  3.9, ①②, 5,12, ダイシンツウィギｰ,,矢原洋, 1.6,,,, 6, 29.6,⑪⑫⑨, 5, 4,Ｅマイネルシルバｰト, 63,佐藤聖, 1.1, 60,   7, -12, 9, 71.5,②③③, 5,11,Ｃタイキスピリッツ, 70,北村宏, 1.0, 62,* -5,  13, 2,  3.9,③③③
 6, 6, ヤワタシルバｰ,---,勝浦正, 2.1, 36,*  0, -20, 4, 12.8, ③③, 6, 8, レッツゴｰアテネ,,金子光, 1.8,,,,13,121.9,⑥③④, 6, 1,Ｄジュンノホｰプ, 67,蓑島靖, 1.3, 61,   8, -12, 4, 11.1,④④⑤, 6, 8,Ｄフミノブルｰスカイ, 70,吉田隼, 1.4, 60,  -7,  13, 5, 12.1,⑦⑦⑧
 7, 4, アザミジョウ,---,石橋脩, 2.1, 40, -24,*  1,11, 59.1, ⑭⑬, 7, 4, ショウナンキング,,柴田未, 1.9,,,,12,105.1,④⑤⑤, 7, 6,Ｇファントムオペラ, 62,田辺裕, 1.5, 61,   8, -13, 7, 33.6,⑥⑤⑤, 7,14,Ｍタイキコジャック, 60,田中博, 1.5, 56,  -5,   9,15,315.6,③③⑥
 8, 1,Ｄシｰスケｰプ, 41,中舘英, 2.1, 36,  -7, -14, 9, 50.4, ⑦⑦, 8,13, シルクトラベラｰ,,今村康, 2.1,,,, 3,  4.4,⑤⑧⑧, 8, 2,Ｂマイネルピカドｰル, 71,武豊  , 1.6, 60,* 10, -22, 2,  3.0,①①②, 8,15,Ｌシルクミッドナイト, 61,小野次, 1.6, 61,  -9,  15,14,236.8,⑩⑫⑪
