06年12月24日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月24日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾘｽﾏｽｷｬﾛﾙ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄニシオハンセル, 49,高橋亮,, 58,*  1,  -9, 3, 14.8,①①①, 1, 1, パレスチャンピオン,,水出大,,,,, 9, 35.2,①①①, 1, 8,Ａタケショウヤマト, 70,吉田隼,, 70,*  5,   0, 3,  4.3, ②②, 1,10,Ｃナスノストロｰク, 75,ルメｰ,, 77,*  3,  13, 1,  3.5, ④③
 2,15,Ａアドマイヤミリオン, 61,後藤浩, 0.2, 55,  -1,* -8, 1,  1.3,②②②, 2,13, ベストグランチャ,,穂苅寿, 0.0,,,, 1,  2.0,②②②, 2, 3,Ｉユウアイラ, 57,吉田稔, 0.0, 69,   3,   4, 6, 16.3, ⑤⑤, 2,15,Ｂホッコｰパドゥシャ, 75,後藤浩, 0.2, 70,*  5,   7, 5, 10.7, ②①
 3, 7,Ｃマルブツゴｰルド, 50,長谷川, 0.6, 51,  -4,* -6, 4, 18.0,⑪⑨⑦, 3,11, メイショウタロｰ,,嘉堂信, 0.3,,,, 4,  7.9,⑧⑥⑤, 3, 4,Ｂメモリｰセレソン, 68,川原正, 0.3, 65,   1,   3, 4,  9.0, ⑨⑩, 3,11,Ａジャッキｰテｰスト, 76,藤岡佑, 0.4, 86,  -5,* 24, 4,  7.5, ⑭⑮
 4,13,Ｅマヤノビャッコ, 48,北村宏, 0.9, 49,  -2, -12, 6, 18.8,⑩⑦⑤, 4,12, キタサンブシドウ,,高田潤, 1.0,,,, 3,  6.9,②③③, 4,11,Ｊスナｰクムサシ, 55,高橋亮, 0.5, 61,  -3,*  6,13, 60.1, ⑭⑫, 4, 3,Ｍマイハッピｰクロス, 67,本田優, 0.4, 82,  -4,* 21, 8, 17.2, ⑭⑬
 5,11,Ｐロングアキレス,-22,吉田隼, 0.9, 47,  -6,* -7,13,250.1,⑫⑫⑩, 5, 6, ビジネスサイクル,,宗像徹, 1.3,,,, 5, 15.2,⑧⑦⑦, 5, 9,Ｍハリｰダンカン, 53,後藤浩, 0.5, 61,  -3,*  7,10, 39.4, ⑭⑮, 5, 8,Ｉマイネルバシリコス, 70,吉田稔, 0.5, 74,  -1,  14, 9, 23.1, ⑫⑪
 6, 9,Ｊフィｰルドマｰチ, 35,小林徹, 1.2, 48,*  0, -19,14,311.5,②②④, 6, 5, エイシンペキン,,西谷誠, 1.3,,,, 2,  4.5,⑤④③, 6,14,Ｌフミノウインダム, 54,本田優, 0.5, 63,   1,   1, 1,  3.3, ⑨⑧, 6, 4,Ｋハギノメトロポリス, 69,モンテ, 0.5, 69,   1,  10,12, 69.1, ⑧⑥
 7, 8,Ｈジョリｰレイジ, 36,本田優, 1.3, 46,  -4, -12,11,122.4,⑧⑨⑩, 7, 3, サフランブリザｰド,,今村康, 1.6,,,, 8, 30.5,⑥⑤⑤, 7,10,Ｎノｰヴァｰチャル, 51,長谷川, 0.5, 62,  -2,*  5,14,109.3, ⑬⑭, 7, 5,Ｅクリソプレｰズ, 74,秋山真, 0.6, 68,   0,  10, 6, 12.8, ⑧⑧
 8,10,Ｋマイティｰバッカス, 33,藤岡佑, 1.3, 46,  -2, -17, 7, 29.1,⑦⑤⑤, 8, 8, ランドブラザｰ,,菊地昇, 3.2,,,, 6, 24.2,⑫⑪⑩, 8,15,Ｇライモン, 59,秋山真, 0.7, 62,   2,  -2,11, 43.3, ⑧⑧, 8,14,Ｈダブルキング, 71,吉田隼, 0.6, 63,*  5,   0,10, 43.8, ①②
