06年 7月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 4R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,洛北特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｊワンダｰカルメン, 37,後藤浩,, 67,*  5,* -3, 5, 14.3, ②②, 1,10,Ｈサフランキセキ, 48,上村洋,, 63,  -2,*  8,11, 62.0, ⑫⑪, 1,14,Ｅアミリス, 65,後藤浩,, 70,  -4,* 15, 3,  7.2, ⑩⑥, 1, 5,Ｉアグネスツイスタｰ, 67,福永祐,, 83,  -5,* 24, 1,  2.3, ⑪⑫
 2, 9,Ｈエイユｰミュｰズ, 41,太宰啓, 0.4, 65,*  7,  -9, 3,  5.5, ①①, 2, 9,Ｅサンライズヤマト, 52,後藤浩, 0.1, 63,   0,*  3, 5,  7.9, ⑩⑧, 2,12,Ａフォルテピアノ, 71,上村洋, 0.4, 66,   0,*  6, 1,  2.0, ⑦⑤, 2,10,Ｌオグリシルク, 56,佐藤友, 0.2, 77,  -5,* 21,13,126.3, ⑭⑫
 3,16, ヤマニンファセット,---,福永祐, 0.5, 58,   1,  -4, 2,  3.4, ⑤⑤, 3, 6,Ｊワンダｰポテンシア, 46,小池隆, 0.5, 57,   0,* -3, 9, 27.6, ⑩⑪, 3, 1,Ｄケイティｰズギフト, 66,佐藤哲, 0.6, 71,*  9,  -4, 6, 14.0, ①①, 3, 8,Ａヘラクレスバイオ, 75,池添謙, 0.3, 64,*  0,   8, 3,  9.1, ①①
 4, 8,Ｃキシュウレグルス, 52,川田将, 0.5, 59,   2,  -6, 6, 18.5, ③③, 4,16,Ｃメイケイハクオｰ, 55,田嶋翔, 0.6, 60,*  7, -14, 6,  9.1, ②②, 4,16,Ｆミヤジアイ, 65,和田竜, 1.1, 65,*  8,  -8, 7, 17.7, ③②, 4, 9,Ｈスペラｰレ, 68,上村洋, 0.3, 69,  -2,  14, 2,  4.3, ⑥③
 5, 5,Ｂジュエリｰクイｰン, 54,幸英明, 0.7, 54,  -2,* -3, 4,  7.2, ⑧⑦, 5,14,Ｇトミケンカイドウ, 51,熊沢重, 0.7, 57,   5, -12, 7, 12.1, ④④, 5,15,Ｇクィｰンマルトク, 61,池添謙, 1.1, 61,   3,  -3,10, 63.8, ④④, 5, 1,Ｊクリソプレｰズ, 64,生野賢, 0.4, 73,  -5,  18, 4, 10.3, ⑪⑫
 6, 4,Ａトップアクトレス, 60,和田竜, 0.8, 57,   3,  -9, 1,  3.0, ③③, 6,17,Ｍヒルノラポストｰル, 39,高野容, 0.9, 53,   2, -12,16,289.6, ⑦⑧, 6, 7,Ｍニシノレｰスメイク, 49,幸英明, 1.5, 55,  -4,   0,15,185.0, ⑫⑧, 6,11,Ｄメジロラガマフィン, 72,幸英明, 0.5, 67,  -3,  14, 8, 15.6, ⑧⑦
 7, 3,Ｅヤマニンビアンカ, 48,酒井学, 0.8, 55,   1,  -7, 9, 29.7, ⑤⑤, 7, 7,Ａファストインパルス, 63,和田竜, 0.9, 53,   2, -12, 2,  4.7, ⑦④, 7, 6,Ｈヤマニンファビュル, 58,渡辺薫, 1.5, 52,  -7,   1, 2,  5.0, ⑬⑫, 7, 6,Ｂケｰジｰツヨシ, 73,後藤浩, 0.5, 64,  -1,   9, 7, 14.8, ③③
 8,10,Ｆメイショウガラシャ, 44,石橋守, 0.9, 51,  -7,* -1,10, 43.9, ⑩⑩, 8,18,Ｂシゲルダイノウカイ, 55,池添謙, 1.1, 55,*  9, -24, 8, 18.2, ①①, 8,11,Ｏワイドエンプレス, 46,熊沢重, 1.5, 53,  -6,   2,16,194.2, ⑬⑭, 8, 2,Ｆメイショウナイト, 70,高橋亮, 0.7, 62,  -4,  10, 5, 11.3, ⑧⑦
