06年 5月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.7,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.2,,,,,■ 7R  ダ1200m 4歳上500万(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  芝2400m 4歳上500万(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,荒川峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃマイネルハイアップ, 49,柴山雄,, 54,* -3,* -3, 1,  2.2,①①①, 1, 1,Ａコアレスソニック, 53,中舘英,, 64,   3,   2, 1,  2.8, ③②, 1, 8,Ｍハギノトリオンフォ, 58,芹沢純,, 75,* 12,   2, 8, 17.7, ③②, 1, 5,Ａラムタラプリンス, 70,中舘英,, 65,*  8,* -7, 1,  1.6,②②②
 2, 8,Ｄタｰキｰ, 44,中舘英, 0.3, 52,* -5,* -4, 2,  3.2,②②②, 2,10,Ｍニホンピロヒリュウ,  9,塚田祥, 0.0, 55,  -5,*  6, 9, 44.6, ⑧⑧, 2, 7,Ｉランドベスト, 61,村田一, 0.2, 63,   0,* 11, 5, 12.0, ⑪⑪, 2, 7,Ｊバンチフラワｰ, 52,穂苅寿, 0.7, 58,   5,* -8,10,140.0,⑦⑥⑥
 3, 7,Ｈブラックナイト, 31,田中博, 1.0, 42,  -9,  -9, 8, 61.1,⑤⑥⑥, 3, 6,Ｂアトス, 53,木幡初, 0.2, 55,  -4,*  6, 2,  3.3, ⑩⑩, 3,12,Ｆハリアｰズリベンジ, 65,田辺裕, 0.3, 67,   6,   4, 4, 10.3, ⑥⑥, 3,10,Ｂメジロテディベア, 66,高橋智, 0.8, 55,*  9, -23, 2,  5.0,①①①
 4, 3,Ｂハセノビリｰブ, 52,石橋脩, 1.1, 44,  -6, -13, 3,  4.4,③③③, 4, 9,Ｅベルモントキャスカ, 46,吉田隼, 0.3, 57,   2,  -4, 7, 23.8, ③④, 4, 4,Ｂレオマジック, 70,柴山雄, 0.4, 69,  10,   0, 2,  4.0, ④④, 4, 6,Ｃシベリアンエンゼル, 65,吉田隼, 0.8, 56,   6, -14, 3,  6.6,④④④
 5, 5,Ｅアタゴイチバンボシ, 41,村田一, 1.6, 40,  -8, -13, 5, 10.8,⑦⑦⑧, 5,14,Ｄファｰストダンス, 48,水出大, 0.4, 59,*  8, -12, 3,  6.4, ①①, 5,10,Ｇゲイリｰミニスタｰ, 65,和田竜, 0.5, 62,   3,   5,10, 32.7, ⑧⑧, 5, 8,Ｄサムライジョｰイ, 63,土谷智, 1.0, 55,   5, -12, 8, 45.0,⑦⑥⑥
 6, 2,Ｆカイエンタイ, 39,大野拓, 1.8, 32,  -8, -24, 9, 71.1,⑥③④, 6,13,Ｎトップアクトレス,  4,和田竜, 0.5, 53,  -1,  -1,13, 98.8, ⑤⑤, 6, 6,Ｃサキノリュウオｰ, 70,丹内祐, 0.7, 67,* 12,  -7, 7, 17.5, ①①, 6, 2,Ｈグリッタｰロック, 56,赤木高, 1.2, 52,*  8, -25, 4, 11.2,③②②
 7, 6,Ｉムッシュデアマンテ, 30,和田竜, 2.3, 33,  -8, -24, 6, 49.7,⑦⑦⑦, 7,11,Ｈコスモタック, 38,石橋脩, 0.5, 54,   0,  -3, 4,  7.3, ⑤⑦, 7, 3,Ｎマチカネキシン, 53,塚田祥, 1.5, 41,  -8,   3,15,272.1, ⑭⑬, 7, 1,Ｇマイネルナタｰレ, 60,木幡初, 1.3, 52,   3, -11, 7, 29.5,⑨⑨⑩
 8, 1,Ａワイルドバニヤン, 53,吉田隼, 2.9, 21,  -8, -40, 4, 10.2,④③④, 8,16,Ｊステイトゲスト, 25,田辺裕, 0.6, 47,  -8,   3, 8, 27.4, ⑫⑪, 8,14,Ｄメルボルンシチｰ, 68,吉田隼, 1.6, 50,   3,  -8, 3,  5.8, ⑧⑧, 8, 3,Ｉシルククロノグラフ, 55,長谷川, 1.3, 51,   5, -17, 9, 77.9,④⑥⑧
