06年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 別定,,,,,,,,,,,,■10R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,睦月賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇメイショウフウライ, 44,飯田  ,, 61,  -7,*  4, 4,  8.9,④⑤⑤, 1, 3, ノボリハウツｰ,,西谷  ,,,,, 1,  2.7,②①①, 1, 3,Ｂダンスアジョイ, 67,松永  ,, 73,  -3,* 12, 2,  3.8,⑦⑦⑤, 1, 6,Ｊヒシルｰシッド, 70,福永  ,, 75,   2,  14, 6, 13.9,④④④
 2,11,Ｂワンダｰプロ, 52,小牧太, 0.0, 61,  -8,*  5, 2,  3.0,④⑤⑤, 2, 5, ニシノニシｰノ,,植野  , 0.3,,,, 6, 14.2,③③②, 2, 5,Ａイエス, 70,安部幸, 0.0, 71,* -2,* 10, 1,  3.8,⑦③③, 2, 1,Ｂトウカイエリｰト, 83,池添  , 0.0, 79,   2,  20, 2,  3.8,⑤⑤⑤
 3, 2,Ａクレバｰジェフリｰ, 60,幸    , 0.1, 60,* -4,   0, 1,  2.6,①①①, 3, 1, テイエムサムライ,,出津  , 1.1,,,,12, 85.8,⑨⑦⑦, 3,14,Ｇセレスクラブ, 63,小牧太, 0.2, 67,*  0,   5, 9, 40.9,①①①, 3, 8,Ｃグレｰトボヤｰジュ, 82,武豊  , 0.2, 78,  -3,* 28, 1,  3.4,⑨⑨⑨
 4, 9,Ｆロングエンパイヤ, 44,河北  , 0.9, 51, -14,   2, 7, 17.3,⑩⑨⑨, 4, 4, クラシックブレｰド,,蓑島  , 1.3,,,, 7, 15.7,⑪⑦④, 4,10,Ｉサクラスフィｰダ, 62,幸    , 0.2, 69,* -2,   8, 6, 10.9,③③③, 4, 2,Ｄトウカイカムカム, 79,松永  , 0.3, 76,   1,  17, 3,  4.7,⑥⑥⑤
 5, 7,Ｍペプチドジャスミン, 22,小坂  , 0.9, 52,* -5,  -7, 9,174.5,②②②, 5, 9, スリｰブラボｰ,,小坂  , 1.3,,,, 5,  8.9,①①③, 5, 6,Ｋワイルドライフ, 61,藤岡  , 0.3, 69,  -3,   9, 7, 18.5,⑦⑦⑤, 5, 9,Ｆサムタイム, 78,小林徹, 0.7, 68,  -3,  15, 9, 50.9,⑦⑦⑦
 6, 5,Ｄケイアイシュンライ, 47,佐久間, 0.9, 48, -11,  -4, 8, 35.4,⑦⑦⑦, 6, 6, ブライアンスキｰ,,南井  , 2.7,,,, 2,  4.1,⑦⑩⑨, 6, 1,Ｃヤマニンコｰリング, 66,上村  , 0.6, 67,  -4,   9, 3,  5.2,⑫⑪⑫, 6, 3,Ａマヤノリバティ, 87,藤岡  , 0.9, 67,  -2,  13, 5,  8.2,⑦⑦⑦
 7, 1,Ｋアイファｰドラゴン, 33,安部幸, 1.0, 50, -10,  -3,12,230.8,⑦⑦⑦, 7,14, ドｰルキャッスル,,黒岩  , 3.0,,,,11, 57.9,⑬⑬⑬, 7,11,Ｄマルタカドリｰム, 66,岡部誠, 0.9, 62,  -3,   4, 8, 29.6,⑦⑦⑧, 7, 4,Ｉキャッチザゴｰルド, 71,幸    , 1.1, 62,   7, -18,10, 80.7,③③③
 8, 8,Ｅナムラバビロン, 45,小林徹, 1.0, 51,  -6,  -7, 5, 13.0,③③②, 8,12, ニシノサチヒメ,,林    , 3.3,,,, 4,  7.6,③③④, 8, 8,Ｅメンデル, 64,武豊  , 0.9, 66,  -6,* 10, 4,  7.6,⑮⑭⑬, 8, 5,Ｈミキノマｰベラス, 74,須貝  , 1.2, 58,* 12, -37, 7, 34.5,①①①
 9, 3,Ｉストロングパワｰ, 38,武英  , 1.2, 47, -16,   1,11,182.0,⑩⑪⑪, 9, 8, テンエイゴｰルド,,今村  , 3.3,,,, 9, 29.5,⑦⑥⑦, 9, 4,Ｎフルブラッサム, 55,四位  , 1.1, 60,  -4,   3,13, 54.6,⑥⑦⑧, 9, 7,Ｅケｰジｰツヨシ, 79,安藤勝, 1.3, 57,*  9, -30, 4,  4.8,②②②
