06年12月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃクリノスミレレディ, 49,塚田祥,, 44, -11,* -5, 4, 15.1,⑧⑦⑦, 1, 3, フサイチカムｰン,---,小野次,, 66,* -3,*  9, 4,  9.7,①①①, 1,11,Ｂモンテチェリｰ, 68,柴田善,, 82,* 11,*  8, 2,  3.7, ②①, 1, 4,Ｄシルククルセイダｰ, 80,後藤浩,, 83,* -5,* 27, 2,  3.8,⑪⑥④
 2,11,Ａケルティックハｰプ, 55,柴田善, 0.2, 45,* -8,* -9, 1,  1.5,③②②, 2,13, ダイワルビア,---,田中勝, 0.0, 66,* -4,*  9, 1,  2.5,③②②, 2, 8,Ｆフリｰモア, 60,松岡正, 1.1, 62,  -9,* 16,11, 62.9, ⑬⑫, 2,14,Ｊベルｰガ, 73,松岡正, 0.1, 80,* -5,* 25, 6, 23.9,⑦③②
 3,13,Ｂキャプテンドリｰム, 51,木幡初, 0.6, 41,  -9, -11, 3, 11.2,⑤④④, 3, 1, ティンバｰセブン,---,坂井英, 2.9, 43,  -5, -15, 8, 30.3,③④③, 3, 5,Ｅシルクエレメント, 62,大野拓, 1.2, 64,   5,   0, 9, 40.0, ⑥④, 3, 6,Ｍカオリノｰブル, 73,田中剛, 0.3, 77,* -5,  24, 9, 36.7,②③④
 4, 9,Ｌグランドアムｰル, 26,吉永護, 0.9, 39,* -8, -16,11,173.3,②②①, 4, 8, タカミツバｰディ,---,武士沢, 4.2, 34,* -4, -29, 5, 15.4,②②④, 4,12,Ｄガッサンルｰブル, 66,吉田隼, 1.4, 61,   1,   2, 3,  5.3, ⑨⑨, 4, 2,Ａトラストジュゲム, 84,田中勝, 0.3, 82,  -6,* 26, 1,  2.3,⑤⑧④
 5, 2,Ｉサンバリズム, 39,的場勇, 1.1, 33, -15,* -8, 9, 63.8,⑯⑮⑫, 5, 5, ハワイアンボｰイ,---,柴田善, 4.4, 32, -10, -19, 3,  9.2,⑧⑦⑥, 5, 7,Ｋロｰドセレブレイト, 55,田中勝, 1.5, 61,   2,   2, 5,  8.8, ⑨⑦, 5, 1,Ｈモエレアドミラル, 76,小島太, 0.5, 70,* -4,  20,11, 77.1,①①①
 6,14,Ｈサクラブルｰム, 41,大野拓, 1.1, 36, -10, -17, 7, 34.9,⑥④④, 6, 6, サドラｰズボｰイ,---,大野拓, 4.4, 31, -13, -17,10, 52.2,⑬⑫⑦, 6,15,Ｍグレｰトモア, 48,坂井英, 1.7, 58,   0,   2, 6, 17.1, ⑪⑩, 6, 7,Ｇスズカジョリｰズ, 77,小林徹, 0.5, 79,  -7,* 26, 7, 27.8,⑧⑪⑧
 7, 1,Ｍペブルスショウリ, 26,田面木, 1.4, 34, -12, -14,13,199.0,⑭⑨⑧, 7, 2, ルクラｰジュ,---,江田照, 4.4, 32, -10, -20, 9, 40.2,⑦⑦⑤, 7,16,Ｃタケショウヤマト, 68,塚田祥, 1.7, 61,   8,  -8, 4,  6.2, ③④, 7,11,Ｎスウォｰドキャット, 73,木幡初, 0.7, 68,* -4,  19, 5, 13.7,②②②
 8, 7,Ｅナミノオト, 46,松岡正, 2.1, 30, -14, -16, 6, 32.2,⑮⑮⑪, 8, 4, タｰブルロンド,---,後藤浩, 5.2, 27, -11, -26, 2,  2.7,⑪⑩⑫, 8,10,Ｇシンボリプロキオン, 58,田中博, 1.7, 55,  -8,*  7, 7, 18.7, ⑫⑫, 8,16,Ｐスタｰマｰケット, 70,武士沢, 0.8, 69,* -5,  20,15,186.0,⑤⑥⑧
