06年 4月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■ 7R  芝1800m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■10R  ダ1700m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂテイエムポラリス, 58,和田竜,, 62,  -2,*  4, 2,  3.0, ⑦⑤, 1, 1,Ｂカヤドｰノアｰル, 54,木幡初,, 62,* -5,*  9, 3,  5.1,①①①, 1, 9,Ｅマイネピュｰル, 68,吉田隼,, 63,   5,  -5, 4, 11.7,⑤③②, 1,12,Ｋヒシハイグレｰド, 56,小林淳,, 71,*  6,*  5, 7, 16.9,②①①
 2, 6,Ｄマイティｰキラｰ, 48,鮫島良, 0.0, 61,*  1,  -1, 7, 18.9, ①②, 2,12,Ｇアドマイヤセナ, 43,石橋脩, 0.6, 59,  -9,* 10, 4,  6.7,⑩⑦⑥, 2, 8,Ａエレアシチｰ, 73,村田一, 0.0, 67,   1,*  8, 3, 10.1,⑭⑭⑪, 2, 2,Ａフィｰルドオアシス, 67,柴山雄, 0.8, 65,   2,*  3, 1,  2.6,⑧⑦⑦
 3,14,Ａメダイユドｰル, 59,石橋脩, 0.3, 59,   0,  -1, 1,  2.7, ④④, 3, 2,Ａオペラボイス, 56,塚田祥, 0.7, 53,* -8,   3, 1,  3.0,②②②, 3,12,Ｇミスティラブ, 64,中村将, 0.1, 61,   4,  -4,14, 69.8,⑧⑥⑤, 3,11,Ｈマイイｰジス, 58,大西直, 1.1, 62,*  6,  -7, 9, 25.0,①①①
 4, 5,Ｉモルゲンシチｰ, 39,小林徹, 0.7, 52, -12,*  5,12, 96.5, ⑭⑬, 4, 8,Ｅトシツカサオｰ, 47,小林徹, 0.8, 57,  -8,*  6, 7, 13.7,④⑤③, 4,13,Ｃガラディナｰ, 70,赤木高, 0.3, 62,*  9, -12, 2,  5.4,①①①, 4,14,Ｊナムラバビロン, 57,小林徹, 1.4, 61,   4,  -5,10, 27.5,⑤④③
 5, 9,Ｇバクシンホｰプ, 42,長谷川, 0.8, 54,*  1,  -7, 6, 18.1, ①②, 5,13,Ｈグリｰンアラモｰド, 35,柴山雄, 1.5, 49,* -7,  -3, 2,  4.9,④②③, 5,11,Ｊコスモキララ, 62,松岡正, 0.3, 63,   5,  -3, 6, 23.2,⑧⑥⑤, 5, 9,Ｃゼンノマルビナス, 63,和田竜, 1.6, 59,   3,  -6, 2,  3.6,⑧④③
 6, 1,Ｅスｰパｰペガサス, 45,赤木高, 0.9, 54,*  2,  -9, 3,  6.6, ①①, 6,15,Ｆメｰクアポイント, 43,鮫島良, 1.7, 47, -10,  -2, 9, 38.9,⑦⑦⑥, 6, 4,Ｌキョウワノスタｰ, 61,田嶋翔, 0.6, 59,   3,  -5,12, 60.6,⑪⑩⑨, 6, 7,Ｄエスエスウィナｰ, 60,石橋脩, 1.6, 59,  -2,*  4, 8, 17.2,⑮⑫⑪
 7,11,Ｍキングシェｰバｰ, 32,北村浩, 0.9, 51,  -5,  -3,13,209.1, ⑨⑨, 7, 3,Ｍリバｰサウンド, 11,長谷川, 1.8, 47,  -8,  -4,11, 76.5,④⑤⑥, 7,16,Ｄレフィナｰダ, 70,塚田祥, 0.6, 55,   6, -16, 1,  1.7,③③②, 7, 6,Ｏマチカネノワキ, 53,梶晃啓, 1.6, 59,*  5,  -9, 6, 16.5,⑥③③
 8,15,Ｊカシマワンダｰ, 36,柴山雄, 1.2, 47,  -5,  -6, 4,  7.5, ⑨⑪, 8,11, クロワシジョｰ,---,赤木高, 2.3, 44, -10,  -5,10, 51.6,⑭⑩⑩, 8,15,Ｂタイニｰモデル, 72,木幡初, 0.9, 56,   6, -15, 9, 32.6,⑤⑤④, 8,15,Ｉカブキメｰク, 57,田面木, 1.7, 58,   3,  -7,14, 91.0,③④③
