06年 6月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1600m 4歳上1000万(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葉山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃヒシレｰシｰ, 56,加藤士,, 66,*  5,* -3, 5,  9.8, ②①, 1, 9, サンダｰロｰル,,田中剛,,,,, 1,  2.3,②②②, 1, 8,Ｃインベスタｰ, 64,横山典,, 71,  -3,* 13, 1,  2.3, ④④, 1, 2,Ｂヒカルベガ, 85,横山典,, 92,* 10,* 21, 1,  2.1, ④②
 2, 6,Ａベロｰチェ, 61,吉田隼, 0.4, 59,*  2,* -6, 1,  2.4, ②③, 2,12, シャフツベリｰ,,柴田大, 0.3,,,, 3,  5.5,①①①, 2,10,Ｉブレイバｰ, 53,岩田康, 0.0, 74,  -5,* 15, 5, 19.2, ⑥⑤, 2,15,Ａスズカフェニックス, 87,武豊  , 0.0, 92,   8,* 24, 2,  2.3, ④⑤
 3, 4, スクデットキング,---,津村明, 0.8, 52,  -3,* -4, 7, 18.7, ⑨⑨, 3, 2, タイキダイナスティ,,横山義, 1.3,,,, 2,  2.7,⑦⑧⑥, 3,16,Ｂデスバラｰド, 67,内田博, 0.6, 60,* -2,   5, 3,  5.0, ②②, 3,14,Ｃディアチャンス, 78,藤田伸, 0.8, 81,   6,  14, 3, 14.1, ⑦⑦
 4, 3,Ｌネゴシエｰション, 10,田辺裕, 1.2, 53,   1, -10,12, 81.5, ⑫⑥, 4,14, マイハマムスメ,,南井大, 1.8,,,,10, 89.2,⑩⑩⑨, 4, 1,Ｄロｰレルエルドラド, 63,田辺裕, 0.6, 69,  -8,* 14,10, 63.7, ⑭⑬, 4, 4,Ｅマイネエストレヤ, 75,幸英明, 1.0, 80,   4,  16,10, 75.4, ⑩⑩
 5,10,Ｂオンワｰドリリカ, 58,大野拓, 1.5, 45,  -2, -13, 4,  8.7, ④⑧, 5, 7, ヤサカフレッシュ,,蓑島靖, 1.9,,,, 8, 56.4,③④⑤, 5,11,Ｊワインアドバイザｰ, 51,津村明, 1.3, 52,* -3,  -2,11, 66.8, ③③, 5, 1,Ｆガッテンワン, 71,柴田善, 1.0, 81,   2,* 19, 4, 15.1, ⑫⑬
 6, 9,Ｆエルプリメロ, 49,石神深, 1.5, 48,   1, -13, 6, 18.0, ⑦⑥, 6, 4, ハウルサンダｰ,,沢昭典, 2.4,,,, 7, 43.6,⑤③③, 6, 4,Ｇディスイズザライフ, 57,藤田伸, 1.3, 58,  -8,   9, 8, 54.8, ⑬⑬, 6,13,Ｋアルシャトル, 66,岩田康, 1.0, 78,   7,  10, 9, 73.8, ⑥⑤
 7,13, ツカサオウカ,---,塚田祥, 1.8, 41,  -5, -12,13,201.0, ⑨⑪, 7, 5, クｰカイ,,穂苅寿, 2.5,,,, 4,  9.6,⑤④④, 7, 2,Ａチェルケッティ, 70,武豊  , 1.3, 54,  -4,   2, 2,  3.6, ⑥⑤, 7,11,Ｄビッグファルコン, 75,芹沢純, 1.1, 76,* 11,   2, 5, 18.7, ②②
 8, 5,Ｉベルモントクリｰム, 39,柄崎将, 1.9, 42,  -5, -11,15,329.5, ⑮⑬, 8, 8, アドニスシチｰ,,小林慎, 2.6,,,, 6, 39.1,⑪⑫⑪, 8,12,Ｅトｰセンジュビリｰ, 59,吉田豊, 1.4, 54,  -5,   3, 4,  7.7, ⑥⑨, 8, 6,Ｇファイトザパワｰ, 70,本田優, 1.4, 74,   6,   7, 7, 49.5, ⑦⑦
 9, 1,Ｈエフテｰクリニック, 48,佐藤聖, 2.6, 37,*  2, -28, 8, 29.5, ④③, 9, 1, ダｰジリンクロス,,鈴木慶, 2.7,,,,14,272.1,⑭⑪⑩, 9, 6,Ｌマルブツボｰイ, 49,勝浦正, 1.4, 57,  -8,   8,15,297.3, ⑯⑬, 9, 8,Ｍアグネスプラネット, 61,池添謙, 1.6, 71,   4,   5,14,241.1, ⑫⑩
10, 7,Ｊキｰンライアン, 33,南田雅, 3.4, 30,  -7, -24,10, 46.1, ⑭⑭,10,13, スガノグラスワン,,矢原洋, 4.6,,,,12,128.5,③④⑥,10, 3,Ｎモトメチャン, 48,木幡初, 1.5, 53,  -6,   4,14,206.8, ⑩⑩,10, 3,Ｐニシノアレックス, 49,津村明, 1.7, 71,   4,   6,15,287.0, ⑩⑩
11, 2,Ｇシｰスケｰプ, 48,千葉直, 3.5, 27,  -8, -26,11, 66.0, ⑫⑭,11, 3, トウショウシュｰト,,江田勇, 4.9,,,, 5, 26.8,⑨⑦⑧,11, 7,Ｏウインドストｰム, 48,蛯名正, 1.5, 53,  -6,   4, 6, 20.2, ⑩⑩,11, 7,Ｊチュウシングラ, 67,江田照, 1.8, 70,   2,   7,12, 91.5, ⑭⑬
12,15,Ｋキｰプスマイリング, 32,蓑島靖, 4.3, 22,  -1, -39,16,347.4, ⑦⑨,12, 6, ヤクモラヴ,,平沢健, 6.2,,,,11, 97.0,⑬⑬⑫,12, 9,Ｆシャドウビｰチ, 58,幸英明, 1.5, 52,  -5,   1, 7, 42.3, ⑥⑤,12,12,Ｌトレオウオブキング, 64,内田博, 1.8, 70,   2,   7, 8, 64.5, ⑭⑬
13,11, マイネルヘルシャｰ,---,高野和, 5.4,-45, -31, -19,14,217.2, ⑯⑯,13,10, エフジｰストロング,,白坂聡, 8.7,,,,13,152.4,⑪⑭⑬,13,15,Ｋイイデカミノヤマ, 50,四位洋, 2.2, 49, -11,   4, 9, 58.8, ⑭⑯,13, 9,Ｈゴｰルドサンセット, 68,吉田豊, 2.1, 63,* 12, -14, 6, 29.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｈタイインテンスリｰ, 54,中谷雄, 2.6, 48,* -1, -16,12, 99.8, ①①,14,16,Ｉオｰクルｰム, 67,田中勝, 2.3, 61,   6,  -9,11, 88.0, ⑨⑦
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｍモルフェワルツ, 49,柴山雄, 2.7, 45,  -4, -12,16,361.9, ⑤⑤,15,10,Ｎマリアｰジュシチｰ, 59,石橋脩, 2.8, 54,* 11, -24,13,189.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｐジェンハオサイマ, 45,北村宏, 3.3, 42,  -7, -13,13,159.2, ⑩⑫,16, 5,Ｏストレイラルホｰク, 56,中谷雄, 2.9, 56,  -1,  -6,16,296.7, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
単勝:980円 複勝:08=270円 06=120円 04=500円 枠連:870円,,,,,,,,,,,,単勝:230円 複勝:09=110円 12=130円 02=130円 枠連:410円,,,,,,,,,,,,"単勝:230円 複勝:08=130円 10=410円 16=170円 枠連:1,410円",,,,,,,,,,,,単勝:210円 複勝:02=100円 15=110円 14=220円 枠連:170円,,,,,,,,,,,
