06年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａヒシポラリス, 65,田中勝,, 56,* -8,*  3, 1,  1.4,③②①, 1, 5, セイコｰスペシャル,---,柴田善,, 62,*  2,* -2, 1,  2.9, ①②, 1,10,Ｂサクラマジェスティ, 69,蛯名正,, 69,   5,*  3, 3,  7.8,⑩⑤③, 1, 3, マルカラスカル,,西谷誠,,,,, 2,  6.0,①①①
 2,12,Ｆベルグミサイル, 47,武士沢, 0.3, 53, -10,*  3,10, 59.5,⑥⑤⑥, 2,16, ウイビリｰブ,---,小野次, 0.3, 58,  -1,* -3, 7, 21.2, ③③, 2,11,Ｃレゴラス, 69,横山典, 0.0, 70,*  7,  -1, 1,  2.5,②②①, 2,11, メルシｰエイタイム,,小坂忠, 1.0,,,, 1,  3.1,⑩④②
 3, 7,Ｇウインデュｰク, 45,蛯名正, 1.3, 45, -10,  -5, 7, 30.1,⑪⑥④, 3, 2, ホウキボシ,---,後藤浩, 1.0, 48,*  2, -12, 3,  5.1, ②①, 3,16,Ａラヴサンシャイン, 72,木幡初, 0.2, 68,*  5,   0, 2,  2.7,⑥④⑤, 3, 7, アグネスハット,,田中剛, 1.1,,,, 4,  6.9,⑥⑥④
 4, 4,Ｉエスデイブレイク, 42,高山太, 1.4, 43, -14,*  0,11, 92.8,⑬⑬⑪, 4, 3, ダノンブライアン,---,上村洋, 1.1, 47,  -2, -10, 2,  3.7, ⑤③, 4, 5,Ｋラッキｰショウリ, 57,柄崎将, 0.3, 65,   1,*  7,13,154.8,⑩⑩⑨, 4,16, テレジェニック,,金子光, 2.1,,,, 6,  9.8,⑤②④
 5, 5,Ｈルｰプホｰル, 44,柴田善, 1.6, 42, -12,  -5, 9, 46.7,⑥⑩⑩, 5, 1, ハｰドランナｰ,---,勝浦正, 1.2, 46,  -4,  -9, 4, 10.0, ⑥⑤, 5,15,Ｇサムタイム, 60,大庭和, 1.1, 58,  -1,*  3,12,135.9,⑬⑬⑩, 5,10, ストｰムセイコｰ,,穂苅寿, 2.5,,,, 9, 36.8,③②③
 6,10,Ｋマルチヒット, 35,加藤和, 1.7, 42, -10,  -9,14,407.2,⑥⑥⑦, 6, 7, アルファトミｰ,---,池田鉄, 1.2, 47,  -6,  -7,11, 72.7, ⑦⑥, 6,13,Ｄダイワバゼラｰド, 67,北村宏, 1.3, 59,*  6, -12, 5, 11.1,③③③, 6, 6, バロｰネフォンテン,,平沢健, 2.8,,,,12, 50.4,⑫⑧⑧
 7, 8,Ｂプライドイズハｰト, 56,小野次, 1.9, 40, -11,  -9, 2,  8.5,⑬⑩⑧, 7,10, テンジンミナトオｰ,---,蛯名正, 2.0, 41, -17,  -5, 8, 28.7, ⑫⑧, 7,14,Ｏグラスガルｰダ, 52,武士沢, 1.4, 56,  -2,   2,11,124.5,⑭⑭⑫, 7, 8, チアズシャイニング,,山本康, 2.8,,,, 7, 14.8,⑥⑤⑥
 8,15,Ｅフィｰルフィット, 50,木幡初, 2.0, 40,* -9, -15, 6, 17.8,⑤④④, 8, 9, デｰト,---,吉田隼, 2.0, 37, -14,  -9, 5, 10.6, ⑪⑬, 8, 1,Ｆメジロハックマン, 60,後藤浩, 2.0, 53,   3, -13, 4, 10.6,⑥⑧⑦, 8,15, クｰルジョイ,,高田潤, 3.1,,,, 5,  8.7,④⑥⑥
