06年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.3,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朝里川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃグロリアスウェザｰ, 41,小林徹,, 56,* -2,* -4, 3,  8.3,③③②, 1, 7,Ｂバンダムトレジャｰ, 54,梶晃啓,, 58,* -5,   4, 2,  3.7,①①①, 1, 5,Ｂオレンジアロマ, 64,塚田祥,, 64, -10,* 14, 1,  1.7,⑤②②, 1, 3,Ａワイルドソニック, 73,藤田伸,, 69,   8,   5, 2,  2.8, ⑧⑤
 2,12,Ｂラフィナｰル, 42,藤田伸, 0.2, 53,  -3,* -5, 1,  1.8,⑥⑤②, 2, 2,Ｊマルタｰズグレｰド, 44,川島信, 0.1, 59,* -6,   5, 8, 25.2,④②③, 2, 6,Ｄニシノジャンヌ, 57,的場勇, 0.2, 61, -11,* 13, 7, 36.0,④⑤⑤, 2, 4,Ｄホウショウリヴ, 71,四位洋, 0.0, 78,* 21,  -7, 1,  2.5, ①①
 3, 2,Ｈセフティｰベスト, 25,河北通, 0.4, 49,  -6,* -4, 8, 31.2,⑩⑧⑦, 3,11,Ｃコスモタイド, 53,四位洋, 0.1, 63,  -8,*  9, 5, 11.2,⑥⑤④, 3, 1,Ａトｰセンレジェンド, 65,藤田伸, 0.4, 59, -10,  11, 2,  3.4,⑥⑤③, 3,14,Ｃコスモラナップ, 72,柴原央, 0.1, 67,  11,  -2, 4,  9.6, ⑤②
 4, 5,Ａマルマツフェロｰ, 42,田辺裕, 0.4, 52,*  0, -13, 6, 26.3,②②①, 4,10,Ａシベリアンスパｰズ, 59,藤田伸, 0.2, 57,* -6,   4, 1,  2.4,③②②, 4, 8,Ｃヴィｰトマルシェ, 62,小島太, 0.7, 49,* -7,   1, 3,  7.3,①①①, 4,16,Ｂキングオザｰ, 73,田辺裕, 0.1, 66,   3,*  8,10, 51.7, ⑪⑧
 5, 8,Ｅアップルサイダｰ, 32,川島信, 0.7, 46,  -4, -11, 2,  3.2,③⑦⑤, 5,12,Ｅリゾｰトシチｰ, 49,塚田祥, 1.1, 44,  -9,  -4, 7, 16.3,④⑤⑤, 5, 4,Ｈアジアン, 49,芹沢純, 0.8, 57, -11,  11, 8, 75.6,⑦⑦⑥, 5,15,Ｈピｰタｰキャット, 64,大野拓, 0.2, 64,   3,   7, 9, 36.7, ⑪⑩
 6,10,Ｊヤマニンプロロｰグ,-41,塚田祥, 1.0, 39,  -7, -14, 9, 37.5,⑧⑧⑦, 6, 1,Ｄキングトップダンス, 50,菊沢隆, 1.2, 53, -12,*  6, 4,  9.5,⑫⑩⑨, 6, 7,Ｅサムタイムレｰタｰ, 55,菊沢隆, 0.8, 51,  -9,   6, 4, 12.2,②②③, 6, 8,Ｇステキナブロンコ, 65,菊沢隆, 0.4, 63,  -3,* 10, 6, 19.8, ⑬⑬
 7, 9,Ｆバックボｰン, 30,柴山雄, 1.1, 39,  -9, -10, 5, 25.5,⑪⑪⑩, 7, 9,Ｋクｰドゥフｰドル, 39,柴原央, 1.8, 42, -11,  -3, 3,  6.6,⑩⑧⑥, 7, 2,Ｆウインフェイム, 52,四位洋, 1.5, 46, -12,   5, 5, 16.2,⑧⑦⑥, 7,13,Ｊアトス, 62,川島信, 0.5, 64,  -6,* 11, 5, 12.3, ⑮⑪
 8, 6,Ｄゴｰルデンシャイン, 39,四位洋, 1.1, 40,  -7, -13, 4, 20.3,⑧⑩⑪, 8,13,Ｆカシノモムチャン, 49,鈴来直, 2.0, 40, -10,  -7, 6, 12.5,⑧⑦⑦, 8, 3,Ｇインザリピｰト, 50,柴山雄, 2.6, 41, -10, -11, 6, 22.9,②②⑥, 8, 7,Ｅフラワｰレインボｰ, 70,武英智, 0.7, 66,* 19, -16, 8, 35.1, ③②
