06年 5月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.7,,,,,■ 7R  芝2200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきつばき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅハイジトウショウ, 47,吉田隼,, 58,*  6, -10, 2,  4.8, ①①, 1, 5,Ｂシルクアヴァロン, 51,鮫島良,, 57,*-12,* 10, 2,  4.9, ④④, 1, 5,Ｄゴｰルドフォイル, 65,内田博,, 71,*  2,* 11, 1,  2.4,④③③, 1, 8,Ｄタガノアルサルディ, 66,田嶋翔,, 69,   9,*  3, 1,  2.7, ⑧⑨
 2, 8, ヒシレｰシｰ,---,加藤士, 0.1, 56,  -1,  -3,12, 88.7, ⑤⑤, 2,10,Ｈコスモセドナ, 41,佐藤聖, 0.0, 52,*-11,   6, 5, 15.6, ①①, 2, 3,Ｉネヴァｰトルネｰド, 61,武士沢, 0.6, 65,*  4,  -2,13, 46.3,②②②, 2,12,Ｂシルクゾディアック, 68,中舘英, 0.1, 73,* 23, -13, 2,  4.3, ①①
 3,11,Ｃコパノフロスティ, 49,丹内祐, 0.2, 52,  -7,*  0, 3,  5.7, ⑧⑦, 3,11,Ｇワンダｰタバスコ, 43,野元昭, 0.1, 63, -14,* 16, 4, 10.1, ⑧⑦, 3, 6,Ｃシｰサイドブリｰズ, 66,吉田隼, 0.8, 61,  -1,   2,10, 29.5,⑦⑤⑤, 3,15,Ｅキョクイチテキサス, 65,田辺裕, 0.2, 65,   1,*  7,13, 49.6, ⑬⑫
 4,12,Ｆブルｰエルｰジュ, 46,野元昭, 0.6, 52,   2, -10, 7, 12.7, ④③, 4, 7,Ｅキングルｰキｰ, 46,鹿戸雄, 0.2, 57, -11,  10, 3,  8.7, ⑤⑤, 4,10,Ｌマイネシャロｰナ, 59,丹内祐, 1.0, 61,  -2,*  4, 7, 14.0,⑧⑩⑨, 4,11,Ｉケイアイデジタル, 60,吉田隼, 0.2, 67,  12,  -3, 4, 10.9, ④④
 5, 7,Ｂメイショウガラシャ, 49,長谷川, 0.7, 47, -11,*  1, 5,  6.9, ⑫⑫, 5, 3,Ａバルバレスコ, 55,内田博, 0.3, 52,* -9,   5, 1,  2.0, ②②, 5, 9,Ｆリッカドリムオ, 62,柴山雄, 1.1, 60,*  3,  -7, 4, 10.5,③③③, 5,13,Ｈオリエンタルロｰズ, 61,西田雄, 0.4, 63,   6,   0, 7, 25.3, ⑪⑩
 6,13,Ｄトｰセンピュア, 48,石神深, 0.8, 49,  -1, -10, 6,  9.6, ⑤⑤, 6,12,Ｆファストストリング, 44,田辺裕, 0.6, 54, -16,* 12,12, 60.3, ⑩⑩, 6,15,Ｈマｰシャルアｰト, 61,石橋脩, 1.1, 60,   1,  -1, 8, 20.2,⑧⑤⑦, 6, 7,Ｇテンザンジョイ, 61,柴山雄, 0.6, 60,   7,  -5, 3,  4.7, ⑩⑩
 7, 6, グロリアスジュエル,---,田中克, 0.8, 47,*  2, -15, 9, 22.9, ②③, 7, 9,Ｃキラライチバンボシ, 48,石神深, 0.8, 45,* -9,  -2, 8, 25.3, ③②, 7, 8,Ｅリアルトブリッジ, 65,木幡初, 1.2, 60,   1,  -2, 9, 22.5,⑥⑤⑤, 7, 9,Ｏラブラドナイト, 50,岩部純, 0.7, 57,   3,  -2,16,104.7, ⑫⑫
 8, 3,Ｉチャｰムオペラ, 11,北村友, 0.9, 43,  -9,  -5,15,184.7, ⑩⑩, 8,16,Ｄトウカイワンダｰ, 46,北村浩, 0.8, 47, -14,   5, 9, 31.1, ⑦⑦, 8,11,Ａストライカｰシチｰ, 70,中村将, 1.4, 55,  -5,   1, 6, 12.4,⑮⑭⑬, 8,16,Ｆシアトルナカヤマ, 62,水出大, 0.8, 58,   9,  -9, 8, 26.1, ⑧⑦
