06年 4月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■ 7R  芝2600m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, ハナパック,---,小林久,, 60,  10,* -8, 5,  0.0, ③③, 1,10,Ａフルフレｰム, 57,松岡正,, 56,* -8,*  4, 1,  0.0,②①②, 1,10,Ｃテイエムサッカｰ, 66,太宰啓,, 73,* 11,  -6, 2,  0.0,③③①, 1,14,Ｈトシザサンサン, 57,中舘英,, 72,*  2,  10, 5,  0.0, ①①
 2, 2, キャラメルボックス,---,中舘英, 0.1, 61,* 14, -11, 4,  0.0, ①①, 2, 1,Ｄフミモエｰス, 45,小島太, 0.3, 51,*-10,*  2, 3,  0.0,④③②, 2,14,Ｉマイネシャロｰナ, 61,的場勇, 0.1, 69,   8,* -3,13,  0.0,⑫⑧⑦, 2, 1,Ｉケイアイデジタル, 55,二本柳, 0.1, 71,  -1,* 11, 7,  0.0, ③③
 3, 8, エレガントキャット,---,木幡初, 0.5, 53,   7, -11, 2,  0.0, ④④, 3, 6,Ｈアドルフイモン, 38,二本柳, 0.4, 52,* -8,   1, 5,  0.0,①①①, 3, 1,Ｄダンツトレジャｰ, 65,田中克, 0.2, 69,   8,* -5, 3,  0.0,⑧⑧④, 3, 6,Ｆタガノアルサルディ, 60,田嶋翔, 0.4, 68,  -9,* 14, 2,  0.0, ⑪⑦
 4, 4, ビオンディｰナ,---,鮫島良, 0.8, 48,   6, -15, 6,  0.0, ④⑤, 4, 9,Ｋナムラベンケイ, 35,鮫島良, 0.7, 50, -12,*  3, 6,  0.0,⑬⑧⑥, 4,13,Ｂダンスフォｰママ, 67,松岡正, 0.2, 70,* 12, -11, 4,  0.0,①①①, 4, 2,Ｃデザｰトワｰルド, 64,赤木高, 0.4, 66,  -1,   7, 4,  0.0, ③③
 5, 5, ベルモントクリｰム,---,鹿戸雄, 1.2, 38, -12,* -6,10,  0.0, ⑨⑨, 5,15,Ｏハルフジオｰ, 22,中舘英, 0.7, 49,* -9,   0, 4,  0.0,⑥③④, 5, 4,Ｆメジロスパイダｰ, 65,二本柳, 0.3, 72,  10,  -4, 8,  0.0,⑭⑧⑦, 5, 3,Ｅキョクイチテキサス, 60,池田鉄, 0.5, 64,  -5,  10,14,  0.0, ⑦⑦
 6,12, バンロｰゼ,---,高野容, 1.2, 49,* 14, -22, 1,  0.0, ①①, 6,12,Ｃラストトレジャｰ, 48,木幡初, 1.0, 48, -11,   1, 2,  0.0,⑧⑧⑨, 6, 8,Ｌサムライジョｰイ, 55,土谷智, 0.6, 68,  11, -11,12,  0.0,⑧④④, 6,13,Ｌヤマカツアンナ, 54,大西直, 0.6, 63,*  2,   1, 8,  0.0, ①①
 7, 6, トウカイシャルマン,---,村田一, 1.2, 40,  -7,* -9, 8,  0.0, ⑦⑦, 7,14,Ｆヤマニンエボニｰ, 41,塚田祥, 1.2, 41,*-10,  -6,11,  0.0,④③④, 7, 2,Ａアドマイヤサンサン, 71,村田一, 1.1, 65,  10, -15, 1,  0.0,⑫⑧⑦, 7,12,Ｋシルクドラグｰン, 54,田中克, 0.8, 60,  -1,   1, 1,  0.0, ③③
 8, 7, プリンセススピカ,---,赤木高, 1.5, 36,  -7, -12, 9,  0.0, ⑦⑦, 8,11,Ｊリｰドインアゲｰム, 36,的場勇, 1.8, 38, -12,  -9,15,  0.0,⑪⑦⑥, 8,12,Ｇブロｰドキャスタｰ, 63,鮫島良, 1.5, 54,   9, -26, 7,  0.0,⑤④⑪, 8, 8,Ｂショウナンハイギア, 66,松田大, 1.0, 57,  -9,   5, 3,  0.0, ⑪⑫
