06年 9月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大須特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａアトラクティヴ, 55,上村洋,, 52,* -2,  -8, 2,  3.0, ①①, 1, 9, シクンシ,---,田村太,, 57,*  0,* -4, 2,  5.6, ①①, 1, 9,Ａサクラインザダｰク, 72,武豊  ,, 61,* -8,  12, 1,  1.5,②①①, 1, 9,Ｍテイエムザエックス, 67,橋本美,, 79,* -1,* 20, 4,  8.2,①①①
 2, 5,Ｂタイセイユニオン, 50,石橋守, 0.2, 49, -13,*  0, 5, 14.9, ⑦⑤, 2, 1, テイエムテムジン,---,小牧太, 0.6, 48,*  0, -10, 4, 11.0, ②②, 2,13,Ｂサンファイバｰ, 62,本田優, 0.0, 62,* -8,* 13, 2,  3.4,⑤②②, 2,10,Ｇシルククルセイダｰ, 73,武豊  , 0.0, 80,* -1,* 21, 2,  3.8,④②②
 3, 4,Ｄエｰシンエｰユｰ, 43,福永祐, 0.4, 49,* -3,  -9, 1,  2.4, ②②, 3, 2, ワイルドイリｰガル,---,岩田康, 1.7, 35, -27,* -4, 1,  1.5, ⑦⑦, 3, 2,Ｋサダムアカイカゼ, 47,岩田康, 0.4, 60, -11,* 13, 7, 80.8,⑨⑧⑦, 3, 6,Ａリｰドオフマン, 78,佐藤哲, 1.2, 67,*  0,  13, 1,  3.8,③③③
 4, 9,Ｉトリノシチｰ, 18,和田竜, 0.7, 41,  -6, -14, 8, 67.7, ②③, 4, 5, ラヴィｰズラヴィン,---,武豊  , 1.8, 34, -18,  -9, 3,  6.3, ③③, 4,12,Ｌケンブリッジケン, 46,赤木高, 0.4, 56,*-10,  10,10,138.2,⑥④④, 4, 3,Ｌテンシノコンコルド, 69,中村将, 1.3, 64,  -4,  13, 6, 13.1,⑨⑧⑤
 5, 3,Ｆサクラサンビｰム, 35,佐藤哲, 0.8, 40,  -8, -14, 3,  4.2, ④④, 5, 7, ウィズインデザｰト,---,金折知, 1.9, 31, -19, -11, 9,146.3, ③④, 5, 7,Ｅハギノリュウ, 58,熊沢重, 1.0, 44, -10,   2, 3,  7.0,⑨⑥④, 5,12,Ｋケイパブルバイオ, 71,福永祐, 1.3, 73,  -7,* 21, 5,  9.9,⑫⑬⑫
 6,11,Ｅマルタカブロイド, 40,池添謙, 1.1, 35, -10, -17, 7, 44.7, ④⑤, 6, 6, シゲルグラッツェ,---,池添謙, 2.1, 29, -28,  -7, 5, 21.7, ⑧⑧, 6, 5,Ｎテイエムクレバｰ, 40,上野翔, 1.2, 46, -17,   8,16,311.9,⑪⑬⑬, 6,14,Ｉルポルタｰジュ, 72,渡辺薫, 1.6, 66,  -6,  16,10, 46.0,⑫⑩⑩
 7, 7,Ｃマルブツセンタｰ, 46,小牧太, 1.3, 32, -15, -16, 4,  9.6, ⑦⑦, 7, 4, テイエムアタック,---,和田竜, 2.4, 25, -22, -14, 6, 33.4, ⑥⑥, 7,15,Ｆサカイヤキング, 52,鮫島良, 1.2, 64, -20,* 20, 9,127.8,⑮⑰⑯, 7, 4,Ｄビッグホワイト, 76,和田竜, 1.7, 59,  -2,   9, 7, 15.0,⑥⑤④
 8, 6,Ｋシゲルサラマッポ,-65,赤木高, 1.5, 29, -11, -22,10,204.5, ⑥⑦, 8, 8, ハｰドラビット,---,渡辺薫, 2.6, 24, -19, -18, 8, 51.0, ③④, 8,10,Ｄベイリｰビッド, 59,長谷川, 1.2, 45, -13,   5, 5, 38.0,⑪⑩⑦, 8, 7,Ｅマヤノポペット, 74,上村洋, 1.7, 62,  -2,  11, 8, 19.9,⑥⑥⑤
 9, 8,Ｈニホンピロアニカ, 25,熊沢重, 1.5, 31, -15, -16, 6, 30.6, ⑨⑨, 9, 3, テｰラｰダンサｰ,---,赤木高, 3.6,  9, -31, -19, 7, 40.7, ⑨⑨, 9,18,Ｇトｰアギンガ, 51,中村将, 1.2, 38, -12,  -3,18,474.9,③⑥⑦, 9, 2,Ｃソウルサバイヴァｰ, 77,太宰啓, 1.9, 59,  -3,  10, 3,  4.7,⑧⑧⑨
10, 1,Ｇゴｰルデンスカイ, 34,太宰啓, 1.6, 27, -34,* -1, 9,118.6, ⑪⑩,,,,,,,,,,,,,10,16,Ｃチョウビジン, 59,太宰啓, 1.5, 43, -15,   5, 4, 33.3,⑮⑬⑩,10,15,Ｆアグネスケイオｰ, 73,小牧太, 2.0, 64, -10,  18,13,123.3,⑯⑯⑮
11,10,Ｊキタサンキンボシ, 18,田中克, 4.5,-21, -24, -59,11,275.0, ⑩⑩,,,,,,,,,,,,,11, 4,Ｈレオンハルト, 50,渡辺薫, 1.6, 40,*-10,  -9,15,194.9,③④④,11,13,Ｊクｰフｰリン, 71,飯田祐, 2.0, 61,  -8,  15, 9, 35.9,⑭⑮⑮
