06年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.8,,,,,■ 4R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔵王特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆワンダフルドｰラ, 29,吉田隼,, 59,  -3,*  6, 3,  5.6, ⑤④, 1,10,Ｃコルサトウショウ, 49,小林淳,, 57,   0,* -3, 2,  8.1, ③③, 1,10,Ｎノｰモアクライ, 26,川島信,, 66,*  4,   4, 7, 41.0, ①①, 1, 8,Ａチョウカイサンデｰ, 77,中舘英,, 71,*  8,   1, 4,  5.7,⑨②①
 2, 6,Ｄエイワムサシ, 37,石橋脩, 0.0, 68,*  6,*  0, 4,  9.5, ①①, 2, 3,Ａナリタファントム, 69,中村将, 0.5, 52,*  2, -12, 1,  1.3, ②②, 2, 3,Ｃミヤギシンザン, 59,吉田隼, 0.2, 61,   0,   4, 2,  4.0, ④②, 2, 2,Ｉファントムオペラ, 61,田辺裕, 0.3, 70,   7,*  5,11, 67.8,⑤⑦⑥
 3,13,Ｃキングエルドラド, 44,中舘英, 1.9, 48,*  5, -18, 2,  3.1, ②②, 3, 5,Ｂオンワｰドカルマ, 55,石橋脩, 0.6, 47,  -6,* -3, 3,  9.5, ⑧⑥, 3, 4,Ｂトドロキカポネツｰ, 60,小林徹, 0.2, 65,  -4,*  9, 4,  7.2, ⑥⑤, 3, 5,Ｂタニノディキディキ, 70,鮫島良, 0.5, 66,   5,*  2, 2,  3.3,⑨⑦⑨
 4, 3,Ａスキマチェリｰ, 59,鈴来直, 2.0, 41,  -2, -13, 1,  2.1, ⑤⑤, 4, 2,Ｍワンダｰデヒア,  3,塚田祥, 0.8, 42, -10,* -4,11,186.3, ⑪⑪, 4, 1,Ｅスプリｰムスｰ, 54,石橋脩, 0.4, 61,  -4,   6, 8, 47.0, ⑥⑦, 4,13,Ｇメイショウラピｰト, 62,高橋亮, 0.6, 67,*  8,  -3, 9, 44.9,⑤④⑥
 5,12,Ｊスイｰトシャディｰ, 14,田嶋翔, 2.1, 40,  -4, -12, 8, 45.3, ⑧⑧, 5,11,Ｅアドラスティア, 42,柴山雄, 0.8, 47,  -2,  -9, 7, 32.0, ④④, 5,12,Ａハセキンバリン, 61,村田一, 0.5, 56,*  3,  -2, 1,  2.5, ②②, 5, 1,Ｆメジロガンバス, 63,石橋脩, 0.6, 67,*  8,  -3, 7, 19.0,②④③
 6,11,Ｈマイクｰル, 29,小林淳, 2.5, 35,  -7, -14, 7, 39.3, ⑩⑩, 6,16,Ｋアイノキセキ, 21,赤木高, 1.0, 52,*  5, -16,10,123.4, ①①, 6, 7, メイショウカｰタｰ,---,松田大, 0.5, 57,   0,   1, 3,  6.6, ④⑤, 6, 9,Ｊバンダムカｰン, 58,青木芳, 0.7, 67,   6,   0,12, 76.0,⑨⑦⑥
 7, 1,Ｎエットウツバメ,-29,塚田祥, 2.5, 34,  -3, -19,11,173.3, ⑤⑦, 7,13,Ｆホクセイヒカル, 41,川島信, 1.0, 45,  -2, -10, 8, 42.7, ④⑤, 7,11,Ｄスズカリｰガル, 58,中村将, 0.6, 52,  -6,   1, 6, 10.6, ⑥⑦, 7,10,Ｈシルククロノグラフ, 62,川島信, 0.7, 67,   5,*  3,10, 47.1,⑬⑫⑩
 8, 4,Ｉカシマミキティ, 21,村田一, 2.7, 33,  -5, -18,13,218.3, ⑧⑧, 8, 4, ボｰスンズコｰル,---,中舘英, 1.1, 43,  -3, -10, 4, 15.7, ④⑦, 8, 2,Ｇリンガスルビｰ, 43,柴山雄, 0.9, 54, -14,   7,10, 75.8, ⑪⑨, 8,12,Ｃオンワｰドアミラル, 68,武士沢, 0.9, 62,*  7, -10, 3,  5.7,⑧④③
 9, 7,Ｋノボバウワｰ, -9,佐藤聖, 3.1, 30, -13, -17,14,222.7, ⑪⑫, 9, 9,Ｄセイウンアパッチ, 44,的場勇, 1.3, 37,  -7, -12, 6, 29.4, ⑦⑧, 9,16,Ｋリオニアンレディｰ, 30,鮫島良, 1.1, 48, -16,   5, 9, 59.4, ⑫⑪, 9, 6,Ｅマイネルプログレス, 64,スボリ, 0.9, 65,   5,   0, 8, 35.0,⑫⑫⑩
10,10,Ｅエｰシンラッキｰ, 33,柴山雄, 3.1, 31, -11, -17, 9, 76.7, ⑪⑩,10, 1,Ｇブルｰブラック, 33,鮫島良, 1.8, 34,  -7, -15, 9, 64.3, ⑧⑧,10, 9,Ｏノｰブルペニｰ,-145,北村友, 1.3, 48, -30,* 13,11,171.1, ⑮⑮,10,11,Ｋポンデアスｰカル, 58,大西直, 1.6, 56,*  8, -23, 5, 12.1,②②③
11,16,Ｇスガノスミレ, 29,西田雄, 3.3, 29, -11, -19,12,206.1, ⑪⑫,11, 7,Ｈブルックリン, 32,岩部純, 1.9, 34,  -6, -15, 5, 22.9, ⑧⑧,11, 5,Ｊコスモレインボｰ, 36,田中博, 1.3, 43, -22,   5,12,177.4, ⑭⑭,11, 7,Ｄインタｰメルボルン, 66,小林徹, 1.6, 58,   6, -13, 6, 17.9,⑤⑦⑫
12, 9,Ｍウィンドライアン,-27,嘉藤貴, 3.5, 31,*  4, -32, 6, 34.1, ②⑤,12,15,Ｌダイワエルパソ, 19,吉田隼, 1.9, 37, -20,* -5,15,248.0, ⑭⑭,12,14,Ｉラブリｰテンシア, 39,高山太, 1.5, 41, -12,  -3,14,210.5, ⑨⑩,12, 3,Ｌコスモチェｰロ, 57,吉田隼, 2.1, 51,*  7, -32, 1,  3.2,①①②
13,14,Ｂエプソムモルギフ, 45,二本柳, 3.9, 27,*  4, -36, 5, 19.2, ②③,13, 6,Ｊヨイチフレｰム, 23,梶晃啓, 2.7, 28, -11, -19,13,216.3, ⑫⑬,13, 8,Ｆジェシｰ, 51,佐藤聖, 2.3, 29, -14, -18,15,219.6, ⑨⑪,13, 4,Ｍマチカネビシャモン, 28,二本柳, 5.2, 39,   7, -69,13,156.9,②⑦⑬
14,15,Ｌデルマエドワｰド,-11,小林徹, 4.1, 14, -17, -21,16,287.3, ⑭⑭,13,14,Ｉパシフィスト, 26,西田雄, 2.7, 28, -10, -20,12,189.0, ⑫⑪,14, 6,Ｈキャスケｰドブｰケ, 43,中舘英, 2.4, 24,*  3, -31, 5,  8.4, ②②,,,,,,,,,,,,
