06年 8月13日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月13日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14.9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂイフウドウドウ, 39,渡辺薫,, 34, -15,  -9, 2,  3.2, ②②, 1, 3, アｰバンストリｰト,---,太宰啓,, 56,* -8,   6, 4, 10.6, ①①, 1, 1,Ｂマッキｰバクシン, 58,野元昭,, 63,*  4,   2, 5, 13.6, ①①, 1, 2,Ｉコスモフォｰチュン, 82,角田晃,, 85,* 13,  15,11, 25.4, ②①
 2, 3,Ｉテイエムジカッド, 20,菊地昇, 0.0, 47, -39,* 14,10,111.9, ⑩⑨, 2,10, ウィルビｰキング,---,幸英明, 0.2, 53,* -9,   5, 1,  1.5, ②②, 2,16,Ｄワンマイドリｰム, 56,橋本美, 0.1, 64,* -2,   7, 2,  5.5, ③②, 2, 8,Ｋゴｰルデンキャスト, 81,小牧太, 0.3, 89,   5,  24, 4,  8.3, ⑨⑦
 3, 1,Ｆカシノエデン, 27,小林久, 0.0, 37, -14,  -7, 5, 17.9, ②②, 3, 1, クロオビ,---,渡辺薫, 0.3, 52, -14,   8, 8, 38.1, ③③, 3, 5,Ｇシｰワンダフル, 51,上野翔, 0.3, 68, -22,* 19, 8, 21.9, ⑯⑫, 3,10,Ｂホｰマンテキｰラ, 87,佐藤哲, 0.3, 82,  11,  15, 2,  4.6, ③③
 4, 6,Ｅマルシゲパｰル, 31,中村将, 0.0, 37, -20,  -4, 6, 18.1, ⑦②, 4, 2, マイネルガリレイ,---,佐藤哲, 0.3, 54, -17,  11, 2,  7.2, ④④, 4, 6,Ｅグッドショコラ, 53,和田竜, 0.3, 61,  -5,   7, 6, 14.0, ⑤②, 4,12,Ｃタマモホットプレイ, 85,渡辺薫, 0.3, 90,   1,* 26, 9, 20.4, ⑪⑪
 5,11,Ｃコウエイパスポｰト, 34,田中克, 0.1, 32,*-12, -13, 3,  4.4, ①①, 5, 7, スナｰクトモクン,---,和田竜, 0.3, 58, -24,* 17, 3,  7.7, ⑧⑦, 5, 8,Ａトップディアマンテ, 73,幸英明, 0.4, 64, -12,* 12, 1,  1.9, ⑪⑤, 5, 5,Ｅリミットレスビッド, 83,川田将, 0.4, 84,  10,  18, 5,  8.8, ④④
 6, 7,Ａキリシマスピｰド, 39,小牧太, 0.2, 32, -20,  -7, 1,  2.7, ⑦⑥, 6, 5, テイエムヒリュウ,---,南井大, 1.0, 40, -21,   3, 5, 11.9, ⑦④, 6,18,Ｋライブリシュロム, 42,石橋守, 0.4, 58,  -5,   5, 9, 32.1, ⑤⑤, 6, 7,Ｆリボンアｰト, 82,石橋守, 0.5, 83,  -4,* 25, 7, 19.8, ⑬⑬
 7, 4,Ｇアフレルココロ, 22,赤木高, 1.1, 15, -17, -24, 9, 58.4, ⑤⑧, 7, 4, コアレスリｰヴァ,---,上村洋, 1.1, 38, -19,   0, 7, 26.6, ④④, 7, 7,Ｌヒシアニマ, 36,田嶋翔, 0.5, 58, -10,   9,13, 78.1, ⑧⑦, 7, 9,Ｇスピニングノアｰル, 82,上村洋, 0.6, 76,   2,  17,14,127.8, ⑨⑦
 8, 2,Ｄカシノラブコｰル, 33,和田竜, 1.1, 19, -14, -24, 4,  7.3, ②②, 8, 8, キングラピュタ,---,小牧太, 1.9, 30, -24,  -8, 6, 25.5, ⑧⑧, 8, 4,Ｃメイショウイゴッソ, 57,田村太, 0.8, 51, -18,   8,10, 55.3, ⑬⑫, 8, 6,Ｌマルカキセキ, 81,鮫島克, 0.6, 79,   9,  15, 1,  3.3, ④④
