06年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾝｺﾝｼﾞｮｯｷｰｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃデンタルスピリット, 51,和田竜,, 72,* 11,*  1, 3,  5.1, ①①, 1, 7, ブラックティｰ,---,中村将,, 50,* -6,  -6, 6, 37.1, ②②, 1, 5,Ｐデンコウホｰプ,-14,池添謙,, 67, -16,* 15,16,237.9,⑮⑫⑧, 1,11,Ｋケイエスストロング, 58,佐藤哲,, 93,   3,* 28, 9, 26.1, ⑤④
 2, 8,Ａナンゴクプラネット, 61,熊沢重, 0.3, 66,*  6,  -1, 1,  2.4, ②②, 2, 8, ブラックホｰル,---,太宰啓, 0.0, 53,* -5,  -4, 2,  5.4, ②②, 2,15,Ｄダイシンアラシ, 54,福永祐, 0.3, 46, -11,  -1, 4,  8.8,⑧⑦⑥, 2, 6,Ｄフラワリングバンク, 74,生野賢, 0.0, 92,   4,* 26, 3,  5.0, ③②
 3, 2,Ｄテンザンコノハナ, 48,角田晃, 0.5, 61,  -1,*  1, 4,  7.7, ⑤④, 3, 6, ダイメイザバリヤル,---,橋本美, 0.1, 51,  -8,  -3, 9, 53.0, ⑥④, 3, 1,Ｃシンゲキ, 57,小牧太, 0.4, 55, -16,*  9, 5,  9.4,⑫⑫⑮, 3, 8,Ｃタニノロｰゼ, 74,鮫島克, 0.2, 81,* 18,  11, 4,  9.1, ①①
 4, 3,Ｂナムラコネリｰ, 59,小牧太, 0.6, 57,  -5,* -1, 2,  3.0, ⑤⑥, 4,12, マヤノラヴィｰナ,---,福永祐, 0.3, 48,  -6,  -7, 3,  6.6, ④④, 4, 6,Ｂマダムウイナｰ, 65,佐藤哲, 0.5, 41,  -9,  -7, 1,  2.4,③④⑤, 4, 2,Ａストｰンブリッジ, 79,岩田康, 0.4, 81,   6,  18, 1,  3.3, ②②
 5, 4,Ｆエミネンツァベルタ, 36,福永祐, 0.8, 57,   1,  -5, 5, 12.3, ④④, 5, 5, イセノオｰ,---,熊沢重, 0.6, 41, -13,  -9, 8, 45.1, ⑨⑦, 5, 4,Ｏトウカイタイクｰン, 33,幸英明, 0.6, 40,* -7, -13, 3,  5.7,②②②, 5, 9,Ｇアンティｰクコイン, 70,福永祐, 0.4, 85,  -2,* 26, 6,  9.7, ⑧⑧
 6, 1,Ｈナムライシス, 30,橋本美, 0.8, 57,   4,  -7, 7, 35.1, ②③, 6, 3, ソルヴィエント,---,岩田康, 0.6, 41,* -4, -16, 1,  1.5, ①①, 6, 2,Ｅマジカルサリｰ, 49,橋本美, 0.6, 40,* -6, -14, 7, 35.0,①①①, 6, 5,Ｂトｰワユメジ, 79,渡辺薫, 0.4, 84,   0,  24, 2,  4.0, ⑧⑧
 7, 7,Ｋネイルビュｰティｰ,-71,金折知, 0.8, 55,  -8,*  1,11,234.8, ⑧⑥, 7,13, ベビｰフェイス,---,畑端省, 0.6, 43,  -9,  -9, 5, 19.4, ⑥⑩, 7,13,Ｊゴｰルデンラダｰ, 41,熊沢重, 0.8, 38,* -8, -14, 8, 43.3,③③②, 7,10,Ｈナナヨｰティアラ, 70,田中学, 0.7, 81,  -7,* 26, 8, 20.8, ⑪⑪
 8, 5,Ｅアドミラビリス, 43,上村洋, 1.5, 40, -12, -10, 9, 82.9, ⑧⑨, 8,10, スズカストロング,---,生野賢, 0.6, 40, -22,*  1,13,211.6, ⑪⑪, 8, 9,Ｌグレｰトパレス, 38,鮫島克, 0.8, 44, -16,   3,10, 61.0,⑬⑫⑬, 8, 4,Ｆオメガスピリット, 70,幸英明, 1.2, 66,   3,   9, 5,  9.2, ⑤⑦
