06年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11,Ｊショウブナンバｰ, 29,加藤士, 3.4, 19, -21, -12,13,302.3, ⑬⑫,12, 9,Ｋニシノスカイハイ, 39,江田照, 1.8, 49,  -7,  -3,12,103.3,⑫⑬⑬,12, 5,Ｍクインリボｰ, 44,江田照, 1.8, 53,   2,  -9,15,111.3,⑪⑭⑮,12,13,Ｌマイネシャロｰナ, 53,石橋脩, 2.6, 47,  -8,   6,14, 82.3,⑮⑮⑬
13, 1,Ｍホワイトキリシマ,-65,黛弘人, 4.1, -4, -16, -32,11,166.2, ⑫⑫,13,10, トウショウアクセル,---,田面木, 1.9, 49,  -9,   0,13,155.2,⑯⑮⑮,13,14,Ｊロｰレルスパンカｰ, 50,橋本美, 2.0, 53,*  9, -23,14, 99.5,④③⑥,13, 1,Ｍアイオブザジャガｰ, 52,大野拓, 3.7, 37,  -5, -23,13, 77.1,⑬⑬⑬
,,,,,,,,,,,,14, 6, ルクシオン,---,スボリ, 3.3, 33, -13, -12, 6, 19.9,⑮⑯⑯,14, 8,Ｎメルシｰタカオｰ, 44,田中克, 2.0, 48,   3, -18, 9, 32.0,⑦⑩⑭,14, 3,Ｏウインルｰシッド, 34,赤木高, 3.8, 38,  -4, -23,15,110.5,⑭⑬⑮
,,,,,,,,,,,,15,14,Ｊフェラｰリワン, 41,塚田祥, 3.6, 26,  -4, -40, 3,  6.6,⑤⑥⑩,15,12,Ｏクｰルプレｰヌ, 39,生野賢, 2.6, 45,*  8, -31,11, 64.4,②③⑪,15,10,Ａラブアクチュアリｰ, 72,鮫島良, 5.5, 24,   6, -72, 5,  7.2,⑥⑤⑩
,,,,,,,,,,,,16, 7,Ｍショコラシャンティ, 28,西田雄, 3.6, 29,  -2, -39,14,211.3,②⑥⑪,16, 9,Ｐセイウンヨコノテニ, 15,田辺裕, 6.3,-16,  -4, -64,16,177.7,⑯⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
"単勝:160円 複勝:02=110円 04=150円 03=1,720円 枠連:400円",,,,,,,,,,,,単勝:440円 複勝:04=150円 05=130円 12=390円 枠連:370円,,,,,,,,,,,,単勝:300円 複勝:04=130円 15=170円 13=140円 枠連:710円,,,,,,,,,,,,単勝:430円 複勝:15=150円 05=200円 14=210円 枠連:820円,,,,,,,,,,,
"馬連:410円 ワイド:02-04=220円 02-03=2,840円 03-04=5,540円",,,,,,,,,,,,"馬連:550円 ワイド:04-05=220円 04-12=1,200円 05-12=1,000円",,,,,,,,,,,,"馬連:1,150円 ワイド:04-15=430円 04-13=280円 13-15=470円",,,,,,,,,,,,"馬連:1,340円 ワイド:05-15=430円 14-15=530円 05-14=780円",,,,,,,,,,,
"馬単:610円 3連複:9,720円",,,,,,,,,,,,"馬単:1,170円 3連複:4,220円",,,,,,,,,,,,"馬単:1,720円 3連複:1,260円",,,,,,,,,,,,"馬単:2,140円 3連複:3,190円 3連単:16,070円",,,,,,,,,,,
