06年 3月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 4R  ダ1000m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4.2,,,,,■ 7R  芝1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■10R  芝2500m 4歳上1000万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恋路ｹ浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂエバｰプリンス, 51,小牧太,, 55,* -4,  -3, 2,  3.4,①①①, 1,10,Ｆキシュウマドンナ, 65,中舘英,, 68,*  5,   1, 3,  3.8, ①①, 1, 7,Ｈトウショウパワｰズ, 63,池添謙,, 73,*  6,   4, 2,  4.3,⑥④②, 1, 4,Ａイｰグルドライバｰ, 79,デムｰ,, 80,  -7,* 29, 6, 19.7,⑫⑩⑨
 2, 6,Ａグランプリゲイト, 56,福永祐, 0.2, 54,  -7,   0, 1,  2.0,③③③, 2, 1,Ｃキマグレ, 70,藤岡佑, 0.1, 68,*  5,   0, 1,  3.2, ①①, 2,12,Ｐロックスピリッツ, 49,赤木高, 0.0, 72,*  5,   5, 8, 21.1,④⑥⑥, 2, 9,Ｄマイクラリネット, 77,四位洋, 0.0, 73,* -2,  20, 4, 10.6,③③③
 3, 4,Ｃマイネルランプロス, 49,柴山雄, 0.5, 53, -10,*  2, 4,  7.4,⑤⑤⑤, 3, 2,Ｈホワイトアリス, 59,北村友, 0.1, 63,  -5,*  4, 7, 27.4, ⑥③, 3, 1,Ｆドクタｰグリム, 64,柴田善, 0.2, 71,   1,* 10, 4,  9.3,⑫⑫⑪, 3, 3,Ｆシルクマイスタｰ, 75,藤岡佑, 0.0, 72,  -5,  21, 8, 30.8,④④④
 4,12,Ｄファンドリコンドル, 49,幸英明, 0.7, 50,* -6,  -5, 5, 22.3,③③③, 4, 8,Ｄコｰリンラヴィアン, 69,幸英明, 0.5, 59,  -5,   2, 2,  3.6, ⑦⑥, 4,14,Ｇシルクスクランブル, 63,福永祐, 0.3, 68,*  6,  -3,12, 33.5,⑤②②, 4, 2,Ｇチェストウイング, 75,内田博, 0.2, 73,  -6,  23, 3,  7.4,⑧⑧⑤
 5, 5,Ｋゴｰルドバディｰ, 22,江田照, 0.8, 48,* -5,  -9,10,115.7,②①②, 5, 6,Ｋモルダバイト, 43,丹内祐, 1.1, 49,  -9,  -3, 9, 50.3, ⑧⑧, 5, 4,Ｌビｰマイヒｰロｰ, 58,小牧太, 0.3, 68,*  7,  -4,16,179.8,①①①, 5,12,Ｎジｰクレフ, 67,柴田善, 0.3, 62,* -3,  11,12, 67.3,②②①
 6, 9,Ｅマイネルクｰゲル, 48,太宰啓, 1.0, 50, -11,   0, 7, 34.1,⑦⑦⑥, 6, 9,Ｅジｰティｰピｰチ, 65,田中克, 1.1, 46, -14,   0, 8, 38.9, ⑩⑩, 6, 5,Ｉマイネコンテッサ, 62,柴山雄, 0.4, 68,   1,*  7, 5, 10.4,⑩⑫⑬, 6,11,Ｍミキノマｰベラス, 67,須貝尚, 0.3, 63,*  0,  10, 5, 16.1,①①①
 7,11,Ｆキャッチアシｰフ, 38,佐藤聖, 1.4, 44, -13,  -5, 9,108.8,⑪⑦⑦, 7, 3,Ｊラドランピエｰデ, 53,内田博, 1.2, 50,  -2,  -7, 4,  7.1, ③⑦, 7, 6,Ｂニシノイチバンボシ, 68,塚田祥, 0.4, 63,  -3,*  9,11, 32.5,⑮⑭⑭, 7,10,Ｂトウカイエリｰト, 78,池添謙, 0.3, 76,  -4,  24, 2,  3.3,⑨⑧⑤
 8,10,Ｇマッキｰゼネラル, 35,畑端省, 1.5, 47, -15,*  2,13,242.6,⑫⑫⑪, 8, 4,Ａオｰシャンシチｰ, 71,佐藤哲, 1.2, 47, -16,   2, 5, 10.2, ⑪⑩, 8, 3,Ｋキングウノ, 59,デムｰ, 0.6, 66,*  6,  -5,10, 29.9,③④②, 8, 6,Ｅゼンスピリッツ, 77,岩田康, 0.4, 77,  -5,  25, 1,  2.3,⑨⑩⑨
