06年 1月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花見小路特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃケイアイミサイル, 45,上村  ,, 60,*  2,  -8, 2,  3.9,①①①, 1,11, アドマイヤダｰリン,---,安藤勝,, 48, -19,*  3, 3,  4.2,④④③, 1, 1,Ｂエｰピｰチャｰジ, 72,武豊  ,, 74,   1,* 11, 1,  1.7,⑥⑤④, 1, 1,Ｉトｰセンハピネス, 76,福永  ,, 72,  14, -10, 3,  5.1,⑤④④
 2, 7,Ｄエプソムベガ, 44,上野翔, 0.2, 50, -13,*  2, 4,  7.5,⑧⑧⑧, 2, 7, トップヒｰロｰ,---,和田  , 0.0, 46,*-18,*  2,11,149.2,②②②, 2, 6,Ｋシルクデュｰク, 64,田島裕, 0.0, 73,*  7,  -1, 2,  7.6,①①①, 2, 6,Ｍゲイリｰスティング, 71,池添  , 0.0, 73,* 18, -15,12, 47.4,①①①
 3, 6,Ｂプリティアンブレラ, 49,武豊  , 0.3, 53,  -9,  -1, 1,  2.4,⑦⑦⑤, 3,12, ゴッドスマイルユｰ,---,武豊  , 0.3, 42, -20,   0, 2,  3.4,⑤⑥④, 3, 7,Ｉスマｰティコジｰン, 64,岩田  , 0.9, 66,*  5,  -6,10, 38.1,②②②, 3,13,Ｂバンブｰライカルト, 82,岩田  , 0.2, 70,* 15, -18, 6, 14.1,③②②
 4,12,Ｅグッドバニラ, 43,福永  , 0.9, 45, -15,  -1, 5, 11.3,⑩⑪⑩, 4, 8, ブルｰゲッタウェイ,---,岩田  , 0.6, 38, -24,*  2, 8, 47.4,⑨⑨⑪, 4,14,Ｌツルマルロｰレル, 62,熊沢  , 1.0, 65,*  5,  -7, 7, 31.7,③②②, 4, 2,Ｌシルクチャンピオン, 74,安藤勝, 0.3, 71,  12,  -8, 4, 11.9,⑨⑧⑨
 5,13,Ｇホッコｰラブリｰ, 41,小牧太, 0.9, 43, -23,*  7,10,104.0,⑮⑮⑬, 5, 5, オオシマオジョｰ,---,川田  , 0.7, 29,*-16, -12, 6, 32.7,①①①, 5,12,Ｅスリｰハイランド, 67,橋本美, 1.2, 65,  -3,   7, 8, 32.6,⑫⑫⑩, 5, 8,Ｏヘキレキ, 69,武幸  , 0.6, 63,   6,* -7,15, 93.5,⑫⑫⑭
 6, 3,Ａラブメッセンジャｰ, 53,太宰  , 1.0, 49,*  1, -17, 3,  4.5,①②②, 6, 4, グランプリゲイト,---,福永  , 0.7, 34, -21,  -4, 1,  2.0,⑦⑦⑦, 6, 3,Ｇワイルドコマンダｰ, 65,生野  , 1.2, 62,  -4,*  7,14, 74.7,⑬⑬⑫, 6,10,Ｅサンショｰオｰ, 80,四位  , 0.6, 64,   7,* -8, 8, 17.8,⑭⑫⑪
 7,15,Ｍユメノティアラ, 22,幸    , 1.1, 41, -18,   0, 8, 65.6,⑬⑫⑫, 7, 9, ストライキング,---,小牧太, 0.8, 34, -21,  -6, 5, 31.2,⑧⑦④, 7, 4,Ｈロｰドオリオン, 64,村山  , 1.2, 64,  -1,   4,16,265.5,⑨⑩⑨, 7, 9,Ｐシンシンマｰキｰ, 66,芹沢  , 0.6, 63,* 15, -25,11, 22.4,②②②
 8,10,Ｉカシノカオリ, 37,高井  , 1.1, 43,  -4, -15,11,119.6,①④④, 8, 1, タイヨウノヨウニ,---,渡辺薫, 1.1, 25, -19, -13, 7, 32.7,⑥④④, 8, 8,Ｃリスティアプロトス, 71,安藤勝, 1.3, 63,   0,   1, 3,  9.3,⑩⑦⑦, 8,16,Ａトウカイポピｰ, 84,幸    , 0.8, 64,   6, -10, 7, 14.4,⑭⑭⑪
