06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 4歳上500万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｅカネトシパワｰズ, 39,柴原  , 2.0, 22, -24, -10, 5, 32.9,⑬⑬⑬,12,18,Ｂマヤノモノノケヒメ, 52,塚田  , 1.7, 32,* -9, -18, 7, 16.7,②②③,12, 7,Ｅパリカバザｰル, 65,津村  , 2.1, 53,*  4, -17, 6, 11.1,②②②,12, 3,Ｌアドマイヤナンシｰ, 61,生野  , 2.1, 51,  -5,  -5,13, 52.6,⑮⑮⑮
13, 2,Ｈミネノグロｰリｰ, 36,赤木  , 2.2, 23, -13, -19,12,277.9,⑫⑪⑫,13,10,Ｍコスモテンドン, 36,中谷  , 1.7, 40, -11,  -5,12, 34.3,⑨⑨⑩,13,15,Ａセイウンカラク, 69,ルメｰ, 2.2, 52,   3, -14, 2,  5.7,④④⑨,13, 6,Ｍトウカイパフィｰ, 60,中舘  , 2.3, 51,   0, -15,10, 37.0,⑬⑪⑩
14, 4,Ｍカシノボルテｰジ, 19,二本柳, 2.8, 11, -29, -15,14,356.4,⑭⑭⑭,14, 4,Ｊクリスタルビｰズ, 40,柴原  , 2.3, 35, -15,  -5,15,232.3,⑪⑮⑯,14,14,Ｏフィルハｰモニｰ, 47,上野翔, 2.5, 47,  -1, -13,12, 62.6,⑧⑩⑬,14,16,Ｐシナｰラ, 51,西田  , 2.3, 49,*  4, -24,15, 59.7,①①①
,,,,,,,,,,,,15,11,Ｎマッキｰゼネラル, 36,赤木  , 2.4, 35, -17,  -2,13,193.3,⑯⑰⑱,15,11,Ｋサンレイスキャン, 57,渡辺薫, 3.1, 46,*  5, -26, 5,  9.5,①①②,15,15,Ｎピュｰマカフェ, 56,小島一, 2.5, 44,*  2, -27,12, 41.0,②②②
,,,,,,,,,,,,16, 9,Ｐワンダｰヘクタｰ, 28,加藤士, 2.5, 29, -18,  -9,18,416.1,⑱⑮⑮,,,,,,,,,,,,,16,14,Ｋプラントコンコルド, 63,津村  , 2.7, 41,*  2, -28, 9, 30.9,③③⑥
,,,,,,,,,,,,17, 3,Ｑレッドラバｰボｰル, 26,嘉藤  , 2.5, 35, -17,  -4,16,274.6,⑮⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｌキングマキシマム, 39,藤岡  , 2.6, 22,  -9, -25, 5, 13.7,④④⑫,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
"単勝:210円 複勝:09=120円 12=690円 07=260円 枠連:1,240円",,,,,,,,,,,,"単勝:1,980円 複勝:14=660円 12=540円 01=240円 枠連:3,010円",,,,,,,,,,,,単勝:340円 複勝:06=170円 03=220円 02=450円 枠連:770円,,,,,,,,,,,,単勝:300円 複勝:04=140円 05=150円 02=250円 枠連:720円,,,,,,,,,,,
"馬連:6,460円 ワイド:09-12=1,550円 07-09=510円 07-12=4,760円",,,,,,,,,,,,"馬連:11,120円 ワイド:12-14=3,410円 01-14=1,920円 01-12=1,850円",,,,,,,,,,,,"馬連:1,390円 ワイド:03-06=600円 02-06=1,240円 02-03=1,350円",,,,,,,,,,,,馬連:800円 ワイド:04-05=310円 02-04=530円 02-05=850円,,,,,,,,,,,
