06年 1月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上1000万 別定,,,,,,,,,,,,■10R  芝1200m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若水賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂサクラモサ, 52,小島一,, 63,* -2,*  2, 3,  3.9,②①①, 1, 5, ミルククラウン,---,後藤浩,, 62,*  2,  -3, 1,  1.7,①②②, 1, 6,Ｈサクラビジェイ, 72,小島一,, 92,* 17,  11, 2,  3.8,①①①, 1, 1,Ｆゴｰルドクラウン, 75,柴田善,, 81,   7,  13, 1,  3.3,⑩⑧⑦
 2,13,Ａロイヤルフェアリｰ, 56,後藤浩, 0.2, 64,* -1,*  1, 2,  3.3,①②②, 2,13, ユキノサンシャイン,---,小野  , 0.9, 51,  -2,  -8, 4,  9.9,④④④, 2, 7,Ａバｰズアイ, 81,柴田善, 0.8, 86,* 18,   5, 3,  4.4,②②②, 2, 7,Ｏエネルマオｰ, 66,勝浦  , 0.0, 81,   5,  15, 7, 21.5,⑦⑨⑦
 3, 8,Ｃケイアイカルディナ, 48,吉田豊, 0.9, 56,  -4,  -2, 1,  2.8,③④③, 3, 9, トゥルｰビュｰティ,---,吉田豊, 1.0, 52,*  2, -13, 6, 14.3,①②②, 3, 1,Ｅウセル, 73,石橋脩, 1.5, 71,  -6,* 19, 9, 24.5,⑮⑯⑭, 3, 6,Ｂアルフェッカ, 80,鈴来  , 0.1, 80,* 13,   6, 4,  7.4,③③③
 4, 5,Ｈミスティアスガイ, 37,高山太, 1.2, 53,  -7,  -2,13,298.8,④⑨⑥, 4, 3, ナフプリオン,---,田中勝, 1.0, 49,  -8,  -4, 5, 13.8,⑦⑦⑥, 4,12,Ｇナチュラルリｰダｰ, 73,田中勝, 1.5, 74,   5,  10, 1,  3.6,⑨⑨⑨, 4,15,Ｎフラワリングバンク, 67,松岡  , 0.1, 82,* 17,   2,11, 38.0,③①①
 5,14,Ｅシンボリファン, 43,バルジ, 1.4, 51,  -4,  -7, 4,  5.8,⑤④③, 5,10, カネスザブレｰブン,---,木幡  , 1.1, 47, -10,  -3, 8, 50.0,⑨⑧⑧, 5,16,Ｃケイビイスパイダｰ, 75,大野  , 1.6, 72,  11,   1, 8, 22.0,⑥⑤⑦, 5, 2,Ｄストロベリｰドｰル, 76,菊沢徳, 0.2, 76,  -1,* 18, 9, 32.1,⑫⑬⑪
 6,15,Ｄリネンパｰシャン, 44,江田照, 1.4, 51,* -3,  -8, 5, 17.7,⑤③③, 6, 6, ラブミｰスマイル,---,松岡  , 1.2, 47,  -5,  -9,13,266.9,④⑤④, 6, 3,Ｎセンノクニャｰズ, 64,佐藤聖, 1.7, 68,  -5,* 15,15,355.5,⑮⑮⑫, 6,10,Ａシｰキングマイラブ, 84,江田照, 0.2, 78,   9,   9, 2,  4.1,⑤⑥⑤
 7, 4,Ｋトレンドシチｰ, 32,木幡  , 1.7, 46,  -9,  -5, 8,101.6,⑧⑩⑪, 7,15, テンジンテンリュウ,---,高山太, 1.4, 41, -18,*  2, 9, 82.3,⑪⑩⑩, 7, 9,Ｌコウジンアルス, 66,水出  , 1.7, 70,  10,   1,13,143.6,⑤⑤⑧, 7,12,Ｈカｰムブレイカｰ, 73,吉田豊, 0.2, 79,* 13,   4,13, 61.1,⑤③③
 8, 2,Ｎトｰホウメボン, 18,坂井英, 1.8, 46, -10,  -5,10,163.1,⑯⑩⑧, 8, 8, リュウアポロン,---,伊藤直, 1.8, 39, -11,  -9,14,289.6,⑨⑧⑧, 8, 8,Ｂブルｰチェイサｰ, 77,吉田隼, 1.8, 71,  11,  -1, 5, 12.6,⑦⑤⑤, 8,11,Ｅカラメルアｰト, 76,柴山  , 0.3, 75,   5,  10, 3,  5.4,⑦⑨⑩
 9, 9,Ｐオアシスシチｰ,-17,岩部  , 2.1, 43,  -5, -13,15,330.7,⑨⑥⑥, 9,11, エバｰプリンス,---,丹内  , 1.8, 38,  -7, -15, 7, 41.9,④⑤⑥, 9, 4,Ｐダンシングホｰク, 62,柴田未, 1.8, 71,   5,   7,16,483.6,⑪⑨⑨, 9, 4,Ｃダｰビｰゾｰン, 79,大西  , 0.3, 75,  10,   6, 5,  9.8,①⑤⑤
10, 7,Ｇミネノグロｰリｰ, 39,石橋脩, 2.7, 35,  -7, -18, 7, 51.6,⑦⑧⑩,10, 7, ブルｰノｰザｰ,---,柴山  , 1.9, 36, -18,  -3, 3,  7.9,⑭⑩⑪,10,13,Ｆショウグンエックス, 73,津村  , 2.0, 66,   2,   6, 6, 15.9,⑩⑪⑪,10,14,Ｇイットウリョウダン, 74,丹内  , 0.4, 73,   4,  10,14, 66.2,⑩⑨⑪
11,16,Ｏミツアキファイヤｰ, 14,二本柳, 2.9, 34, -11, -15,11,253.0,⑪⑫⑫,11, 4, サムシンググッド,---,柴田善, 2.1, 33, -24,*  0, 2,  5.0,⑫⑬⑫,11, 2,Ｋシルクミッドナイト, 67,バルジ, 2.1, 66,  -2,  10,11, 39.7,⑬⑫⑫,11, 8,Ｍエイグレット, 67,津村  , 0.5, 68, -11,* 23,12, 54.5,⑯⑯⑯
12,11,Ｊブルｰアジサイ, 36,見沢  , 3.1, 30, -17, -12,12,283.7,⑬⑬⑬,12, 1, ビュｰティジュン,---,郷原  , 3.3, 18, -33,  -3,11,111.8,⑮⑮⑮,12,10,Ｍザップトウショウ, 66,松岡  , 2.2, 68,  12,  -4, 7, 20.2,⑦⑤⑤,12,16,Ｊウインドヴェイン, 72,村田  , 0.7, 72,* 15,  -5, 6, 16.1,①②②
13, 3,Ｉオンワｰドアリア, 37,郷原  , 3.3, 28, -17, -14,16,352.6,⑭⑬⑭,13, 2, スズタケヒデ,---,二本柳, 3.4, 29,*  2, -36,15,332.0,①①①,13,11,Ｉエフテｰコンコルド, 72,丹内  , 2.3, 68,* 16,  -9,12, 57.4,②③③,13,13,Ｌエミナ, 68,横山義, 0.8, 68,   9,  -1, 8, 29.2,⑦⑥⑦
14, 1,Ｍトップロｰド, 22,鈴木慶, 3.5, 22, -26, -11,14,322.9,⑭⑯⑯,14,12, ヒシリベンジ,---,北村宏, 4.1, 12, -23, -21,10, 91.1,⑧⑫⑬,14, 5,Ｏキャンディッド, 63,郷原  , 2.3, 64,  -3,   9,14,239.8,⑬⑭⑭,14, 3,Ｉメニｰアワｰド, 72,北村宏, 0.8, 65,  -4,  12,15,165.0,⑫⑮⑬
15,12,Ｌディアトラック, 24,中舘  , 3.6, 28,  -5, -28, 9,162.3,⑨⑥⑧,15,14, ボストンホｰプ,---,坂井英, 4.5,  7, -28, -20,12,126.2,⑫⑭⑭,15,15,Ｄアマビリｰタ, 75,北村宏, 2.4, 68,  16,  -8, 4,  8.7,④③③,15, 9,Ｋオトハチャン, 69,中舘  , 1.1, 61,   0,   2,10, 32.6,⑫⑫⑬
16, 6,Ｆニチリンタロｰ, 41,菊沢徳, 3.9, 22, -19, -18, 6, 18.7,⑪⑮⑮,,,,,,,,,,,,,16,14,Ｊサザンシｰラ, 68,加藤士, 3.2, 52,  -3,  -2,10, 32.3,⑪⑫⑭,16, 5,Ｐワンダｰマテリア, 39,坂井英, 2.7, 35,  -1, -21,16,363.7,⑫⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,
単勝:390円 複勝:10=130円 13=120円 08=110円 枠連:420円,,,,,,,,,,,,単勝:170円 複勝:05=110円 13=220円 09=260円 枠連:550円,,,,,,,,,,,,単勝:380円 複勝:06=150円 07=160円 01=400円 枠連:570円,,,,,,,,,,,,"単勝:330円 複勝:01=160円 07=560円 06=270円 枠連:2,630円",,,,,,,,,,,
馬連:580円 ワイド:10-13=230円 08-10=250円 08-13=190円,,,,,,,,,,,,"馬連:840円 ワイド:05-13=400円 05-09=490円 09-13=1,110円",,,,,,,,,,,,"馬連:680円 ワイド:06-07=300円 01-06=1,320円 01-07=1,180円",,,,,,,,,,,,"馬連:3,720円 ワイド:01-07=1,370円 01-06=680円 06-07=3,210円",,,,,,,,,,,
"馬単:1,340円 3連複:560円",,,,,,,,,,,,"馬単:1,170円 3連複:2,780円",,,,,,,,,,,,"馬単:1,320円 3連複:4,450円",,,,,,,,,,,,"馬単:6,060円 3連複:9,380円 3連単:57,750円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 5R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 4歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,中山新春ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｱﾚｷｻﾝﾄﾞﾗｲﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂアジアンティック, 48,後藤浩,, 57,* -3,  -2, 2,  3.5,②②②, 1, 8, ブラックランナｰ,---,バルジ,, 55, -16,* 11, 1,  4.1,⑧⑧⑥, 1,10, バルトフォンテン,,横山義,,,,, 1,  2.7,⑥②①, 1, 2,Ｅタガノゲルニカ, 79,吉田豊,, 87,  12,* 14, 1,  2.3,④④④
 2,10,Ｈリンガスパｰトナｰ, 38,田中勝, 0.2, 58, -11,* 11, 8, 17.1,⑭⑪⑦, 2, 2, コパノカチドキ,---,後藤浩, 0.3, 52, -17,* 10, 5,  8.5,⑪⑩⑦, 2, 9, ダンシンリボルバｰ,,金子光, 0.1,,,, 6, 14.6,⑤④③, 2,11,Ｃタイラントシチｰ, 80,中舘  , 0.3, 86,* 13,   9, 5, 11.0,①②①
 3, 2,Ｆチェイスバニヤン, 41,津村  , 0.7, 50,  -7,  -4, 5, 10.0,④④④, 3, 5, アイアムドラマ,---,勝浦  , 0.7, 49, -20,* 10, 6,  8.6,⑬⑬⑨, 3, 8, アインオｰセン,,林    , 0.3,,,, 5, 13.8,⑥⑥③, 3,15,Ａトｰセンブライト, 86,松岡  , 0.4, 85,  12,  10, 2,  5.4,④④②
 4, 8,Ｃパｰプルカフェ, 46,小島一, 0.7, 49,  -9,* -2, 4,  8.4,⑦⑥⑥, 4,13, オｰベルステｰジュ,---,柴田善, 0.8, 45, -20,   8, 4,  7.8,⑭⑬⑫, 4, 3, チップインバｰディ,,大庭  , 1.3,,,, 9, 53.5,②②③, 4, 4,Ｉモエレアドミラル, 77,柴田善, 0.8, 82,  12,   6, 6, 15.1,⑥④④
 5, 1,Ｏケイアイチャｰム, 10,吉田豊, 0.9, 50,* -3, -11, 9, 46.5,①①①, 5,12, トｰセンオマｰジュ,---,石橋脩, 1.7, 24, -15, -20, 3,  5.8,⑧⑤③, 5, 2, ジェイケイテイオｰ,,田中剛, 1.5,,,, 3,  7.1,③④③, 5, 3,Ｍシｰルビｰバック, 70,木幡  , 0.9, 82,  10,   9,10, 62.6,⑨⑩⑦
 6, 6,Ａケｰジｰオテンバ, 53,坂井英, 1.3, 47,* -3, -15, 6, 10.4,③②②, 6,10, テンジンダイカグラ,---,丹内  , 1.8, 17,*-14, -27, 7,  9.6,②①①, 6, 4, ストｰムセイコｰ,,山本  , 1.6,,,,12,141.6,⑧⑨⑦, 6,16,Ｈウインレガｰト, 77,田中勝, 0.9, 82,   9,* 12, 8, 17.3,⑭⑫⑩
 7,13,Ｋヒノクニオゴジョｰ, 32,木幡  , 1.9, 43,  -6, -15,12,165.4,⑤④④, 7, 4, チェックシックス,---,柴山  , 1.9, 24, -17, -15, 8, 26.3,⑥⑩⑨, 7, 5, スマｰトフェアリｰ,,蓑島  , 1.7,,,,11,103.7,⑪⑩⑨, 7,10,Ｌワンダｰハｰブ, 73,勝浦  , 1.6, 76,   7,   8,12,109.8,⑭⑮⑭
 8,12,Ｊアｰチャン, 36,石橋脩, 2.5, 37,  -9, -16, 7, 16.3,⑥⑦⑧, 8, 6, シンボリタイタン,---,西田  , 1.9, 20,*-12, -27,10, 33.4,⑥②②, 8,13, アドマイヤホｰプ,,北沢  , 2.0,,,, 2,  2.8,④①②, 8,13,Ｄアルファフォｰレス, 79,村田  , 1.9, 73,* 13,  -5, 4,  9.1,③③④
 9, 9,Ｄドクタｰヴィガラス, 44,柴田善, 2.8, 36,  -8, -18, 3,  6.3,⑦⑦⑧, 9,14, レッドアｰチ,---,石神  , 2.1, 20, -14, -25,12,111.4,④⑤③, 9,12, ビジネスサイクル,,宗像  , 2.5,,,, 7, 17.8,⑧⑦⑦, 9, 1,Ｆウイングラシアス, 78,北村宏, 2.1, 73,  11,  -3, 7, 16.4,⑨⑨⑦
10, 7,Ｅシャラポワ, 42,柴山  , 3.2, 34, -13, -14, 1,  3.2,⑮⑮⑭,10, 3, リワｰドプレザン,---,田中勝, 2.6, 10, -15, -31,11, 74.3,④⑤⑨,10, 6, ホリディオンワｰド,,平沢健, 2.5,,,,13,147.9,⑩⑩⑩,10, 5,Ｋフサイチストラトス, 74,江田照, 2.1, 72,  11,  -4,11, 67.2,⑦⑦⑦
11, 4,Ｇヒロムｰンライト, 41,村田  , 3.5, 32, -11, -19,11,131.9,⑫⑪⑪,11, 9, ダンシングタイガｰ,---,松岡  , 2.7, 13, -19, -26, 9, 28.3,⑫⑫⑫,11, 7, コアレスクレバｰ,,穂苅  , 2.9,,,, 4, 11.2,⑫⑫⑪,11,12,Ｏシベリアンメドウ, 66,バルジ, 2.4, 71,   7,   0,14,167.2,⑯⑮⑭
12,15,Ｌパナックス, 24,岩部  , 3.8, 30, -13, -19,10, 82.1,⑯⑮⑭,12, 1, メジロジオムビｰ,---,吉田豊, 2.8,  5,*-12, -41, 2,  4.2,①②⑤,12, 1, サムライワｰルド,,浜野谷, 3.4,,,,10, 82.0,①⑦⑪,12, 7,Ｂカオリノｰブル, 83,石橋脩, 2.4, 69,* 13, -11, 3,  5.9,①①②
13,16,Ｍトｰセンピュア, 22,石神  , 3.8, 29, -10, -25,16,287.5,⑩⑨⑩,13,11, サフィｰル,---,村田  , 2.8,  4,*-12, -41,13,114.0,③②⑦,,,,,,,,,,,,,13, 8,Ｎサンワｰドラン, 70,後藤浩, 2.4, 70,  10,  -5, 9, 50.4,⑪⑩⑩
14, 3,Ｉミスフｰスイ, 38,吉田隼, 3.9, 26, -13, -24,14,243.1,⑫⑪⑪,14, 7, ダイワハルパｰ,---,北村宏, 3.0,  7, -17, -33,14,199.6,⑧⑨⑫,,,,,,,,,,,,,14,14,Ｇブラｰボウッズ, 77,小野  , 2.7, 65,  11, -10,15,280.8,⑦⑦⑫
15, 5,Ｎナストレカントリｰ, 16,バルジ, 5.6, 15, -11, -40,13,221.5,⑪⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｐドントコイタカトモ, 63,二本柳, 2.8, 67,   8,  -4,16,295.8,⑬⑭⑭
16,11,Ｐサンワｰドビジュｰ,  6,中舘  , 6.1, 12,  -9, -47,15,285.4,⑦⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｊプライマリｰケア, 76,田辺  , 3.0, 66,   9,  -9,13,119.9,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:350円 複勝:14=170円 10=390円 02=340円 枠連:650円,,,,,,,,,,,,"単勝:410円 複勝:08=170円 02=250円 05=260円 枠連:1,660円",,,,,,,,,,,,単勝:270円 複勝:10=150円 09=330円 08=330円 枠連:810円,,,,,,,,,,,,"単勝:230円 複勝:02=130円 11=230円 15=150円 枠連:1,190円",,,,,,,,,,,
"馬連:2,750円 ワイド:10-14=1,000円 02-14=810円 02-10=2,490円",,,,,,,,,,,,"馬連:1,470円 ワイド:02-08=570円 05-08=710円 02-05=1,070円",,,,,,,,,,,,"馬連:1,880円 ワイド:09-10=720円 08-10=660円 08-09=1,710円",,,,,,,,,,,,"馬連:1,440円 ワイド:02-11=550円 02-15=300円 11-15=560円",,,,,,,,,,,
"馬単:3,690円 3連複:7,850円",,,,,,,,,,,,"馬単:2,720円 3連複:4,060円",,,,,,,,,,,,"馬単:2,820円 3連複:6,160円",,,,,,,,,,,,"馬単:2,130円 3連複:1,940円 3連単:8,370円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 4歳上500万(牝) 別定,,,,,,,,,,,,■ 9R  ダ1200m 3 歳500万(牝) 馬齢,,,,,,,,,,,,■12R  芝2200m 4歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,呉竹賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃバルバロ, 51,北村宏,, 59,   5, -12, 2,  6.7,④④②, 1,13,Ｈラブリネスオブパリ, 56,柴田善,, 75,*  4,* 10, 2,  3.3,①①①, 1,16,Ｆアヤパン, 52,坂井英,, 68,* 11,  -6, 5,  9.5,②②②, 1,10,Ａケｰジｰフジキセキ, 79,松岡  ,, 60,* -2,   2, 1,  2.5,④②③
 2,12,Ａパワｰコレクタｰ, 56,柴田善, 0.0, 59,   4, -11, 1,  1.6,⑤⑤④, 2,12,Ａコパノニキｰタ, 69,吉田豊, 0.1, 75,   0,* 16, 3,  3.3,⑬⑩⑥, 2,14,Ｇアルジェナｰ, 51,松岡  , 0.2, 65,   7,  -4, 3,  4.7,⑫⑦⑤, 2,11,Ｅヤマニンメルベイユ, 70,柴田善, 0.0, 61,* -1,   2, 4,  9.6,②②②
 3, 2,Ｅロｰレルエルドラド, 46,バルジ, 0.1, 58,   2,* -8, 6, 16.9,⑩⑦⑥, 3, 8,Ｃメジロカｰル, 62,柴山  , 0.3, 72,*  3,*  8, 1,  3.1,⑤②②, 3,11,Ｋビｰボｰン, 47,田中剛, 0.3, 62,   7,  -5,13,169.1,⑩⑦⑨, 3, 4,Ｂアクレイム, 72,バルジ, 0.1, 62,* -2,   2, 2,  4.2,⑤④④
 4, 8,Ｈヤクモキャット, 37,柴山  , 0.2, 58,   0,* -5, 8, 43.9,⑬⑪⑧, 4, 9,Ｄアネモスダダ, 60,武士沢, 1.5, 65,   1,   1, 5, 18.5,⑧⑨⑥,16, 3,Ｊグロスタｰチャｰム, 48,武士沢, 0.3, 65,   6,  -4,15,239.3,⑧⑩⑤, 4, 2,Ｄペネトレｰタｰ, 70,柴山  , 0.2, 61,  -2,   2, 3,  4.2,⑤⑥⑥
 5, 4,Ｆシルクスタｰシップ, 42,村田  , 0.4, 56,   2, -11, 5, 15.1,⑦⑦⑥, 5, 2,Ｂツルマイクィｰン, 66,佐藤聖, 2.4, 55,   0,  -9,13,208.0,⑨⑦⑥, 4, 6,Ｈルックアミリオン, 51,柴山  , 0.4, 60,  -1,*  1, 1,  3.6,⑫⑬⑪, 5, 8,Ｊモンブランカフェ, 64,小島一, 0.2, 54,* -4,  -1, 7, 27.7,②④④
 6, 9,Ｂマイネルコレドｰル, 51,坂井英, 0.5, 54,   0,* -8, 4, 10.4,⑬⑪⑫, 6,11,Ｎオンワｰドスワン, 50,松岡  , 2.4, 57,  -3,   0,11,136.2,⑭⑭⑫, 5, 9,Ａタイセイハニｰ, 60,中舘  , 0.7, 56,  -4,*  1, 2,  3.9,⑮⑭⑬, 6, 3,Ｃセンカク, 72,石神  , 0.2, 63,  -3,   5, 8, 37.3,⑩⑩⑦
 7, 6,Ｊジェネラスボｰイ, 36,木幡  , 0.8, 53,   0, -11,13,202.7,⑨⑪⑩, 7, 3,Ｏトミケンサンデｰ, 50,バルジ, 2.7, 55,  -1,  -6,10, 62.0,⑪⑫⑪, 6, 7,Ｃコスモスカイライン, 58,村田  , 0.8, 57,   7, -10, 6,  9.6,⑥⑦⑨, 7, 1,Ｎサクラプリムロｰズ, 61,後藤浩, 0.3, 62,  -4,*  7,14,102.8,⑩⑪⑫
 8,15,Ｇハッスルハッスル, 39,田中勝, 1.7, 45,   3, -24,10,108.9,⑤⑥⑧, 8, 1,Ｆリンダシチｰ, 58,吉田隼, 2.7, 53,   0, -12, 9, 33.3,④⑦⑥, 7, 2, スパイシｰ,---,吉永  , 0.9, 57,   8, -11,10, 41.5,④⑤⑤, 8, 5,Ｋフォスタｰズソング, 63,木幡  , 0.3, 57,*  0,  -4, 6, 19.7,①①①
