06年12月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.3,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひいらぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆサクラワイズ, 45,後藤浩,, 63,*  5,* -5, 4, 10.5, ②①, 1, 3,Ｂショウナンタレント, 62,柴田善,, 67,*  0,   7, 1,  3.2,①①①, 1, 4,Ｄオリンピアンナイト, 60,横山典,, 81,* -4,* 22, 2,  3.2,⑧③③, 1,13,Ｂカタマチボタン, 69,ルメｰ,, 74,   6,   7, 2,  5.6,④③③
 2,14,Ａトｰセンマキシマム, 58,柴田善, 0.2, 59,   3,* -5, 1,  1.8, ③②, 2, 4,Ｆホクレレ, 52,蛯名正, 0.3, 65,* -2,   7, 3,  5.3,③②④, 2, 7,Ｂマルブツクロス, 66,大野拓, 0.4, 71,* -4,* 16, 1,  2.4,③②②, 2,14,Ｈトｰセンクラウン, 62,江田照, 0.2, 72,  -4,* 20, 4,  6.0,⑬⑬⑫
 3,15,Ｂダイワウイザｰド, 56,松岡正, 0.3, 55,   0,* -3, 2,  4.5, ⑦⑦, 3,14,Ａサンライトプリティ, 63,田中勝, 0.6, 61,  -3,   5, 6, 16.4,⑥⑤⑤, 3,10,Ｆメジロハックマン, 58,後藤浩, 1.2, 61,* -3,  10, 3,  5.1,①①①, 3, 9,Ｅレｰスドｰル, 64,蛯名正, 0.4, 69,  -2,* 13, 6,  7.7,⑭⑪⑨
 4, 6,Ｄセンザイイチグウ, 48,蛯名正, 0.6, 55,   3,  -9, 6, 18.7, ③②, 4,10,Ｄクロコレｰヌ, 56,高橋智, 0.6, 59,* -2,   2, 5,  8.5,③②②, 4, 1,Ｈブレイブバニヤン, 52,小野次, 1.5, 59,  -4,  10, 8, 43.3,⑩⑥④, 4, 7,Ｃリンガスファｰスト, 67,柴田善, 0.5, 68,  -2,* 11, 5,  7.5,⑪⑪⑫
 5, 5,Ｅサンベルナｰル, 45,吉田隼, 1.2, 48,   2, -15, 5, 12.0, ③⑥, 5, 5,Ｃトｰセンアイリス, 58,横山典, 0.6, 58,* -1,   0, 4,  6.3,②②②, 5, 5,Ｇブレｰブソルジャｰ, 53,蛯名正, 1.6, 59,  -5,  11, 9, 49.7,⑦⑨⑨, 5, 2,Ｄキングオブロマネ, 67,武士沢, 0.5, 68,   2,   5,11, 55.9,⑦⑦⑤
 6,16,Ｊエクレｰルブラン, 38,勝浦正, 1.3, 44,  -4, -10,10, 84.6, ⑨⑨, 6,11,Ｊホリデイオンアイス, 40,ルメｰ, 0.8, 63,  -7,* 10, 2,  4.0,⑫⑫⑪, 6, 2,Ｅサクセスガｰウィン, 60,北村宏, 1.6, 57,  -4,   9, 5, 12.3,⑥⑥⑦, 6,11,Ｌサンエンタティナｰ, 55,勝浦正, 0.7, 65,   6,  -4,10, 54.6,①③③
 7,13,Ｃトゥインクルタイム, 51,横山典, 2.3, 38,   3, -25, 3,  7.6, ③②, 7, 8,Ｇレディビｰグッド, 51,後藤浩, 0.8, 60,  -6,   7, 8, 26.9,⑨⑧⑦, 7, 9,Ｃバンダムカｰン, 62,青木芳, 1.7, 60,  -5,  11, 6, 19.7,⑧⑨⑩, 7,10,Ａメダイヨン, 73,田中勝, 0.7, 65,   2,   2, 3,  5.7,⑦⑦⑤
 8, 3,Ｏダイワデリンジャｰ, 18,武士沢, 2.4, 36, -18,  -8,14,416.5, ⑮⑭, 8, 2,Ｎフロｰリスト, 23,的場勇, 0.9, 61, -11,* 11,13,145.8,⑯⑮⑬, 8,11,Ａカブキメｰク, 68,武士沢, 1.8, 54,* -4,   5, 4,  9.5,⑤③④, 8, 1,Ｆプラテアｰド, 63,北村宏, 1.0, 61,*  9, -15, 8, 19.5,②②②
 9,12,Ｇシルキｰアテナ, 42,田中勝, 2.4, 33,  -5, -19,11,111.1, ⑨⑩, 9, 1,Ｌマイネキャロライナ, 37,松岡正, 1.2, 56,  -8,   5, 7, 23.6,⑭⑫⑪, 9, 3,Ｋエスペランサワン, 38,勝浦正, 2.6, 51,  -6,   4,10,152.7,⑪⑪⑪, 9, 3,Ｍクロスホｰリｰ, 52,郷原洋, 1.1, 59,* 11, -19,12, 64.9,②①①
10, 4,Ｍオレノウマ, 22,北村宏, 2.4, 35,   1, -24, 9, 68.4, ⑦⑧,10,12,Ｍレオスマイル, 32,江田照, 1.3, 49,  -3,  -6,11, 96.1,③⑤⑤,10, 6,Ｊエヒテンヴィｰゼ, 48,田中剛, 3.1, 48,  -4,  -6,11,181.8,④⑥⑦,10, 4,Ｇサンダｰアロング, 62,横山典, 1.1, 60,   0,  -1, 7, 17.4,⑦⑨⑨
11,11,Ｎコウギョウボス, 19,田中博, 2.4, 34, -15, -13,16,841.4, ⑬⑫,11,16,Ｈコスモプリマ, 49,木幡初, 1.4, 50,  -6,  -3,10, 65.4,⑥⑧⑨,11, 8,Ｉマイネルプロメッサ, 51,ルメｰ, 3.3, 50,* -4,  -9, 7, 24.3,②③④,11, 5,Ｋスガノキング, 56,木幡初, 1.2, 58,   0,  -3, 9, 19.9,⑪⑨⑨
12, 7,Ｈキルシュブリュｰテ, 42,穂苅寿, 2.6, 37,*  5, -30, 7, 34.7, ①②,12, 9,Ｅセトウチハｰト, 53,今野忠, 1.4, 50,  -6,  -3, 9, 28.3,⑨⑧⑨,,,,,,,,,,,,,12, 8,Ｉデスコベルタ, 60,後藤浩, 1.3, 57,  -7,   8, 1,  4.3,⑯⑮⑭
13, 2,Ｉヒルノファンタジｰ, 39,今野忠, 2.8, 30,  -6, -22,12,154.5, ⑪⑪,13, 7,Ｐエプソムラヴソング,-19,吉田隼, 2.2, 40,  -4, -20,15,290.1,⑥⑤⑦,,,,,,,,,,,,,13, 6,Ｎマイネルランペｰジ, 50,吉田豊, 1.4, 56,   4, -12,14,121.0,④⑤⑧
14, 8,Ｋアプロｰズビコｰ, 33,的場勇, 3.1, 23, -17, -18,13,214.4, ⑭⑮,14, 6,Ｉシｰガｰル, 43,御神本, 2.7, 36,  -9, -15,12,114.8,⑭⑮⑯,,,,,,,,,,,,,14,12,Ｊトウカイファイン, 57,小林淳, 1.6, 53,   4, -15,13, 84.8,④⑤⑤
15, 1,Ｌファイアｰスタｰ, 27,大西直, 3.2, 29, -12, -20, 8, 60.6, ⑫⑫,15,15,Ｋフジノファイタｰ, 38,柄崎将, 2.8, 36,  -7, -21,14,161.9,⑫⑫⑬,,,,,,,,,,,,,15,15, ウオレスカｰリ,---,御神本, 2.1, 47, -14,   7,16,391.5,⑮⑯⑯
16, 9,Ｐキタキタソｰラン, 12,水出大, 3.6, -2, -21, -19,15,655.5, ⑯⑯,16,13,Ｏクルｰジングツアｰ, 21,勝浦正, 2.9, 37,  -6, -24,16,305.0,⑨⑪⑬,,,,,,,,,,,,,16,16, サドラｰズアレグロ,---,今野忠, 2.1, 47,  -4,  -9,15,147.9,⑦⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
