06年10月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 4R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,外房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃミキノモナコ, 54,西田雄,, 67,* 12,* -9, 3,  5.2, ①①, 1, 2,Ａフォレストジャガｰ, 64,中舘英,, 76,* 10,*  1, 1,  1.5, ①①, 1,14,Ａグリｰディｰ, 71,岩田康,, 75,   3,*  9, 2,  4.7, ③③, 1,10,Ｇマドモアゼルドパリ, 74,岩田康,, 63,* -8,  19, 3,  6.2,①①①
 2, 1,Ｉマセラティスタ, 31,穂苅寿, 0.1, 66,* 12,*-10, 8, 72.3, ②②, 2, 6,Ｆワイルドオｰキッド, 50,柴田善, 1.5, 54,   3,  -8, 4,  9.3, ⑥④, 2, 7,Ｂトｰホウカウンタｰ, 68,横山典, 0.3, 74,  -7,* 14, 1,  1.6, ⑬⑫, 2,11,Ｃアポロノサトリ, 82,吉田隼, 0.1, 61,* -9,  19, 1,  2.5,②②②
 3, 5,Ｂトｰセンセイント, 55,勝浦正, 0.6, 57,   9, -12, 4,  7.6, ④④, 3,12,Ｃパッションルンバ, 52,福永祐, 1.5, 57,*  7, -11, 2,  6.9, ③②, 3,12,Ｊタママリア, 53,松岡正, 0.6, 66,   0,   5, 4, 17.5, ⑥⑤, 3, 2,Ａカｰムブレイカｰ, 83,吉田豊, 0.1, 75, -15,* 30, 7, 22.5,⑨⑧⑩
 4, 2,Ｄロｰズフレッシュ, 52,吉田隼, 0.6, 55,   7,*-11, 2,  4.1, ④⑤, 4, 5,Ｉアルファｰレグナム, 39,田中勝, 1.5, 51,  -8,*  3,13,136.5, ⑬⑬, 4,16,Ｄロドリｰバニヤン, 65,田中勝, 0.6, 64,*  5,   1, 3,  6.7, ②②, 4, 4,Ｈコアレスコジｰン, 73,後藤浩, 0.2, 78, -19,* 32, 4, 13.7,⑨⑪⑩
 5,15,Ｈベルモントリボン, 33,石橋脩, 0.6, 56,   8,*-11, 7, 45.0, ④⑤, 5,10,Ｈテンジンハナマツリ, 42,池添謙, 1.6, 53,   2,  -8,10, 45.3, ⑥⑧, 5,13,Ｋリンガスゲｰム, 52,西田雄, 0.7, 63,*  7,  -2,11,147.0, ①①, 5, 3,Ｂビッグカポネ, 82,藤岡佑, 0.3, 59, -11,  19, 2,  3.2,③③④
 6, 6,Ｆサクラワイズ, 43,蛯名正, 1.5, 46,   6, -18, 5,  8.1, ⑦⑦, 6,16,Ｄスクｰプトウショウ, 52,イネス, 2.0, 51,   6, -15, 3,  9.2, ③②, 6, 2,Ｆナウシカトウショウ, 59,イネス, 0.8, 64,  -1,   4, 5, 21.5, ⑥⑩, 6, 1,Ｋクラウニングワｰク, 61,秋山真, 0.4, 60, -13,  21,11, 97.8,⑦⑤⑦
 7,14,Ｐマルサンサプライズ,-54,高野和, 1.6, 40,  -1, -15,16,372.5, ⑩⑩, 7, 4, キラキラボシ,---,小牧太, 2.0, 47,  -9,* -1, 8, 32.0, ⑬⑬, 7, 9,Ｉスズカミンクス, 55,後藤浩, 1.1, 60,  -3,   3, 7, 40.9, ⑩⑦, 7, 8,Ｅサイレントアスク, 76,北村宏, 0.4, 64, -15,  24, 9, 23.1,⑦⑧⑦
 8, 4,Ａリッシンボス, 56,柴田善, 1.7, 49,* 11, -25, 1,  2.4, ②③, 8, 9,Ｇエルプリメロ, 48,石神深, 2.4, 44,   0, -14, 9, 38.2, ⑧⑧, 8, 5,Ｈメジロタｰキッシュ, 55,吉田豊, 1.2, 57,*  4,  -4, 9, 74.8, ③③, 8, 9,Ｊモエレアドミラル, 67,蛯名正, 0.4, 60, -13,  21, 6, 14.8,④⑤④
