06年 1月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稲荷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａクロズキン, 54,幸    ,, 58,* -7,*  0, 2,  4.4,①①①, 1,14,Ｐラッセルバロｰズ,-17,熊沢  ,, 59, -15,* 12,11,113.0,⑩⑥③, 1, 3,Ａマイネカレッシュ, 65,武豊  ,, 65, -18,* 20, 1,  2.7,⑤④⑤, 1, 9,Ｄワンダｰマッハｰ, 79,安藤勝,, 82,  10,*  8, 3,  5.6,⑤⑥⑥
 2, 2,Ｍメディアスナイパｰ, 30,小林徹, 0.4, 54, -10,* -1, 8, 59.7,⑦⑤③, 2, 5,Ｇエリモエクスパイア, 54,佐藤哲, 0.0, 55,*-13,   9, 9, 59.2,②②②, 2, 5,Ｅロｰズカクテル, 63,モンテ, 0.0, 63, -17,  18, 2,  3.9,②②③, 2,15,Ｇマルイチクエスト, 74,幸    , 0.0, 81,* 13,   1, 6, 35.1,①①①
 3, 6,Ｃワンダｰプロ, 53,渡辺薫, 0.5, 52, -11,* -1, 5, 13.6,⑥⑤⑥, 3, 3,Ｄエリモブラスト, 59,渡辺薫, 0.1, 61, -17,* 15, 4, 16.3,⑬⑨⑧, 3, 6,Ｆキョウエイハツラツ, 62,橋本美, 0.5, 56, -17,  14, 7, 18.2,⑥④③, 3,13,Ａトウカイエリｰト, 84,芹沢  , 0.1, 82,  10,*  5, 2,  4.2,⑤⑤③
 4,10,Ｂグリュｰエント, 53,武豊  , 0.7, 49,* -9,  -5, 1,  1.9,②②②, 4,11,Ｊアグネスツイスタｰ, 42,四位  , 0.2, 60, -18,* 15, 6, 20.8,⑦⑪⑪, 4,13,Ｎスタｰピアス, 51,熊沢  , 0.6, 51,*-16,  11,12,126.6,②②②, 4,16,Ｌコウエイマｰブル, 71,和田  , 0.2, 79,* 12,  -1, 9, 58.0,②②②
 5,12,Ｇペプチドジャスパｰ, 45,小坂  , 1.1, 43,* -9,  -8, 7, 17.4,②②③, 5, 1,Ｃプレインボイス, 64,福永  , 0.4, 47,*-14,   4, 3,  6.9,⑦③③, 5,10,Ｄレガシｰエンプレス, 63,黒岩  , 0.6, 61, -20,* 19,11, 46.9,⑨⑨⑩, 5,11,Ｆナイスハンド, 77,秋山  , 0.4, 79,   8,*  5, 5, 15.4,⑨⑨⑧
 6, 5,Ｆタキオンシチｰ, 47,四位  , 1.2, 44, -11,  -8, 4, 13.0,⑨⑦⑥, 6, 9,Ｂゲイル, 66,小牧太, 0.5, 54, -18,  10, 2,  2.7,⑭⑭⑪, 6, 1,Ｇシルクホｰムラン, 61,福永  , 0.8, 54, -19,  14, 3,  6.5,⑧⑦⑦, 6, 4,Ｐダンツタイガｰ, 55,藤田  , 0.5, 76,* 11,  -2,12, 97.4,③③③
 7,15,Ｋストロングパワｰ, 33,武英  , 1.5, 38,* -9, -12,12,395.7,②②③, 7, 2,Ｅレグルスキッド, 58,秋山  , 0.6, 45, -15,   4, 5, 20.7,⑤⑥⑦, 7, 8,Ｋバレエブラン, 58,藤田  , 0.9, 46,*-16,   7, 5, 13.4,①①①, 7, 8,Ｋペガサスファイト, 71,石橋守, 0.5, 77,   9,   2, 8, 48.3,⑦⑥⑥
 8, 1,Ｎシゲルドッポダカ, 28,河北  , 1.6, 39, -13,  -9,10,333.5,⑪⑩⑧, 8,10,Ｈミルキｰウェイ, 49,和田  , 0.9, 40,*-14,  -4, 8, 56.6,⑤④③, 8, 9,Ｃサンエムラヴ, 64,秋山  , 0.9, 58, -21,  18, 4,  8.6,⑬⑭⑬, 8, 2,Ｏアインクライマｰ, 66,内田浩, 0.7, 75,   7,   4,15,322.6,⑪⑪⑪
 9, 7,Ｄシャイニングダイヤ, 53,石橋守, 1.7, 36, -12, -11, 3,  5.8,⑦⑦⑧, 9, 8,Ａギｰニョ, 66,武豊  , 1.0, 41, -18,   3, 1,  2.1,⑩⑪⑪, 9, 7,Ｈチャｰミングノア, 60,川島信, 1.5, 46, -20,  11, 6, 16.1,⑪⑪⑫, 9,14,Ｍホッコｰソレソレｰ, 70,小池  , 0.8, 72,   8,   1,13,172.2,⑨⑨⑬
10,11,Ｊイイデカミノヤマ, 33,生野  , 1.7, 36, -20,  -7,11,369.3,⑪⑭⑭,10,16,Ｋサンレイコマンド, 37,難波  , 1.2, 38, -17,  -2, 7, 36.1,⑨⑨⑧,10, 2,Ｉニシノユメヲミセテ, 58,生野  , 1.8, 37, -19,   3, 8, 19.6,⑥⑦⑦,10, 3,Ｎツルマルハｰト, 69,上村  , 0.8, 72,   9,  -2,14,176.3,⑦⑥⑧
11, 3,Ｉケイエスヨシキ, 35,難波  , 2.0, 34, -15, -12,14,773.6,⑪⑫⑩,11, 6,Ｉダンスグランドゥ, 45,荻野  , 1.3, 37, -19,   1,16,687.2,⑩⑬⑭,11, 4,Ｍマンテンハット, 54,佐久間, 1.9, 36, -22,   6,14,286.1,⑪⑪⑬,11, 5,Ｂカノヤバトルクロス, 82,四位  , 0.8, 76,   6,*  5, 4, 13.9,⑭⑭⑪
