06年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 別定,,,,,,,,,,,,■10R  ダ1200m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｉナイアガラ, 38,武豊  ,, 59,  -5,*  2, 1,  1.3,⑤⑤④, 1, 2, タガジョｰシャトル,,金折  ,,,,, 2,  4.9,⑤②③, 1, 5,Ｈビッグホワイト, 66,武幸  ,, 66,   0,   3, 8, 33.4,⑧⑥⑤, 1,13,Ｃスリｰアベニュｰ, 79,武豊  ,, 85,  -2,* 21, 1,  2.2,④⑥⑥
 2, 7,Ｃマルタカタキオン, 48,池添  , 0.1, 59,  -5,*  2, 3, 11.8,⑥⑥⑤, 2,10, モガリブエ,,高田  , 1.3,,,, 6, 15.6,⑫⑨⑤, 2, 7,Ｂシャンパンスノｰ, 73,和田  , 0.1, 65,  -3,   5, 3,  6.9,⑩⑨⑦, 2, 8,Ｂナリタフロンテアｰ, 80,小牧太, 0.3, 78,*  8,   9, 9, 36.8,①①①
 3, 9,Ａマイネルアンツｰク, 57,佐藤哲, 0.3, 56,* -3,  -5, 2,  4.9,②②②, 3, 6, カネトシプロスパｰ,,出津  , 1.4,,,,12,112.3,⑧①②, 3,12,Ｉクｰフｰリン, 64,藤岡  , 0.2, 59, -14,* 15, 9, 39.9,⑮⑭⑮, 3, 5,Ａパレスエｰス, 82,田嶋翔, 0.3, 79,*  3,  13, 2,  4.4,②②②
 4, 1,Ｈシゲルシテカブ, 41,佐久間, 0.7, 53,  -9,   0,10,166.9,⑪⑪⑦, 4,11, コネクトフォｰ,,横山義, 1.5,,,, 7, 17.2,③②①, 4,16,Ａマヤノサムサラ, 76,鮫島良, 0.2, 62,   3,  -5, 1,  1.8,⑥③③, 4, 3,Ｆビッグシャｰク, 77,武幸  , 0.4, 80,  -4,* 19, 4,  9.6,⑩⑨⑨
 5,11,Ｂキンショｰハヤテ, 53,鮫島良, 0.9, 49,  -9,  -3, 5, 17.8,⑩⑨⑨, 5,13, ノボリハウツｰ,,西谷  , 1.6,,,, 1,  2.5,⑪⑦④, 5,14,Ｆコアレスパレｰド, 67,佐久間, 0.3, 57, -15,* 11,11, 65.7,⑭⑭⑫, 5, 2,Ｈエイシンニュｰトン, 74,四位  , 0.6, 76,   0,  13, 6, 12.2,⑤③③
 6, 4,Ｅアドラｰブルキス, 45,和田  , 0.9, 52,  -6,  -4, 7, 75.2,⑦⑦⑦, 6, 4, ニシノサチヒメ,,林    , 2.5,,,, 4,  6.6,⑤⑨⑧, 6,15,Ｐマルブツブラボｰ, 52,本田  , 0.4, 59,  -5,   4,15,299.6,⑫⑨⑩, 6, 6,Ｌセトノヒット, 68,佐藤哲, 0.6, 77,  -3,  16,12,182.0,⑤⑦⑥
 7, 8,Ｆシゲルカイコシ, 44,熊沢  , 1.4, 48,* -2, -18, 6, 60.8,①①①, 7, 9, メイショウワグナｰ,,白坂  , 3.0,,,,11, 58.3,⑨⑧⑥, 7, 4,Ｇスナｰクサンドリｰ, 67,秋山  , 0.6, 58,  -7,   4, 6, 16.7,⑧⑪⑩, 7, 4,Ｇスナｰクファルコン, 76,秋山  , 0.6, 76,   0,  13, 8, 25.2,⑤③③
 8, 2,Ｋシゲルダイハッカイ,  1,酒井学, 1.9, 44,* -3, -21,11,189.8,②②③, 8, 7, マルノウエスタン,,熊沢  , 3.2,,,, 3,  6.0,④④⑥, 8, 9,Ｌキシュウマドンナ, 62,川田  , 0.6, 58,  -2,  -2,10, 64.9,⑤⑦⑦, 8,15,Ｉドラゴンアロｰ, 72,芹沢  , 1.0, 71,  -4,  13, 7, 19.7,⑧⑦⑧
 9, 5,Ｊメイショウイグアス, 38,川島信, 2.7, 38,  -7, -21, 9,155.1,⑦⑧⑨, 9, 1, サンエムタロウ,,菊地昇, 3.6,,,, 5, 11.8,①⑤⑩, 9, 6,Ｄセトモモチャン, 68,高井  , 0.8, 57,*  5, -13, 5, 13.7,②②①, 9, 1,Ｋファンドリワｰルド, 70,熊沢  , 1.1, 71,  -6,  14,14,216.4,⑭⑩⑩
10,10,Ｄマルブツクロフネ, 47,秋山  , 3.3, 33,  -4, -32, 4, 16.2,④④⑤,10, 8, ナイスグロｰリアス,,石山  , 3.6,,,,14,149.7,⑦⑫⑪,10, 1,Ｊエアファンタジスタ, 63,福永  , 0.8, 54, -11,   6, 7, 22.5,⑫⑬⑫,10,10,Ｏヘイアンワイルド, 63,池添  , 1.2, 71, -12,* 19,11,103.5,⑮⑮⑮
11, 6,Ｇダンツキャロル, 42,安部幸, 3.6, 30,  -7, -28, 8, 77.4,⑨⑨⑪,11, 5, ジョッシュ,,中村将, 3.6,,,, 9, 35.4,①⑤⑧,11,10,Ｏケントシチｰ, 55,菊地昇, 1.0, 51, -14,   7,16,313.7,⑮⑭⑮,11,11,Ｅリｰサムウェポン, 78,福永  , 1.2, 68,   0,   7, 5, 11.3,③③③
,,,,,,,,,,,,12,12, エイシンクッシング,,岩崎  , 7.0,,,, 8, 29.3,⑬⑭⑬,12, 8,Ｅダイショウリュウ, 68,武豊  , 1.2, 54,   4, -13, 2,  5.7,③③③,12,12,Ｎヴァンクルタテヤマ, 66,松永  , 1.3, 68,  -6,  12,10, 69.7,⑧⑩⑩
,,,,,,,,,,,,13, 3, メイショウピュｰマ,,嘉堂  , 7.1,,,,13,121.0,⑭⑬⑫,13, 2,Ｋペプチドモアｰ, 63,小坂  , 1.3, 53,   3, -13,13,188.8,④⑤⑤,13, 7,Ｄチリエｰジェ, 78,河北  , 1.5, 66,  -6,  10, 3,  6.9,⑪⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｃヤングヘイロｰ, 69,生野  , 1.5, 51,*  7, -20,12, 87.2,①①②,14,14,Ｍサンエムウラノス, 68,石橋守, 1.7, 64,  -9,  11,13,198.8,⑫⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｍユウゼニス, 62,池添  , 1.8, 45,  -3, -12, 4, 13.5,⑥⑦⑨,15, 9,Ｊケイエスアイ, 71,難波  , 1.7, 64,  -9,  11,15,240.9,⑫⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｎウインクルグラス, 58,上村  , 1.9, 43,  -7,  -9,14,220.5,⑩⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,
単勝:130円 複勝:03=100円 07=150円 09=110円 枠連:510円,,,,,,,,,,,,"単勝:490円 複勝:02=240円 10=620円 06=1,870円 枠連:4,400円",,,,,,,,,,,,"単勝:3,340円 複勝:05=940円 07=230円 12=1,030円 枠連:1,280円",,,,,,,,,,,,"単勝:220円 複勝:13=120円 08=490円 05=140円 枠連:3,440円",,,,,,,,,,,
馬連:580円 ワイド:03-07=220円 03-09=120円 07-09=300円,,,,,,,,,,,,"馬連:4,480円 ワイド:02-10=1,960円 02-06=6,600円 06-10=16,460円",,,,,,,,,,,,"馬連:8,690円 ワイド:05-07=2,480円 05-12=10,270円 07-12=3,390円",,,,,,,,,,,,"馬連:3,880円 ワイド:08-13=1,190円 05-13=220円 05-08=1,410円",,,,,,,,,,,
馬単:690円 3連複:410円,,,,,,,,,,,,"馬単:7,710円 3連複:148,490円",,,,,,,,,,,,"馬単:26,130円 3連複:81,420円",,,,,,,,,,,,"馬単:5,080円 3連複:3,840円 3連単:24,590円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 5R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 4歳上500万(混) 別定,,,,,,,,,,,,■11R  芝1400m 4歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新春ｽﾃｰｸｽ,,,,,,,,,,
