06年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 別定,,,,,,,,,,,,■10R  ダ1200m 4歳上1000万(混) 別定,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａボストンクｰラｰ, 60,モンテ,, 65,*  2,  -2, 1,  2.5,②①①, 1, 2, ウエロクボｰイ,---,武豊  ,, 48,  -9,* -6, 2,  5.1,④④④, 1, 7,Ａイアオニｰドル, 76,鮫島良,, 83,*  6,* 12, 1,  2.5,①①①, 1, 6,Ｅメジロハンタｰ, 82,武豊  ,, 75,  -9,* 20, 2,  4.1,⑨⑨⑩
 2, 8,Ｂツルミトゥインクル, 53,福永  , 0.0, 63,  -8,*  7, 2,  3.5,⑦⑦⑤, 2,11, ピサノアルハンブラ,---,藤田  , 0.0, 48,* -5, -10, 1,  1.5,①①①, 2, 2,Ｄマコトエンペラｰ, 70,菊地昇, 2.0, 70,   2,*  5, 7, 22.7,⑩⑩⑨, 2,11,Ａニシノデュｰ, 89,四位  , 0.1, 68,  -2,  10, 3,  6.2,④⑤⑤
 3, 6,Ｃトキメキパｰトナｰ, 45,藤岡  , 0.6, 57,  -3,  -4, 4, 10.0,⑤③③, 3, 1, ポラリスシチｰ,---,四位  , 0.6, 44,  -7, -14, 7, 39.5,⑨④②, 3,11,Ｂメディアミックス, 73,太宰  , 2.2, 67,   3,   0, 3,  4.7,⑥④⑤, 3, 5,Ｆシンデレラボｰイ, 81,上村  , 0.1, 76, -11,* 22,10, 49.5,⑫⑬⑫
 4, 4,Ｍキャットストリｰト, 27,安部幸, 1.1, 49, -15,*  3,11,114.4,⑫⑪⑩, 4, 4, タマモハクライ,---,福永  , 0.6, 42, -12,* -7, 3,  6.7,⑩⑩⑩, 4, 5,Ｃタイセイスパｰク, 71,川島信, 2.7, 64,  -1,*  4, 9, 38.4,⑭⑭⑭, 4, 2,Ｂアドマイヤコンドル, 82,安藤勝, 0.1, 70,  -4,  13, 4,  6.6,⑥⑦⑤
 5,10,Ｋシロキタベッピン, 29,渡辺薫, 1.3, 47, -11,  -3,14,184.3,⑧⑧⑧, 5, 6, ノｰブルハｰモニｰ,---,池添  , 0.7, 42,  -7, -15, 4,  9.0,⑤③②, 5, 8,Ｊシャインリザルト, 59,佐藤哲, 2.7, 65,   3,  -4,10, 46.1,⑦⑦⑤, 5,13,Ｋプリュネル, 75,小牧太, 0.2, 65,*  3,   2,12, 69.4,③③③
 6, 3,Ｆディｰプスマｰト, 40,川島信, 1.6, 46,  -3, -14, 8, 38.4,④③④, 6, 7, シャリバン,---,川島信, 0.8, 41, -12,  -9, 8, 46.1,⑪⑩⑧, 6,14,Ｍアキノロマンス, 54,モンテ, 2.8, 63,   3,  -5, 8, 37.5,⑧⑦⑦, 6, 4,Ｈリボンアｰト, 80,福永  , 0.2, 70,  -8,  16, 1,  3.3,⑩⑨⑧
 7,15,Ｎシゲルカイケハイ, 27,小林徹, 1.8, 43,  -7, -12, 9, 85.4,⑤⑥⑥, 7, 8, ナムラシｰトン,---,小林徹, 1.6, 30,  -9, -21, 6, 33.9,①④⑩, 7,16,Ｎワイルドライフ, 54,藤岡  , 2.8, 62,   1,  -2, 5, 15.1,⑩⑩⑪, 7, 8,Ｌシゲルドントイケ, 74,佐藤哲, 0.3, 67,  -6,  13, 8, 23.0,⑦⑧⑧
 8, 5,Ｉディンティｰベス, 33,松永  , 1.9, 38, -17,  -3,10,112.2,⑬⑪⑬, 8, 3, クリノブリザｰド,---,上村  , 2.1, 29,  -9, -26, 5, 31.5,⑥⑦⑥, 8,12,Ｋタイグレｰト, 56,熊沢  , 3.0, 62,   0,  -2,11, 70.0,⑫⑫⑪, 8,14,Ｎシュペリユｰル, 71,池添  , 0.3, 65,  -4,  10, 7, 16.7,⑦⑥⑦
 9, 7,Ｅタイキマドレｰヌ, 42,武豊  , 2.1, 37, -17,  -5, 3,  4.6,⑩⑪⑪, 9,12, セフティプレジｰル,---,河北  , 2.7, 22, -10, -31,10,184.5,⑦⑦⑧, 9,10,Ｆサクラスフィｰダ, 66,藤田  , 3.0, 61,*  5, -12, 2,  3.8,②②②, 9,10,Ｇテイエムリキサン, 81,秋山  , 0.4, 71, -13,* 20, 6, 14.8,⑮⑮⑭
10,14,Ｄアロｰラヴィｰン, 45,鮫島良, 2.2, 36,  -6, -19, 7, 22.2,②⑤⑥,10, 5, オｰヨドヨシツネ,---,生野  , 3.3, 16, -10, -38,11,226.9,⑦⑦⑥,10, 3,Ｌメイショウゴジラ, 55,秋山  , 3.1, 60,   3,  -8,14,177.9,⑧⑦⑨,10, 9,Ｉトニｰビｰバｰ, 77,安部幸, 0.4, 61,   2,   0,14,134.6,④③③
11,11,Ｇクリスタルビｰズ, 39,柴原  , 2.3, 35, -15,  -9,13,173.6,⑩⑩⑪,11, 9, シュンキチ,---,内田浩, 4.9,  1,* -6, -57, 9, 46.7,①②⑤,11, 4,Ｅパリカバザｰル, 67,安藤勝, 3.2, 61,   0,  -3, 4, 10.2,⑬⑬⑪,11, 1,Ｏショｰストッパｰ, 65,熊沢  , 0.6, 63, -10,  13,15,144.6,⑫⑪⑩
12,12,Ｈバンロｰゼ, 38,内田浩, 2.6, 38,*  2, -28, 5, 13.5,①②②,,,,,,,,,,,,,12, 6,Ｈウインルミエｰル, 62,上村  , 3.2, 60,   4, -11, 6, 19.7,④④③,12,12,Ｄスイｰトルｰム, 82,和田  , 0.6, 56,*  5,  -8,13,128.1,②②②
13, 2,Ｌハマノビジン, 27,酒井学, 2.6, 34, -11, -16,12,147.1,⑧⑧⑧,,,,,,,,,,,,,13,13,Ｉカツヨキャンドゥ, 60,難波  , 3.3, 59,*  4, -13,12, 82.3,②③③,13, 3,Ｃエリモファイナル, 82,藤岡  , 0.9, 58, -11,  10, 5,  7.9,⑭⑭⑭
14,13,Ｊロｰズロック, 30,佐藤哲, 2.6, 31, -19,  -8, 6, 19.5,⑬⑭⑭,,,,,,,,,,,,,14, 1,Ｏスリｰスピリット, 53,佐久間, 3.7, 53,  -5,  -3,15,182.1,⑭⑮⑮,14,15,Ｊトップパシコ, 76,高山太, 1.1, 46,*  8, -18,11, 54.4,①①①
15, 1,Ｏエプソムファルコン,  0,野元  , 2.7, 28, -30,*  1,15,261.6,⑮⑮⑮,,,,,,,,,,,,,15,15,Ｇトムミラクル, 63,渡辺薫, 3.8, 54,   3, -16,13,107.2,④④⑦,15, 7,Ｍキョウワハピネス, 73,渡辺薫, 1.2, 51, -10,   3, 9, 35.1,⑪⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｐマルヨウィザｰド, 43,中村将, 7.8, 21,  -5, -43,16,371.4,⑯⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
単勝:250円 複勝:09=110円 08=130円 06=230円 枠連:460円,,,,,,,,,,,,単勝:510円 複勝:02=160円 11=110円 01=510円 枠連:640円,,,,,,,,,,,,"単勝:250円 複勝:07=140円 02=400円 11=170円 枠連:2,120円",,,,,,,,,,,,"単勝:410円 複勝:06=190円 11=260円 05=1,020円 枠連:930円",,,,,,,,,,,
馬連:470円 ワイド:08-09=180円 06-09=450円 06-08=590円,,,,,,,,,,,,"馬連:470円 ワイド:02-11=220円 01-02=1,250円 01-11=910円",,,,,,,,,,,,"馬連:2,270円 ワイド:02-07=890円 07-11=290円 02-11=1,520円",,,,,,,,,,,,"馬連:1,390円 ワイド:06-11=540円 05-06=3,300円 05-11=4,000円",,,,,,,,,,,
"馬単:780円 3連複:1,270円",,,,,,,,,,,,"馬単:1,220円 3連複:3,040円",,,,,,,,,,,,"馬単:3,420円 3連複:3,970円",,,,,,,,,,,,"馬単:2,670円 3連複:21,080円 3連単:100,690円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 6R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3 歳500万(混) 馬齢,,,,,,,,,,,,■12R  ダ1400m 4歳上1000万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,福寿草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａキャプテンベガ, 65,武豊  ,, 69,  -8,* 17, 1,  2.2,⑧⑨⑨, 1, 8, トｰホウアラン,---,藤田  ,, 45,*-32,  16, 2,  5.2,②②②, 1, 4,Ｇフサイチジャンク, 49,武豊  ,, 70, -15,* 24, 1,  2.2,④④④, 1, 9,Ａハシルジョウオｰ, 78,武豊  ,, 75,*  7,   2, 1,  2.4,①①①
 2,13,Ｋフレンドシップ, 32,モンテ, 0.0, 69,  -6,* 12, 9, 57.5,⑧⑥③, 2, 5, マイネルスパｰダ,---,佐藤哲, 0.4, 42, -34,  16, 3,  9.7,③③③, 2,10,Ｈメイショウゲンジ, 49,池添  , 0.1, 52,* -8,   6, 7, 44.8,①①①, 2, 2,Ｃハルｰワスウィｰト, 76,藤岡  , 0.0, 74,*  5,   5, 2,  3.8,④③③
 3, 4,Ｂゼンノマルビナス, 56,赤木  , 0.3, 65,* -4,   5, 2,  3.0,②②②, 3, 7, ギュリル,---,武豊  , 0.4, 42, -34,  16, 1,  1.5,④③③, 3, 8,Ｂエイシンチョｰテン, 65,福永  , 0.2, 55, -12,  13, 4,  8.8,②②②, 3, 3,Ｇサヨウナラ, 70,小牧太, 0.3, 73,  -1,   9, 3,  8.3,⑪⑪⑦
 4, 3,Ｃシゲルハンドウダカ, 54,小原  , 0.6, 63,  -5,   5, 3,  9.5,⑤④③, 4, 1, ディｰプヴィｰト,---,和田  , 0.5, 22,*-29,   2, 7, 44.4,①①①, 4, 2,Ｄセキサンフジ, 63,四位  , 0.2, 60, -14,  16, 6, 33.4,③③③, 4,12,Ｎフェアリｰブレス, 64,池添  , 0.5, 68,  -8,* 16, 6, 14.2,⑭⑮⑯
 5,11,Ｌアバランシュ, 28,川島信, 0.9, 61, -10,* 11,12,403.1,⑬⑫⑩, 5, 3, セブンスアンコｰル,---,安部幸, 0.7, 45, -38,* 19,10,111.3,⑧⑧⑧, 5, 7,Ｃサンヴィクトワｰル, 64,安藤勝, 0.5, 65, -18,* 23, 2,  2.8,⑥⑥⑤, 5, 4,Ｋアッチッチ, 66,佐藤哲, 0.5, 70,   2,   4,11, 44.6,⑧⑦⑤
 6, 2,Ｅイブキゴルゴ, 54,本田  , 1.3, 56,* -3,  -6, 7, 29.9,①①①, 6,10, マッシヴアタック,---,藤岡  , 0.8, 35, -36,  13, 4, 10.9,⑥⑤⑤, 6, 6,Ａタマモサポｰト, 67,藤岡  , 0.7, 63, -19,* 23, 3,  4.9,⑧⑦⑦, 6, 8,Ｍオポテュｰニティ, 65,生野  , 0.5, 69,  -1,   6,16,123.0,⑩⑩⑦
 7, 1,Ｄガッサンプリンス, 54,石橋守, 1.6, 54,  -5,  -5, 5, 11.5,③④③, 7, 6, トロピカルラヴ,---,モンテ, 0.9, 32, -36,  11, 8, 51.0,⑤⑤⑤, 7, 1,Ｅシホウネリ, 58,安部幸, 1.0, 54, -19,  16, 8, 66.6,⑦⑦⑦, 7,10,Ｈエリモジェンヌ, 69,赤木  , 0.7, 67,  -8,* 14, 8, 21.8,⑯⑯⑮
 8, 6,Ｈコスミックパワｰ, 42,熊沢  , 1.9, 51,  -7,  -4,10, 84.4,⑥⑦⑦, 8, 4, ロｰドノアｰル,---,池添  , 1.5, 15, -36,   4, 9, 57.9,⑥⑤⑤, 8, 3,Ｉナックルボｰル, 45,小林徹, 1.0, 49, -17,  13, 5, 28.6,⑤⑤⑤, 8, 6,Ｂネオマックイｰン, 77,佐久間, 0.9, 63,  -6,   7, 7, 21.7,⑬⑭⑬
 9, 5,Ｉトｰセンシャナオｰ, 35,藤田  , 2.0, 50,* -4, -10, 8, 33.1,③③③, 9, 2, チョウカイサンデｰ,---,安藤勝, 2.1, 18, -43,  10, 5, 14.4,⑩⑩⑩, 9, 9,Ｊミツアキカッタｰ, 43,東川  , 1.7, 42, -21,  12,10,237.6,⑨⑨⑨, 9, 1,Ｐレテ, 60,モンテ, 1.1, 64,   4,  -5, 9, 27.2,②④③
10, 9,Ｆマｰベラスチｰフ, 48,渡辺薫, 2.3, 49, -10,  -2,11,148.0,⑫⑫⑪,10, 9, マルブツタフネス,---,松永  , 2.3,  3, -38,  -6, 6, 26.1,⑧⑧⑧,10, 5,Ｆブレイバｰ, 54,小牧太, 2.6, 28, -22,   1, 9,123.8,⑩⑩⑩,10, 7,Ｆスズカブルｰム, 70,川田  , 1.1, 62,   3,  -4,13, 64.2,⑤④⑤
11, 8,Ｊオリオンザスカイ, 32,小林慎, 2.4, 48,  -7,  -9,13,522.7,⑥⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｄアクトウエル, 71,中村将, 1.1, 62,  -5,   4,15,122.0,⑭⑬⑩
12,10,Ｇメイショウトンボ, 46,福永  , 2.5, 46,  -8,  -7, 4, 11.4,⑧⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,12,16,Ｉエタｰナルハピネス, 68,福永  , 1.7, 57,  -2,  -3,12, 44.9,⑫⑪⑬
13,14,Ｎスリｰマスコット, 23,生野  , 2.7, 43, -11,  -6,14,905.7,⑬⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｊナリタレインボウ, 67,渡辺薫, 2.0, 56,*  6, -17, 5, 13.5,②②②
14,12,Ｍトシザダイオｰ, 25,四位  , 2.8, 43,  -9,  -8, 6, 16.0,⑪⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｏミズホユウセイ, 62,小林徹, 2.3, 51,   0, -12,14, 89.7,⑦⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｅアイノグレｰス, 71,安部幸, 2.3, 51,   3, -16, 4, 13.2,⑤④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｌニジノカナタヘ, 65,四位  , 3.3, 42,   0, -21,10, 43.8,⑧⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+24 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
"単勝:220円 複勝:07=120円 13=810円 04=130円 枠連:6,170円",,,,,,,,,,,,単勝:520円 複勝:08=120円 05=160円 07=100円 枠連:530円,,,,,,,,,,,,"単勝:220円 複勝:04=130円 10=610円 08=220円 枠連:3,090円",,,,,,,,,,,,単勝:240円 複勝:09=130円 02=150円 03=230円 枠連:440円,,,,,,,,,,,
"馬連:8,760円 ワイド:07-13=2,050円 04-07=200円 04-13=2,530円",,,,,,,,,,,,"馬連:2,450円 ワイド:05-08=400円 07-08=150円 05-07=230円",,,,,,,,,,,,"馬連:3,610円 ワイド:04-10=1,170円 04-08=350円 08-10=2,080円",,,,,,,,,,,,馬連:550円 ワイド:02-09=250円 03-09=440円 02-03=810円,,,,,,,,,,,
"馬単:11,550円 3連複:7,170円",,,,,,,,,,,,"馬単:4,700円 3連複:680円",,,,,,,,,,,,"馬単:4,920円 3連複:6,260円 3連単:32,490円",,,,,,,,,,,,"馬単:950円 3連複:1,790円 3連単:5,060円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
