06年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａカワキタラプラタ, 58,武豊  ,, 49,*-17,   9, 1,  1.5,②②②, 1, 3, シゲルフドウカブ,,金折知,,,,, 4, 10.9,⑤⑥⑥, 1, 8,Ｏメモリｰガリソン, 58,古川吉,, 68,   0,* 11,16,185.6,⑬⑪⑧, 1, 7,Ａジョイフルハｰト, 93,武豊  ,, 82,* 12,  12, 1,  1.6, ①①
 2, 3,Ｅアドマイヤレグルス, 41,岩田康, 0.2, 51, -19,  11, 5, 16.1,④⑤④, 2,12, マルノウエスタン,,熊沢重, 0.2,,,, 2,  3.6,⑦⑤⑤, 2, 2,Ｎスズカフォイル, 58,武豊  , 0.1, 70,   5,   0, 3, 14.0,③③③, 2,11,Ｂニシノコンサフォス, 87,和田竜, 0.1, 79,*  9,  12, 4,  9.9, ②②
 3, 8,Ｂステップロケット, 54,武幸四, 0.2, 45,*-16,   6, 2,  5.3,⑥①①, 3, 7, ラフハｰティリｰ,,南井大, 0.6,,,,10, 33.5,①①①, 3,16,Ｄセンタｰベステ, 65,藤岡佑, 0.1, 71,*  9,  -8, 5, 15.1,②①①, 3, 9,Ｅサカラｰト, 84,岩田康, 0.2, 88,   1,* 23, 3,  9.6, ⑨⑧
 4, 4,Ｄオｰスミシルク, 49,長谷川, 0.3, 44,*-17,   6, 4, 10.4,①②②, 4, 8, メイケイハクオｰ,,菊地昇, 0.9,,,, 5, 13.4,③④④, 4, 7,Ｐサカイヤベンケイ, 55,赤木高, 0.3, 67,   2,*  4,13, 82.4,⑪⑨⑦, 4, 6,Ｃタイキエニグマ, 85,四位洋, 0.2, 86,   2,  21, 5, 11.0, ⑧⑧
 5, 1,Ｃセフティグランプリ, 52,柴原央, 0.4, 52, -21,* 13, 3,  6.0,⑧⑦⑦, 5,14, テイエムヒビキ,,高井彰, 1.1,,,, 8, 27.1,②②②, 5,10,Ａペプチドジャスパｰ, 71,小牧太, 0.7, 64,   5,  -6, 2,  4.3,③③③, 5, 4,Ｊミリオンベル, 80,福永祐, 0.2, 84,   3,  20, 2,  7.5, ⑦⑦
 6, 2,Ｇマチカネカシワギ, 34,川島信, 1.0, 37, -19,   3, 6, 50.6,④⑤④, 6,10, キタサンブシドウ,,小林慎, 1.1,,,, 6, 14.6,⑧⑨⑦, 6, 4,Ｂアンクルピｰス, 68,福永祐, 0.9, 63,   4,  -5, 1,  1.7,③⑤⑤, 6,16,Ｇツルマルファイタｰ, 83,小牧太, 0.6, 78,   0,  18,10, 61.3, ⑨⑩
 7, 7,Ｆスペッタｰコロ, 38,古川吉, 1.7, 33, -18,  -6, 7, 64.4,③④④, 7, 6, ポジションワン,,今村康, 1.3,,,, 1,  2.6,④③③, 7, 3,Ｉゼンノジュウシン, 61,和田竜, 1.5, 57,   1,  -6, 8, 27.8,⑥⑨⑧, 7, 3,Ｆエンシェントヒル, 83,生野賢, 0.8, 79,  -2,  20, 7, 31.4, ⑫⑬
 8, 5,Ｈケイズヒロイン, 25,上村洋, 4.8,-44, -23, -28, 8, 84.0,⑦⑧⑧, 8,11, バリトンヴォイス,,岩崎祐, 1.6,,,, 3,  5.5,⑩⑩⑩, 8,11,Ｇナリタブラック, 63,船曳文, 1.7, 52,  -4,  -1,14, 92.9,⑯⑮⑬, 8,15,Ｍトップオブワｰルド, 75,藤岡佑, 0.8, 83, -10,* 26,14,258.2, ⑮⑮
