06年 3月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 7R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■10R  芝2200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきやなぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇホｰマンジュピタｰ, 48,岩田康,, 73,* -1,* 13, 7, 34.8,⑥④④, 1, 3,Ａゲイル, 70,岩田康,, 57,  -7,*  3, 1,  2.0,⑫⑧⑧, 1, 3,Ｃハｰドオブプレイ, 65,岩田康,, 76,*  4,*  8, 2,  4.3,③③①, 1,11,Ａアドマイヤジュピタ, 76,岩田康,, 78,*  1,* 17, 1,  2.0,②②②
 2, 1,Ｂマイネルアンツｰク, 60,佐藤哲, 0.6, 68,  -2,*  9, 3,  5.0,⑤④④, 2,14,Ｂフェリｰク, 61,安藤勝, 0.0, 58,  -5,   0, 3,  6.7,⑦⑧⑥, 2, 5,Ａサクラスフィｰダ, 69,藤田伸, 0.4, 73,   3,*  6, 1,  1.6,⑤④③, 2, 8,Ｉディｰプウイング, 62,藤田伸, 0.3, 77,  -1,* 18, 7, 19.4,⑩⑨⑧
 3,13,Ａシゲルハンドウダカ, 61,本田優, 0.7, 67,* -1,   4, 2,  2.7,③②①, 3,10,Ｇフミノウインダム, 50,本田優, 0.1, 57,  -2,  -6, 6, 19.0,④⑤③, 3, 7,Ｄテイエムカチボシ, 59,幸英明, 1.1, 67,*  5,  -4, 6, 18.1,①①①, 3, 6,Ｃタニノベリｰニ, 69,四位洋, 0.7, 71,*  0,   8, 5, 14.2,⑦⑦⑤
 4, 3,Ｅクｰルビスティｰ, 51,藤田伸, 1.8, 58,*  0,  -8, 6, 14.5,①①①, 4,11,Ｃハギノプリンセス, 60,武豊  , 0.3, 55,  -7,  -1, 2,  2.7,⑦⑪⑧, 4, 6,Ｂフルブラッサム, 65,四位洋, 1.1, 68,   1,   3, 3,  6.6,⑨⑧⑥, 4, 2,Ｇフィｰルドベアｰ, 63,秋山真, 0.7, 71,   0,   9, 2,  4.2,④④④
 5,11,Ｋボストンキング, 42,田中学, 2.2, 55,  -4,  -3,13,577.6,⑨⑦⑥, 5, 4,Ｄエイシンイダテン, 52,野元昭, 0.3, 55,  -8,*  2, 5, 17.5,⑮⑬⑪, 5, 9,Ｅホッカイアムレット, 57,川原正, 1.5, 63,   2,  -4, 5, 17.2,⑦⑤⑤, 5, 4,Ｄラッキｰリップス, 66,小牧太, 0.8, 69,   0,   8, 6, 14.5,⑤⑤⑤
 6, 8,Ｈチキリスラッガｰ, 46,太宰啓, 2.4, 54,  -7,   0, 8,101.9,⑩⑨⑨, 6, 9,Ｋテイエムブライトン, 29,千田輝, 0.4, 53, -11,*  5,14,411.3,⑫⑮⑭, 6, 4,Ｇゼットアカデミｰ, 56,本田優, 1.9, 61,   0,  -2, 8, 49.7,⑧⑧⑧, 6, 9,Ｆタガノボｰディング, 64,安藤勝, 1.0, 66,*  1,   0, 3,  8.6,③②②
 7, 4,Ｆマコトロプロス, 48,安藤勝, 2.9, 48,  -3, -12, 4, 12.8,③④⑦, 7, 5,Ｈトウカイワンダｰ, 49,北村浩, 0.6, 50,* -1, -15, 7, 59.9,⑦③③, 7,10,Ｉフサイチフォルツァ, 52,小牧太, 2.1, 59,*  5, -13, 4, 13.2,②②③, 7,10,Ｅサインオブゴッド, 65,武豊  , 1.1, 66,   0,   3, 4,  8.6,⑤⑤⑤
 8, 2,Ｉシゲルシテカブ, 43,川原正, 3.2, 47,  -6, -10,10,108.9,⑦⑧⑧, 8,15,Ｅメイショウアンドレ, 51,秋山真, 0.6, 50,  -8,  -3, 4, 16.3,⑪⑪⑪, 8, 8,Ｈオｰスミナイス, 55,秋山真, 2.4, 57,  -1,  -5, 7, 39.6,⑨⑩⑩, 8, 5,Ｂヒカリネオジュｰム, 71,柴原央, 1.2, 65,  -1,   5,10, 63.2,⑦⑦⑧
