06年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.2,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.7,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,十和田湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａコンゴウダイオｰ, 64,秋山真,, 70,*  2,*  4, 1,  1.8, ①①, 1, 9,Ａアグネスチャンス, 79,秋山真,, 75,   3,* 13, 1,  2.6,⑤④③, 1, 8,Ｄマルブツランナｰ, 65,藤岡佑,, 73,* -3,* 16, 4, 10.4,③①①, 1, 4,Ｄマイネルテセウス, 66,長谷川,, 68,* -6,* 13, 5, 10.5,①①①
 2, 5,Ｂオｰプンザゲｰト, 57,藤田伸, 0.9, 55,  -1,  -3, 3,  3.5, ③②, 2, 8,Ｂヒシワンスモア, 55,武幸四, 0.4, 71,*  5,*  4, 6, 12.5,③②①, 2, 4,Ａウルフボｰイ, 72,横山典, 0.0, 75,  -3,* 18, 1,  1.8,⑧③③, 2, 6,Ａウザンホマレオｰ, 72,横山典, 0.3, 66,* -6,* 13, 1,  2.5,②②②
 3, 6,Ｅブラックバレット, 38,松田大, 1.1, 52,   1,  -6, 4, 25.1, ②②, 3, 6,Ｄトｰセンセレニティ, 53,藤田伸, 1.0, 63,   3,  -2, 4,  8.6,③④③, 3, 6,Ｂオメガエンドレス, 69,藤田伸, 0.6, 65,* -3,  11, 2,  3.3,②②②, 3, 7,Ｅサンデｰコバン, 65,藤田伸, 0.5, 66,  -8,* 14, 2,  3.9,⑥③③
 4, 1,Ｃキングエルドラド, 46,横山典, 1.3, 50,  -9,  -2, 2,  3.4, ⑤⑤, 4, 3,Ｅロｰレルナイト, 52,塚田祥, 1.1, 57,   0,  -2, 8, 32.5,⑦⑧⑥, 4, 9,Ｅジョニｰノデンゴン, 62,鹿戸雄, 0.8, 65,  -5,  13, 5, 16.3,⑥⑤④, 4,13,Ｃフルブラッサム, 67,四位洋, 0.9, 61,  -9,  11, 4,  7.7,⑧⑥⑤
 5, 3,Ｆシャｰロックシチｰ, 34,芹沢純, 1.7, 44, -14,  -3, 5, 36.0, ⑥⑥, 5,12,Ｉクチベニ, 46,郷原洋, 1.1, 61,   2,   0,10, 69.0,⑨⑧⑧, 5, 2,Ｆシルクグラビティｰ, 57,木幡初, 1.7, 53,  -4,   3, 7, 90.6,①④④, 5, 5,Ｂオリオンザスカイ, 69,柴山雄, 1.2, 58, -10,  10, 3,  6.0,⑬⑨⑤
 6, 4,Ｇコスモプチデモン, 27,鹿戸雄, 1.9, 42, -18,  -2, 7,113.8, ⑦⑥, 6, 5, ナチュラルウェｰブ,---,横山典, 1.5, 58,  -1,   0, 2,  4.0,⑯⑭⑩, 6, 1,Ｃアウトオブサイト, 66,塚田祥, 2.5, 45,  -7,  -3, 3,  4.9,③⑥⑥, 6, 8,Ｇセイザンコズウェイ, 57,秋山真, 1.2, 54,* -8,   6, 7, 19.5,⑤③④
 7, 2,Ｄデヴィッドバロｰズ, 41,柴山雄, 2.5, 34,  -3, -18, 6, 36.3, ③④, 7,10,Ｍユメキコウ, 35,津村明, 1.6, 55,   3, -13,14,139.6,⑤④③, 7, 5,Ｇメイショウランマル, 55,武幸四, 2.6, 48, -10,   4, 8,121.6,⑦⑧⑦, 7, 3,Ｊニシノワカガシラ, 52,芹沢純, 1.3, 58, -11,  11,10, 80.5,⑪⑩⑧
 8, 8,Ｈデルママｰガレット, -2,木幡初, 6.7,-66, -26, -46, 8,148.1, ⑧⑧, 8, 2,Ｊパティオパｰティｰ, 45,安藤勝, 1.7, 55,*  5, -15, 7, 12.7,②①②, 8, 7,Ｈセイカモリオカ, 54,柴山雄, 2.7, 47, -10,   3, 6, 67.7,⑨⑧⑦, 8, 1, モエレスリｰストン,---,山口竜, 1.7, 49, -10,   4, 8, 22.3,③⑥⑤
