06年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋嶺特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアイアムレギュラｰ, 61,吉田豊,, 55,  -6,*  0, 1,  1.4, ⑥⑤, 1,12, アリアドネズライン,---,横山典,, 55,* -5,* -4, 1,  1.7, ①①, 1, 4,Ｄトｰセンエックス, 63,蛯名正,, 64,* -9,* 12, 3,  5.9, ①①, 1,10,Ｂカタナ, 80,吉田豊,, 82,*  8,  13, 1,  1.7, ②②
 2, 7,Ｅラオムフェｰレ, 42,勝浦正, 0.7, 50,* -3, -10, 7, 31.9, ②②, 2,10, トウショウサウンド,---,郷原洋, 0.7, 45, -12,* -2,11,106.2, ⑦⑥, 2, 3,Ａボナパルト, 67,吉田豊, 0.6, 61, -14,* 14, 5,  9.2, ⑨⑨, 2, 3,Ｃテンイムホウ, 77,柄崎将, 0.3, 82,   0,* 19, 3, 10.3, ⑦⑦
 3, 9,Ｃエスデイブレイク, 47,高山太, 1.0, 44, -10,  -5, 8, 77.5, ⑧⑦, 3,13, アイビスビッテ,---,蛯名正, 0.7, 47,* -7,  -8, 3,  8.4, ②②, 3, 9,Ｈチェリスト, 53,江田照, 0.8, 55, -13,  10, 7, 51.6, ⑧⑥, 3, 7,Ｄサクライナセ, 75,松岡正, 0.5, 74,   5,  10, 4, 14.3, ③③
 4, 5,Ｇクリｰンクルｰ, 39,田中勝, 1.0, 49,* -1, -15, 6, 29.8, ①①, 4, 6, ダンシングノｰヴァ,---,江田照, 1.3, 39, -13,  -6,10,102.1, ⑪⑧, 4, 5,Ｃトラベルシチｰ, 63,田中勝, 0.8, 51,*-11,   6, 4,  8.9, ②②, 4, 6,Ｆレッドビｰムシチｰ, 68,勝浦正, 0.7, 69,   6,   5, 5, 19.8, ③③
 5, 6,Ｄアリマエンパイア, 42,横山典, 1.0, 42, -14,*  1, 3,  9.3, ⑨⑨, 5, 8, ルｰプホｰル,---,田中勝, 1.7, 38,* -6, -18, 6, 25.2, ②②, 5, 6,Ｇエプソムライジン, 55,松岡正, 0.9, 53, -12,   8,10, 79.2, ④⑥, 5, 9,Ｉエニフ, 65,イネス, 0.9, 67,   3,   7,10,138.6, ⑥⑤
 6, 4,Ｂクリｰルボルケｰノ, 51,松岡正, 1.2, 44,  -6, -11, 2,  4.6, ⑤⑤, 6, 9, アイアムハニｰ,---,藤田伸, 1.8, 35, -13, -12, 4, 11.4, ⑤⑧, 6, 8,Ｆセイザンコズウェイ, 59,後藤浩, 0.9, 51, -11,   6, 8, 61.8, ④③, 6, 4,Ｈヤクモキャット, 66,後藤浩, 0.9, 72,  -3,  15, 8, 66.7, ⑨⑨
 7, 1,Ｉマルチヒット, -5,北村宏, 1.3, 41, -10,  -8, 9,122.2, ⑦⑦, 7,11, マホロバ,---,柴田善, 1.9, 33, -16,  -9, 5, 14.4, ⑦⑩, 7, 1,Ｅワンダｰタイガｰ, 61,藤田伸, 1.0, 52, -13,   8, 2,  4.4, ⑥⑥, 7, 5,Ｇアルシャトル, 68,藤田伸, 1.0, 62,* 10,  -4, 7, 36.3, ①①
 8, 2,Ｆオウシュウヒカリ, 40,蛯名正, 1.9, 38,  -4, -20, 4, 15.2, ②②, 8, 2, プラチナムドラゴン,---,勝浦正, 1.9, 34, -11, -15, 9, 59.1, ⑦⑥, 8, 7,Ｉゼウス, 52,北村宏, 1.1, 49, -12,   5, 9, 68.7, ⑥③, 8, 2,Ａヒカルベガ, 85,横山典, 1.2, 61,   3,   2, 2,  3.0, ⑤⑤
