06年 6月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄワｰルドレコｰド, 51,四位洋,, 57,*-10,*  7, 1,  2.2,①①①, 1, 8,Ｃミスタｰシｰザ, 52,長谷川,, 69,  -4,* 13, 5, 11.6,⑩⑥④, 1, 7,Ｃイチライタッチ, 68,吉永護,, 73,   9,*  4, 1,  2.5, ②②, 1, 6,Ａオルドリｰバ, 77,横山典,, 85,* 10,* 15, 1,  2.3,⑧④②
 2,10,Ｃギャラクシｰキッド, 51,鈴来直, 0.0, 58,*-11,*  8, 4,  9.9,②②②, 2,15,Ｆラッキｰジンクス, 50,横山典, 0.0, 67,* -4,* 12, 4,  8.3,⑥③②, 2, 6,Ｆシルクリザルト, 57,柴山雄, 0.4, 67,   7,   0, 8, 63.2, ③③, 2, 2,Ｅミスズエリコン, 58,柴山雄, 1.0, 71,*  9,  -4, 8, 50.0,③①①
 3, 2,Ｂヤマニンリュクス, 53,藤田伸, 0.7, 52, -14,*  7, 2,  2.9,⑦⑦⑥, 3, 5,Ｈスペシャルアリｰナ, 47,秋山真, 0.1, 65,* -4,  10, 3,  8.1,③③⑤, 3, 5,Ｄチャｰムダイヤ, 65,四位洋, 0.5, 63,   4,   2, 3,  4.9, ⑤⑤, 3, 1,Ｄキャンベラシチｰ, 64,五十嵐, 1.2, 72,* 10,  -5, 5, 19.7,④②③
 4, 3,Ｈボビン, 38,菊沢隆, 0.7, 50, -12,   4, 6, 21.5,⑨⑤③, 4, 1,Ｂダンスオｰルナイト, 58,藤田伸, 0.1, 62,* -3,   7, 1,  1.8,②②②, 4, 4,Ｂモンテティアラ, 70,藤田伸, 0.7, 59,   3,  -1, 4,  5.6, ⑤⑥, 4, 5,Ｃマナｰハウス, 67,武幸四, 1.2, 69,*  8,  -6, 2,  3.1,④②③
 5, 6,Ａバブルガムライト, 57,古川吉, 0.8, 47, -12,   2, 3,  6.4,⑤③③, 5,12,Ｍスナｰクチトセオｰ, 41,小林徹, 0.1, 68,  -5,* 13,14,190.4,⑦⑦⑤, 5, 2,Ｅフィｰルドミラクル, 57,小林徹, 0.8, 57,  -2,*  3, 5, 10.2, ⑨⑧, 5, 4,Ｇメジロベッカム, 54,菊沢隆, 1.9, 65,   8, -10, 6, 44.9,⑦⑤⑤
 6, 1,Ｅテｰオｰエンペラｰ, 49,藤岡佑, 1.8, 37, -13,  -5, 5, 15.7,③⑥⑥, 6,10,Ｇエクスラベル, 47,藤岡佑, 0.8, 51,*  0,  -9, 7, 19.4,①①①, 6, 9,Ｇミスソヴリン, 52,五十嵐, 1.0, 60,   7,  -5, 6, 27.0, ③③, 6, 3,Ｂサンライズタイム, 70,秋山真, 2.1, 64,   8, -11, 4,  8.1,④⑦⑥
 7, 5,Ｇワイルドバニヤン, 42,柴山雄, 2.2, 35, -14,  -8, 9, 67.8,⑦⑦⑧, 7, 9,Ａスズカトゥルｰ, 59,菊沢隆, 0.9, 54,  -6,   4, 2,  7.9,⑪⑩⑧, 7, 3,Ａレディアマポｰラ, 71,塚田祥, 1.2, 52,   3,  -7, 2,  3.6, ⑤⑥, 7, 7,Ｈマイネルテセウス, 48,長谷川, 3.5, 51,   7, -35, 7, 47.9,②⑤⑥
 8, 8,Ｉアタゴキャロット, 38,木幡初, 2.7, 35, -12, -16, 8, 65.4,③③⑤, 8, 4,Ｊブザムカレッサｰ, 43,四位洋, 1.6, 44,  -6,  -6, 6, 17.3,⑬⑩⑦, 8,10,Ｉエンジェルマリｰン, 46,鈴来直, 1.2, 63,* 11, -11,10,197.5, ①①, 8, 8,Ｆメジロガンバス, 57,藤田伸, 4.5, 49,   6, -39, 3,  4.1,①⑧⑧
