06年 3月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.3,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■10R  芝1600m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山陽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａシゲルユウボウカブ, 54,佐藤哲,, 60,* -6,*  1, 3,  4.1, ①①, 1, 5, エイシンヴァイデン,,西谷誠,,,,, 1,  1.9,①①①, 1, 8,Ｃホシシャトル, 63,秋山真,, 70,*  7,  -2, 4,  5.4, ①①, 1, 3,Ｇフェイトトリックス, 76,松田大,, 91,   4,* 27, 4,  4.8,⑦⑥⑦
 2, 5,Ｄピｰスプロテクタｰ, 41,田中学, 0.9, 49,  -9,  -4,10, 46.1, ③⑤, 2, 1, エイシンサクラオｰ,,蓑島靖, 0.1,,,,10, 53.4,③②②, 2, 5,Ｈアレクシオス, 54,安藤勝, 0.5, 66,  -4,*  7, 1,  3.4, ⑩⑥, 2, 5,Ｂホッコｰソレソレｰ, 81,赤木高, 0.0, 90,   6,* 22, 6, 13.5,③④⑤
 3,10,Ｈセレスステｰラｰ, 34,小牧太, 0.9, 50, -11,  -2, 1,  3.4, ⑥⑤, 3, 2, ラブアフェアｰ,,高田潤, 0.4,,,, 3,  4.8,③②②, 3, 9,Ｂカレンスタｰボｰイ, 64,福永祐, 0.7, 63,   1,  -1, 6, 16.4, ⑤④, 3, 7,Ｊゲイリｰスティング, 73,池添謙, 0.2, 86,*  9,  12, 1,  4.0,①①①
 4, 9,Ｂコパノフロスティ, 49,岩田康, 0.9, 50, -16,*  2, 2,  3.8, ⑨⑨, 4,10, マルブツトルネｰド,,南井大, 0.7,,,, 8, 46.5,⑤⑤④, 4,10,Ｄアンバｰジャック, 61,四位洋, 0.8, 63,   5,  -7, 3,  4.2, ①①, 4, 8,Ｃサンレイジャスパｰ, 78,難波剛, 0.3, 86,   8,  14, 3,  4.4,③④③
 5, 8,Ｅシゲルシテカブ, 41,池添謙, 1.0, 49, -13,  -1, 9, 30.9, ⑨⑧, 5, 7, ベルゲン,,難波剛, 0.9,,,, 6, 19.4,⑤⑥⑤, 5, 3,Ａキクノアロｰ, 66,川原正, 1.0, 59,  -2,   0, 8, 26.4, ⑦⑧, 5,10,Ｆカｰムブレイカｰ, 76,安藤勝, 0.4, 84,   0,* 24, 5, 13.3,⑩⑩⑩
 6, 7,Ｊマイレイサウンド, 21,福永祐, 1.0, 48, -12,  -2, 7, 18.0, ⑧⑨, 6,13, アグネスモナク,,仲田雅, 1.1,,,,13,164.2,⑧⑧⑦, 6, 6,Ｇブラックサベｰジ, 54,赤木高, 1.1, 58,  -3,   0, 9, 30.8, ⑧⑨, 6, 4,Ｈサンライズアタック, 75,和田竜, 0.7, 80,   7,  10, 9, 26.1,①②③
 7, 1,Ｋタガノマロン, 13,飯田祐, 1.1, 47,  -8,  -7,11, 94.1, ③⑤, 7, 6, ラガｰルｰジュ,,林満明, 1.3,,,, 5, 18.3,②④⑤, 7, 1,Ｅノｰプロブレム, 60,本田優, 1.3, 57,  -5,   0, 2,  4.1, ⑪⑨, 7,11,Ｄレットバトラｰ, 78,福永祐, 0.7, 81,   5,  13, 8, 18.5,⑧⑥⑤
 8,11,Ｃミッドナイトスタｰ, 47,本田優, 1.1, 49,  -9,  -6, 5,  9.0, ⑥③, 8, 3, オイカゼ,,山本康, 2.7,,,,12,145.9,⑤⑦⑦, 8, 4, ティアｰズゴｰバイ,---,木村健, 1.9, 50,  -3,  -7,11,294.2, ⑧⑨, 8, 1,Ａカリプソパンチ, 83,岩田康, 0.8, 78,   4,  12, 2,  4.1,③⑥⑦
