06年12月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａスキマチェリｰ, 60,中舘英,, 66,*  4,*  0, 2,  3.2, ①①, 1, 9, フライングメリッサ,---,鮫島良,, 58,*-39,* 28, 2,  3.6,②②②, 1, 3,Ｄパワｰコレクタｰ, 64,鮫島良,, 63,   0,*  7, 3,  4.9,⑩⑪⑩, 1,16,Ｊエミネンツァベルタ, 60,赤木高,, 71,*  8,   0, 7, 17.1, ①①
 2, 2,Ｂセクシｰザムライ, 60,津村明, 0.2, 62,*  2,* -1, 1,  3.0, ②②, 2, 1, ゼンノモナルカ,---,小林徹, 0.4, 57, -41,* 29, 1,  3.4,⑤⑤⑤, 2, 4,Ｂトウショウアラジン, 65,伊藤直, 0.0, 65,   3,*  3, 8, 29.4,⑫⑧⑦, 2,13,Ｅシャトルタテヤマ, 66,芹沢純, 0.2, 67,*  7,  -2, 2,  3.3, ②③
 3,11,Ｅデザインシチｰ, 50,柴山雄, 0.4, 61,  -7,*  3, 4,  8.3, ⑦⑥, 3,10, ロｰケイダブリュ,---,塚田祥, 0.4, 49,*-40,* 25, 8, 35.9,③③③, 3,12,Ｇアイファｰドラゴン, 61,西田雄, 0.2, 65,*  5,  -2, 7, 21.1,⑤②②, 3, 4,Ｉエｰシンエスヴィｰ, 61,古川吉, 0.2, 66,   4,   2, 3,  6.7, ④④
 4, 9,Ｄシルバｰジャンパｰ, 51,北村友, 0.7, 53,*  0,  -6, 5, 11.2, ③③, 4, 6, コアレスファルコン,---,須貝尚, 0.5, 40,*-38,  22,10, 46.9,①①①, 4,11,Ｉナチュラルウィン, 60,塚田祥, 0.3, 63,*  5,  -5, 5,  7.6,③②①, 4, 1,Ｇビｰチブリｰズ, 65,津村明, 0.2, 66,   4,   1, 4, 10.5, ④④
 5, 5,Ｆレインボｰルシファ, 45,石橋脩, 1.0, 52,  -4,  -5, 6, 15.0, ⑤⑤, 5, 2, メイショウグンシ,---,飯田祐, 0.7, 42,*-40,  23, 4,  6.5,③④④, 5, 1,Ａマイティｰサンダｰ, 67,田中克, 0.3, 61,   2,  -2, 1,  3.5,⑦⑦⑦, 5, 7,Ｆゼットカｰク, 65,小林徹, 0.3, 66,*  7,  -3, 1,  3.1, ②②
 6, 1,Ｇエプソムモルギフ, 40,柴原央, 1.1, 50,  -2,  -7, 7, 40.5, ⑤④, 6, 4, オｰトドラゴン,---,渡辺薫, 0.9, 40, -41,  23, 5,  7.5,⑧⑦⑦, 6, 8,Ｃタイインテンスリｰ, 64,津村明, 0.4, 62,*  4,  -5, 4,  7.5,⑦②②, 6, 3,Ｈエｰシンアロｰ, 61,橋本美, 0.4, 61,  -1,*  3,11, 57.8, ⑧⑧
 7,13,Ｃエｰデルビコｰ, 53,鮫島良, 1.6, 42,  -7,  -9, 3,  4.3, ⑦⑦, 7, 5, ナムラコマンド,---,柴山雄, 1.2, 26, -41,  17, 7, 32.9,⑧⑤⑤, 7, 7,Ｈメイショウアンドレ, 60,中舘英, 0.5, 60,   0,*  3, 2,  4.7,⑭⑬⑪, 7,15, ロックアスリｰト,---,菊沢隆, 0.6, 55, -12,* 11,15,218.8, ⑮⑮
 8,16,Ｌホワイトアロｰ, 29,菊沢隆, 1.9, 40, -18,  -5,13,149.0, ⑬⑫, 8, 8, クロニクル,---,中舘英, 2.0,  9, -41,   6, 3,  5.0,⑤⑦⑨, 8, 5,Ｊイソノサクセス, 60,芹沢純, 0.5, 61,   2,   0,12, 90.2,⑤⑨⑨, 8, 8,Ａマイネルクラッチ, 68,鮫島良, 0.6, 59,   2,  -3, 5, 11.4, ⑦⑧
 9, 6,Ｈルｰジュセレクト, 39,黛弘人, 1.9, 37, -16,  -8, 9, 77.5, ⑫⑫, 9,11, バサラオｰジャｰ,---,高橋亮, 2.3, -6, -42,   3, 6, 16.2,⑪⑨⑧, 9, 6,Ｆリｰジェントゲスト, 61,柴山雄, 0.6, 61,   4,  -4, 6,  8.8,⑨⑤⑤, 9,11,Ｋカシノマイハｰト, 60,飯田祐, 0.6, 60,   1,  -2,13,150.8, ⑧④
10,12,Ｊサチノグロｰバル, 34,鈴来直, 2.0, 38, -19,  -5, 8, 51.6, ⑭⑫,10, 3, ロングアキレス,---,芹沢純, 2.7,-20, -44,   0, 9, 41.3,⑤⑩⑫,10, 2,Ｌリネンヤクシン, 53,赤木高, 1.4, 55,   4, -12,11, 64.6,③⑤⑤,10, 2,Ｌリリｰハｰバｰ, 57,柴山雄, 0.9, 51,  -7,   2,10, 46.0, ⑬⑭
11, 8,Ｋガリベン, 33,大野拓, 2.1, 35, -12, -12,10, 92.6, ⑨⑨,11,12, マイネルレシタｰル,---,嘉藤貴, 2.8,-24, -44,  -1,11, 49.0,⑩⑩⑩,11,10,Ｏメガロパレス, 43,小林徹, 1.8, 51,   1, -11,15,352.5,②⑩⑪,11,14,Ｂエｰシンマリポｰサ, 68,中舘英, 0.9, 53,  -3,  -3, 6, 14.9, ⑩⑩
