06年 4月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■10R  芝2000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桜木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａペンデュラｰ, 59,大野拓,, 66,*  0,*  4, 1,  2.0, ①①, 1, 9,Ｇマドリガｰレ, 38,吉田隼,, 55,*-19,* 14, 5,  8.2,④②②, 1,13,Ｃレフォルマ, 65,中舘英,, 75,* -8,* 21, 1,  2.3,①①①, 1, 2,Ｄミヤコノカｰン, 68,木幡初,, 72,  -5,* 20, 4,  7.8,⑪⑨⑦
 2, 6,Ｇオｰセンティック, 40,穂苅寿, 1.0, 58,*  0,  -2, 2,  6.3, ③②, 2, 1,Ｂアポロコマンダｰ, 53,池田鉄, 0.0, 57,*-18,* 15, 1,  2.7,②②②, 2,10,Ａパントマイミスト, 67,柴山雄, 0.3, 71,* -8,* 19, 2,  3.9,②①①, 2, 4,Ｃアｰバンエスケｰプ, 68,柴山雄, 0.0, 69,  -2,  14, 2,  3.8,⑨③①
 3, 4,Ｄトウケイアトラント, 49,高橋亮, 1.6, 51,  -3,  -6, 3,  6.9, ④④, 3, 5,Ｆマチカネセイカイハ, 41,小林徹, 0.6, 50, -20,  12, 4,  7.2,⑤⑤⑤, 3,11,Ｈクｰルセレクト, 62,長谷川, 1.3, 57,* -9,  10, 3,  5.7,③③③, 3, 8,Ａトウショウアスロン, 70,酒井学, 0.2, 66,  -2,  11, 1,  3.7,④③①
 4,11,Ｅモｰニングドレス, 44,小林徹, 1.9, 46, -10,  -3, 7, 18.3, ⑧⑦, 4, 3,Ｌハギノグランハｰト,  2,鮫島良, 0.8, 45, -21,   9, 2,  4.6,⑤⑤⑤, 4, 9,Ｂメイショウセレット, 67,川田将, 1.4, 57, -10,  11, 5, 11.7,⑧⑤⑤, 4, 1,Ｆグラスガルｰダ, 63,武士沢, 0.3, 66,  -4,  14, 5,  8.8,⑧⑥⑦
 5,16,Ｃカンファｰプレス, 50,石橋脩, 1.9, 48,*  1, -12, 5, 10.0, ①③, 5, 4, オヤマエルニｰニョ,---,柴山雄, 1.0, 48, -22,  12, 6,  9.9,⑩⑧⑦, 5,12,Ｏデュヴァル, 51,鮫島良, 1.4, 56, -11,  10,10, 62.6,⑤⑤⑤, 5, 9,Ｌスリｰセレブル, 48,中舘英, 0.4, 64,  -2,   9, 7, 13.2,④③①
 6,13,Ｂアｰチャン, 53,吉田隼, 2.0, 42, -11,  -5, 6, 17.3, ⑧⑨, 6,11,Ｊキフジンノホホエミ, 31,大野拓, 1.5, 33,*-18,  -3, 9, 71.7,①①①, 6, 4,Ｅテイエムカチボシ, 64,川島信, 1.6, 58, -11,  13, 6, 19.6,⑦⑧⑩, 6, 7,Ｂゴｰルドフォイル, 69,赤木高, 0.7, 60,  -3,   7, 6, 13.1,④⑥⑤
 7,10,Ｊパｰプルドトウ, 38,鮫島良, 2.1, 41, -10,  -7,13,143.0, ⑧⑩, 7, 7,Ｈオｰスミマｰブル, 34,川島信, 1.7, 33,*-18,  -2,11,126.4,②②④, 7, 2,Ｄダイゴキリンジ, 65,吉田隼, 1.8, 55, -14,  12, 7, 42.2,⑩⑫⑫, 7, 5,Ｈトｰワライアン, 56,田嶋翔, 0.8, 60,  -5,   8, 9, 32.5,⑪⑨⑩
 7, 9,Ｆホネマデアイシテ, 43,中村将, 2.1, 43,  -6, -10, 4,  7.5, ⑥⑤, 8,12,Ｃグレｰトアドミラル, 48,武士沢, 1.9, 35, -21,   2, 3,  6.3,⑫⑧⑦, 8,14,Ｆニシノアイビｰム, 63,菊沢隆, 1.8, 56, -12,  11, 8, 54.9,⑫⑪⑩, 8,11,Ｅサクセスビスケット, 63,小林徹, 0.8, 60,  -4,   7,10, 35.6,⑨⑥⑦
