06年 7月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆトップコメット, 45,和田竜,, 70,  -4,* 12, 5,  8.4, ③②, 1, 5, エｰシンマリポｰサ,---,武豊  ,, 67, -11,* 13, 1,  1.8, ④③, 1,12,Ｂダブルアップ, 73,小牧太,, 74,* -2,* 10, 1,  3.3, ①①, 1, 3,Ｃゴｰルデンキャスト, 83,小牧太,, 81,  -4,  26, 4,  8.1, ④④
 2, 3,Ｄマイネルカｰロ, 50,鮫島良, 0.2, 63, -10,* 10, 4,  7.3, ⑤⑤, 2, 7, ケイアイマイスキｰ,---,小牧太, 0.7, 46,* -8,  -4, 4,  8.2, ②②, 2,13,Ｅミヤジアイ, 66,和田竜, 0.7, 65,* -2,   6, 5,  9.0, ②②, 2, 2,Ｅヒュｰマ, 80,武豊  , 0.0, 83, -12,* 30, 5,  8.8, ⑥⑤
 3,15,Ｅナムラコネリｰ, 46,小牧太, 0.3, 58,* -3,   3, 7, 33.2, ②②, 3, 4, デンタルスピリット,---,和田竜, 0.7, 48,* -4,  -4, 2,  4.5, ①①, 3, 4,Ａダイショウティアラ, 75,中村将, 0.8, 60,* -3,   3, 2,  3.6, ②②, 3, 5,Ｄマルカキセキ, 82,福永祐, 0.0, 83, -10,* 30, 1,  2.2, ⑤⑤
 4,11,Ａキングスベリｰ, 62,佐藤哲, 0.3, 59,*  2,   1, 2,  3.4, ①①, 4, 2, メイショウイチバン,---,飯田祐, 1.4, 37, -26,   3, 3,  5.4, ⑥⑥, 4, 1,Ｊロｰドフュｰジョン, 56,田中克, 1.0, 57,  -6,   3, 9, 28.6, ④④, 4, 6,Ａエムオｰウイナｰ, 85,赤木高, 0.3, 69,* -1,  15, 3,  7.6, ②②
 5,12,Ｎアイアンクイン, -3,鮫島克, 0.4, 66, -14,* 15, 8, 36.9, ⑩⑩, 5, 8, シンワヘイロｰ,---,鮫島克, 1.7, 32, -19,  -8, 5, 11.5, ⑤⑤, 5, 2,Ｄブイヘネシｰ, 67,武豊  , 1.0, 60,  -5,   5, 4,  7.0, ④④, 5, 7,Ｂディｰプサマｰ, 83,和田竜, 0.4, 67,  -3,  15, 2,  4.2, ③②
 6, 2,Ｂアマノチェリｰラン, 56,武豊  , 0.5, 57,  -4,   4, 1,  3.0, ③④, 6, 6, ウォｰタｰジェニｰ,---,高橋亮, 2.3, 28, -24, -10, 7,109.7, ⑥⑦, 6, 3,Ｆチキリサンボｰイ, 65,太宰啓, 1.1, 60, -12,*  8, 6, 10.2, ⑧⑦, 6, 8,Ｇホｰマンアピｰル, 77,渡辺薫, 0.5, 70, -14,  24, 6, 11.8, ⑥⑦
 7, 7,Ｉマイネルマニセス, 41,野元昭, 0.7, 52,  -9,   3, 9, 37.1, ⑤⑤, 7, 1, ユウガブリエル,---,橋本美, 3.8,-77,* -8, -51, 6, 18.4, ②④, 7,11,Ｃタムロスタｰディ, 71,幸英明, 1.2, 54,  -5,   0, 3,  7.0, ④⑥, 7, 4,Ｉスタｰエルドラｰド, 66,小原義, 0.6, 64,* -1,  10, 9,146.8, ①①
 8,10,Ｇラインストｰム, 44,福永祐, 0.9, 49, -14,   4, 6, 12.7, ⑧⑦,,,,,,,,,,,,, 8, 6,Ｈキャントンガｰル, 58,福永祐, 1.3, 56, -10,   5, 8, 25.8, ⑧⑦, 8, 9,Ｆマヤノシャドｰ, 78,幸英明, 0.6, 69, -16,  24, 7, 14.1, ⑧⑧
