06年 8月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14.0,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 7R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■10R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,村上特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃエスケｰカントリｰ, 37,吉永護,, 58, -12,*  9, 5, 12.9, ⑧⑥, 1, 3,Ａビｰトオｰル, 57,蛯名正,, 51,  -4,* -5, 1,  2.0,⑪③②, 1,13,Ａエアクラマン, 59,蛯名正,, 60,   5,* -8, 4,  6.2,⑦⑤④, 1, 9,Ｉマシュリク, 61,蛯名正,, 78,*  8,* 11, 3,  6.1, ④④
 2, 1,Ｆアポロサｰカス, 26,池田鉄, 0.7, 51, -16,*  6, 6, 14.4, ⑩⑩, 2, 5,Ｄグラッドテンエイ, 52,中舘英, 0.2, 50,* -3,  -9, 2,  3.4,①②②, 2, 7,Ｄダイワアスカロン, 53,武士沢, 0.4, 56,   5, -14, 5,  7.0,③⑤④, 2,14,Ｆパｰトゥｰアワｰズ, 69,田中勝, 0.4, 75,   6,* 14, 1,  2.9, ⑩⑨
 3, 5,Ａキングデオキシス, 49,中舘英, 1.0, 48,*  5, -17, 2,  2.6, ①①, 3, 6,Ｂビｰビｰファング, 53,石橋脩, 0.4, 51,*  3, -23, 3,  5.7,②①①, 3,15,Ｃマイネルアモｰリオ, 53,中舘英, 0.4, 56,*  7, -19, 2,  5.1,③①①, 3,15,Ｎトシザダイオｰ, 55,中舘英, 0.4, 72,   6,   9, 8, 27.1, ⑧⑧
 4, 6,Ｂリッシンボス, 48,柴田善, 1.5, 44,*  4, -21, 1,  2.5, ②②, 4, 4,Ｃマイティマイン, 52,南田雅, 0.7, 45,  -5,  -9, 4, 11.1,⑥⑦⑥, 4,11,Ｇドレックセル, 51,村田一, 0.6, 54,*  7, -22, 1,  3.7,③②②, 4,12,Ａドクタｰグリム, 76,柴田善, 0.4, 75,   4,* 17, 4,  6.9, ⑫⑫
 5,13,Ｌラストカリズマ,-12,石神深, 1.5, 43, -10,  -8,10,108.4, ⑥⑥, 5, 1,Ｅジェイドヴィジョン, 46,田中博, 0.7, 42,  -8,* -8,11,140.9,⑧⑩⑦, 5,10,Ｂマイネルラプタス, 53,柴田善, 0.7, 53,   0,* -5, 3,  6.1,⑮⑰⑰, 5, 5,Ｂマイネコンテッサ, 74,石橋脩, 0.6, 75,* 11,   2, 2,  5.9, ②②
 6, 8,Ｈレパティヌｰル, 21,田中勝, 1.8, 42, -15,  -4, 7, 28.3, ⑩⑪, 6, 7,Ｎキクノポロロッカ, 27,岩部純, 1.0, 43,  -5, -13, 5, 21.6,⑥⑤⑤, 6, 3,Ｎブラックナイト, 43,田中博, 0.8, 48,   0,*-12,14,142.9,⑭⑮⑮, 6, 7,Ｃマイネエストレヤ, 74,塚田祥, 0.7, 72,   9,   5, 5,  9.8, ⑤⑥
 7,14,Ｄグッドヘラクレス, 34,蛯名正, 1.8, 40,  -1, -19, 4, 10.6, ④④, 7, 9,Ｈグラスブロｰド, 41,村田一, 1.5, 39,  -7, -12, 6, 22.5,⑬⑫⑫, 7, 5,Ｈマイネルオルペウス, 51,小野次, 0.8, 52,   1,*-10, 9, 21.5,⑯⑮⑮, 7,16,Ｇバトルモニュメント, 62,大西直, 0.7, 71,   5,  11, 9, 42.0, ⑫⑫
 8,10,Ｇスガノウラン, 23,佐藤聖, 1.9, 39, -21,  -2,12,195.5, ⑫⑫, 8,15,Ｆジョニｰロｰズ, 44,木幡初, 1.8, 37,  -4, -23,12,203.4,⑤③④, 8, 2,Ｐアインマｰル, 41,五十嵐, 0.8, 52,   4, -16, 6, 13.6,⑨⑨⑪, 8,10,Ｒエイユｰツｰビｰト, 42,石神深, 1.0, 70,* 11,  -5,15, 95.3, ②②
