06年11月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.7,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄエムオｰミラクル, 52,田辺裕,, 69,  -2,* 11, 1,  3.1, ⑤③, 1,10,Ａイサミステルス, 67,塚田祥,, 76,*  7,*  6, 2,  3.1, ①①, 1, 9,Ｆタｰキｰ, 61,中舘英,, 78,   4,* 17, 2,  4.3,⑧⑥②, 1,12,Ｅクｰヴェルチュｰル, 66,中舘英,, 79,* 15,   4, 1,  2.2, ③②
 2, 4,Ｂアｰビタｰ, 66,柴山雄, 0.2, 66,*  1,   5, 3,  5.6, ②②, 2, 4,Ｃバｰニングキャット, 58,大野拓, 0.5, 70,*  6,*  2, 6, 16.1, ②②, 2,13,Ｍアラタマサモンズ, 51,芹沢純, 0.4, 73,*  8,   2, 4,  9.0,①①①, 2, 7,Ｈアルシラｰト, 62,スボリ, 0.0, 72,   8,* 10, 3,  4.9, ⑧⑧
 3, 1,Ｅプレジデンツカップ, 47,小野次, 0.3, 64,  -9,* 12, 4,  7.0, ⑨⑧, 3, 5,Ｈヤマニンパルファン, 51,木幡初, 1.3, 58,   0,   1, 7, 30.5, ⑨⑨, 3, 7,Ｃニチリンタカラ, 63,塚田祥, 0.5, 68,   2,* 11, 6, 16.0,⑤⑦⑥, 3,11,Ｉエミネンツァベルタ, 61,赤木高, 0.3, 65,   0,* 13,11, 84.0, ⑬⑬
 4,14,Ａタマイエス, 67,鮫島良, 0.9, 54,  -5,  -2, 2,  3.3, ⑦⑥, 4,11,Ｇエレガントキャット, 54,田中博, 1.3, 58,   3,  -3, 8, 32.7, ④④, 4,14,Ｇロフティソル, 61,北村友, 0.6, 66,  -2,* 15, 5, 13.6,⑭⑫⑩, 4, 8,Ｇクインズプレイヤｰ, 63,村田一, 0.4, 68,  11,   0, 5, 15.9, ④⑤
 5, 5,Ｌデザインシチｰ, 28,木幡初, 1.0, 54,  -2,  -4, 7, 22.9, ⑤⑥, 5, 6,Ｋスプリングベルン, 47,石橋脩, 1.5, 61,*  6,  -5, 9, 38.7, ③③, 5, 1,Ｅドレックセル, 63,村田一, 0.9, 66,   1,   9,11, 31.2,⑩⑨⑥, 5, 9,Ｄノボスイｰツ, 67,小野次, 0.4, 67,   9,   2, 8, 32.8, ⑦⑧
 6, 2,Ｉシルキｰアテナ, 32,池田鉄, 1.2, 50, -13,   3,10,107.3, ⑫⑨, 6, 1,Ｆメジロルバｰト, 56,菊沢隆, 1.6, 56,   1,  -2, 4, 10.7, ⑥④, 6, 3,Ｌコスモシレナ, 51,佐藤聖, 0.9, 63,   1,   5,15, 50.9,⑥⑦⑥, 6, 3,Ｃマルタｰズクラシカ, 67,木幡初, 0.5, 65,   8,   2, 4, 14.0, ⑧⑦
 7,12,Ｃキングエルドラド, 54,塚田祥, 1.2, 48,*  3, -15, 5,  8.9, ①①, 7, 3,Ｌメイショウガラシャ, 45,松田大, 1.7, 53,  -3,   1,10, 69.2, ⑫⑨, 7, 4,Ｄパシコグランルビｰ, 63,木幡初, 1.6, 59,   5,  -9, 8, 18.7,③③④, 7,13,Ｎアポロビンゴ, 49,柴山雄, 0.6, 61,   0,*  8,13, 95.6, ⑬⑭
 8, 9,Ｈクリｰンヒッタｰ, 34,大野拓, 1.6, 42, -13,  -6,12,138.2, ⑪⑪, 8,13,Ｅエフテｰコンコルド, 58,中舘英, 1.8, 52,  -1,  -3, 3,  4.9, ⑨⑦, 8, 5,Ｉプリモレディ, 59,柴山雄, 1.6, 59,   1,   2, 1,  4.0,⑫⑫⑮, 8,10,Ｍサンエンタティナｰ, 51,大西直, 1.0, 57,   6,  -4, 9, 42.4, ⑪⑪
