06年 1月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 4歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａメイショウオオヒメ, 45,武幸  ,, 64,   1,*  1, 1,  2.4,④③③, 1, 4, フィｰルドベアｰ,---,太宰  ,, 58, -10,*  9, 6, 13.7,⑤⑤⑤, 1,14,Ｎマルブツブラボｰ, 53,中舘  ,, 66,*-17,  18, 6, 12.0,③②②, 1, 2,Ｂフレアリングベスト, 76,田辺  ,, 70,   0,* 12, 1,  3.5,⑧⑦⑨
 2, 5,Ｄメイショウルイｰズ, 37,小島一, 0.9, 52,*  3, -11, 3,  5.1,②②②, 2, 3, エリモストッパｰ,---,川田  , 0.1, 56, -11,*  7, 1,  2.4,⑧⑤②, 2,12,Ｊテイエムカチボシ, 59,柴原  , 0.4, 62, -18,  17,10, 37.7,⑥⑤④, 2, 5,Ｃマイネルソユｰズ, 71,大西  , 0.1, 71,   0,* 10, 5,  8.8,⑥⑦⑤
 3, 4,Ｅバンロｰゼ, 36,西田  , 1.3, 51,*  6, -15, 2,  4.0,①①①, 3, 2, サンライズヴァトｰ,---,ルメｰ, 0.5, 49,  -8,  -2, 5, 10.2,②②⑤, 3, 6,Ｂトｰセンマウンテン, 72,加藤士, 0.6, 58, -21,  16, 2,  4.7,⑨⑧⑦, 3, 4,Ｆフラップジャック, 67,西田  , 0.3, 72,  -2,* 12,10, 27.3,⑫⑪②
 4,12,Ｈイエスオアノｰ, 28,柴原  , 1.6, 45,   1, -15, 5, 12.9,②③③, 4, 1, ヒシアニマ,---,武幸  , 0.8, 48, -10,  -3, 4,  6.8,⑦⑤②, 4, 3,Ｇボｰントゥトライ, 63,田辺  , 0.6, 59, -19,  16, 8, 18.3,⑦⑦⑥, 4,13,Ａファインテイオｰ, 76,芹沢  , 0.4, 66,   0,   6, 2,  4.5,⑧⑦⑦
 5, 8,Ｂタバスコリエ, 43,ルメｰ, 1.9, 34, -18,* -6, 4,  5.6,⑦⑦⑧, 5, 6, ポンデアスｰカル,---,藤岡  , 1.3, 41,  -8, -14, 2,  4.0,②②②, 5, 8,Ｃツモルランサｰ, 68,野元  , 0.7, 49,*-16,  11, 1,  3.3,①①①, 5, 1,Ｉパッショナルダンス, 62,ルメｰ, 0.6, 65,  -3,* 10, 3,  5.4,⑬⑬⑨
 6,11,Ｊカシノスズラン, 22,二本柳, 2.0, 35, -11, -11,12,110.3,⑤⑤⑤, 6, 8, セフティバｰニング,---,モンテ, 1.5, 38,* -6, -21, 7, 15.9,①①①, 6, 9,Ｋジパングエンジェル, 58,川田  , 0.8, 63, -23,* 20,12,131.8,⑬⑬⑨, 6, 3,Ｐダイヤモンドプラド, 47,中谷  , 0.8, 62,   2,  -3,15,138.1,④③②
 7, 6,Ｃチャｰムクロス, 38,中村将, 2.1, 30, -17, -10, 6, 26.6,⑦⑦⑥, 7, 5, グラスオペラ,---,鈴来  , 1.7, 37, -12, -12, 8, 31.3,⑤⑧⑦, 7,13,Ｅタガノウィザｰド, 64,中村将, 0.9, 55, -22,  15, 4,  7.8,⑩⑪⑨, 7, 9,Ｋカシノトｰマス, 58,野元  , 1.0, 58,   2,  -6,14, 93.2,③③⑤
 8, 7,Ｉスリｰマスコット, 27,田嶋翔, 2.5, 25, -23,  -9, 9, 63.5,⑨⑨⑨, 8, 7, コウエイゴｰルド,---,武英  , 2.0, 31,  -8, -24, 3,  6.3,②②⑦, 8, 7,Ｆメイショウアズｰロ, 64,武幸  , 1.0, 60, -22,  18, 5,  8.6,⑬⑬⑭, 8,16,Ｄオンワｰドサマンサ, 69,二本柳, 1.1, 59,  -4,   4,13, 81.5,⑮⑭⑬
 9, 9,Ｆリバｰセｰヌ, 34,鮫島良, 3.0, 16, -27, -13, 7, 40.3,⑨⑩⑩, 9,10, ゴｰルドビガｰ,---,鮫島良, 2.2, 27, -16, -19, 9, 45.3,⑧⑨⑨, 9,10,Ｍラブアフェアｰ, 54,佐久間, 1.0, 43,*-18,   8,11,111.7,②②②, 9,11,Ｈシルクプロシｰド, 65,嘉藤  , 1.2, 57,   0,  -5,11, 37.5,⑧⑩⑪
10, 2,Ｇシュンカ, 28,川田  , 3.1, 16, -28, -13,11, 81.7,⑪⑪⑩,,,,,,,,,,,,,10, 1,Ｈクリスタルバッハ, 61,モンテ, 1.0, 50, -19,  14, 9, 18.4,⑧⑧⑨,10, 8,Ｅシｰサイドブリｰズ, 68,藤岡  , 1.3, 58,  -4,   1, 9, 26.9,⑭⑭⑪
11, 1,Ｋナムラスキャット, 17,武英  , 3.6, 16, -11, -27, 8, 42.5,⑥⑤⑥,,,,,,,,,,,,,11,15,Ｉプロメテウス, 61,松田  , 1.1, 62, -24,* 20,14,142.1,⑮⑮⑭,11, 7,Ｍヒシダブリン, 55,武幸  , 1.6, 52,   1, -14, 7, 23.3,⑥⑥⑦
12, 3,Ｌチョウキレイ, 15,太宰  , 3.8,  7, -29, -18,10, 79.2,⑪⑪⑫,,,,,,,,,,,,,12, 4,Ａダンツソｰルジャｰ, 72,塚田  , 1.2, 42, -20,   8, 3,  5.7,⑤⑤⑦,12,10,Ｌエイシントップオｰ, 58,赤木  , 1.6, 51,  -2,  -8, 4,  8.7,⑪⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｌハｰトストッパｰ, 55,柄崎  , 1.2, 45, -18,   9,13,139.2,④④④,13, 6,Ｊサンブロンシェ, 59,中舘  , 1.7, 50,*  6, -25, 6, 10.0,①①①
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｄワイルドコマンダｰ, 65,生野  , 1.3, 46, -22,  13, 7, 13.2,⑩⑪⑬,14,15,Ｏタニノマルガリｰタ, 51,モンテ, 2.2, 45,*  6, -32, 8, 26.6,①②②
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｏヨシトマホｰク, 51,二本柳, 1.7, 41, -20,   8,15,271.9,⑩⑧⑨,15,12,Ｎラティｰノヒｰト, 53,鹿戸  , 3.5, 25,   2, -44,12, 42.0,④③⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-22 ﾚｰｽｱｶﾞﾘ指数:+26 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,
単勝:240円 複勝:10=110円 05=150円 04=140円 枠連:510円,,,,,,,,,,,,"単勝:1,370円 複勝:04=240円 03=130円 02=320円 枠連:1,360円",,,,,,,,,,,,"単勝:1,200円 複勝:14=350円 12=690円 06=120円 枠連:2,930円",,,,,,,,,,,,単勝:350円 複勝:02=140円 05=310円 04=600円 枠連:630円,,,,,,,,,,,
馬連:720円 ワイド:05-10=280円 04-10=230円 04-05=370円,,,,,,,,,,,,"馬連:1,570円 ワイド:03-04=610円 02-04=1,730円 02-03=660円",,,,,,,,,,,,"馬連:14,800円 ワイド:12-14=3,990円 06-14=1,380円 06-12=2,820円",,,,,,,,,,,,"馬連:1,550円 ワイド:02-05=520円 02-04=1,420円 04-05=4,190円",,,,,,,,,,,
"馬単:1,050円 3連複:860円",,,,,,,,,,,,"馬単:4,370円 3連複:4,510円",,,,,,,,,,,,"馬単:24,460円 3連複:29,750円",,,,,,,,,,,,"馬単:2,590円 3連複:14,070円 3連単:69,050円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 4歳上500万(牝) 別定,,,,,,,,,,,,■ 8R  芝1800m 4歳上500万 別定,,,,,,,,,,,,■11R  芝1200m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋吉台特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
