06年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａゼンノマルビナス, 55,赤木  ,, 59,* -1,* -2, 1,  1.7,②①①, 1, 4,Ａオハコ, 60,池添  ,, 63, -10,* 11, 2,  4.0,⑫⑪⑫, 1,10,Ａフミノブルｰスカイ, 69,鮫島良,, 70,*  5,*  1, 2,  2.8,②②②, 1,13,Ｄタガノバスティｰユ, 63,池添  ,, 70,  -9,* 16, 2,  5.7,⑪⑪⑬
 2,10,Ｌサクラレピｰド, 27,鹿戸  , 0.4, 57,  -5,*  1, 9, 85.3,⑨⑦④, 2, 9,Ｋアインマｰル, 41,佐藤聖, 0.1, 57, -12,*  8,11, 70.1,⑫⑪⑩, 2, 2,Ｄスリｰハイランド, 67,橋本美, 0.1, 72,   5,*  4, 3,  7.0,⑤④④, 2,15,Ｂロングフラワｰ, 65,橋本美, 0.2, 64,*  2,   2, 9, 22.9,①①①
 3, 4,Ｄトウカイポリシｰ, 51,芹沢  , 0.6, 55,  -3,  -4, 4, 10.6,⑥③②, 3,11,Ｆクｰルカリッジ, 55,モンテ, 0.1, 60,  -9,*  8, 9, 17.8,⑥⑧⑦, 3, 1,Ｂウインルシル, 67,赤木  , 0.3, 70,*  6,  -1, 6, 17.7,⑩①①, 3,17,Ｎソニックベロシティ, 48,芹沢  , 0.2, 67,  -5,   8,15, 83.7,⑩⑦⑤
 4, 7,Ｈコアレスウォルデン, 45,二本柳, 1.5, 48,  -7,  -6,11, 91.5,⑪⑩⑨, 4, 6,Ｈロｰレルエルドラド, 50,塚田  , 0.1, 55, -11,*  6, 8, 16.0,⑦⑧⑦, 4, 7,Ｃイｰグルドライバｰ, 67,和田  , 0.9, 66,   5,  -3, 1,  2.3,⑤④⑤, 4,12,Ｃシルクゾディアック, 64,中舘  , 0.3, 64,  -3,   5, 5,  7.7,②③②
 5, 5,Ｆメイショウトンボ, 45,池添  , 1.6, 48,  -7,  -8, 8, 54.8,⑦⑧⑥, 5, 7,Ｄマイネルヴィｰトル, 57,川田  , 0.2, 53,* -9,   3, 4,  9.3,⑩③②, 5, 9,Ｈマリンオンワｰド, 52,西田  , 1.3, 65,   4,  -3,10,149.9,⑧⑦⑥, 5,10,Ｊミヤジヒｰト, 54,和田  , 0.5, 62, -14,* 13, 3,  5.9,⑮⑭⑭
 6, 6,Ｊタカラダンディｰ, 37,加藤士, 1.8, 44,  -9, -10,13,262.0,⑫⑩⑥, 6,10,Ｉダイワアデオス, 43,藤岡  , 0.3, 50,* -6,  -2, 1,  2.8,①①①, 6, 8,Ｅアラビアロレンス, 65,藤岡  , 2.1, 59,*  6, -18, 4,  9.4,①②②, 6, 8,Ｆサウスティｰダ, 59,藤岡  , 0.5, 58,  -3,   2, 4,  6.2,②③⑤
 7, 2,Ｋアルタントプチ, 35,中舘  , 2.3, 41,* -1, -24, 5, 13.8,①②③, 7, 5,Ｊオｰプンセサミ, 41,生野  , 0.3, 52, -11,   4, 5, 14.5,⑨⑧⑩, 7, 5,Ｇメルシｰギンガ, 59,上野翔, 2.7, 54,   2, -15,11,271.4,⑨⑨⑧, 7, 7,Ｋコスモコントワｰル, 53,鮫島良, 0.6, 60, -11,   8,10, 37.8,⑬⑫⑪
 8,11,Ｃエカテリｰナ, 54,高橋亮, 2.7, 38,  -3, -24, 6, 27.0,⑤③④, 8,12,Ｂサンレイコマンド, 58,大西  , 0.6, 48,* -8,  -2, 3,  6.6,④③②, 8,11,Ｆベストグランチャ, 62,鈴来  , 2.9, 53,   5, -21, 7, 19.5,②④⑦, 8, 6,Ａバロンハｰバｰ, 70,北村浩, 0.7, 59, -11,   7, 6, 10.2,⑭⑫⑨
 9,13,Ｂピエナテンイヤｰズ, 54,ルメｰ, 3.3, 33,  -7, -24, 2,  3.9,⑧⑧⑨, 9, 3,Ｃメジロソｰサ, 58,岩部  , 0.6, 53, -11,   5, 6, 14.6,⑫⑬⑫, 9, 4,Ｉハギノヴァルカン, 42,池添  , 3.8, 51,   1, -20, 9, 92.7,⑩⑪⑨, 9,18,Ｍサインゴｰルド, 50,塚田  , 0.7, 56,  -3,  -1,14, 67.5,⑤③②
10,12,Ｍメイショウビｰボ, 20,塚田  , 3.5, 30,  -9, -25,12,238.2,⑨⑫⑫,10, 1,Ｌロングファイト, 37,高橋亮, 0.6, 53, -11,   5,14,168.2,⑫⑬⑫,10, 6,Ｊタマモワラワラ, 41,モンテ, 4.7, 44,   3, -34, 8, 82.9,⑤⑧⑨, 9, 5,Ｉケイアイデジタル, 56,二本柳, 0.7, 57,  -8,   4, 7, 20.2,⑦⑨⑨
11, 1,Ｅロトペガシス, 49,鈴来  , 3.8, 27,  -3, -34, 7, 44.4,③③⑨,11, 8,Ｅペプチドラアｰジャ, 56,和田  , 1.1, 42,* -8,  -9,10, 62.9,⑩③②,11, 3,Ｋヴァンジェｰロ, 40,ルメｰ, 5.6, 38,   3, -41, 5, 13.6,②⑨⑪,11,14,Ｈマルカシリウス, 56,高橋亮, 0.9, 52,*  0,  -7, 8, 22.9,⑤②②
12, 8,Ｉピュアウインド, 38,藤岡  , 4.4, 25, -13, -24,10, 91.1,⑬⑬⑬,12,14,Ｎマイネルタフティ, 34,ルメｰ, 1.4, 36,* -8, -14, 7, 15.2,③③⑦,,,,,,,,,,,,,12,11,Ｇエｰピｰレジェンド, 58,嘉藤  , 0.9, 51,  -6,  -1,12, 40.7,⑦⑦⑪
13, 9,Ｇシゲルカイコシ, 45,角田  , 4.5, 23,  -3, -41, 3, 10.6,④③⑥,13,13,Ｐアッパｰクラス, 17,太宰  , 1.8, 31,* -7, -23,13,101.2,②②②,,,,,,,,,,,,,13, 9,Ｅコスモルビｰ, 61,ルメｰ, 1.0, 52,  -8,  -1, 1,  4.0,⑦⑨⑦
,,,,,,,,,,,,14, 2,Ｇチェリｰサウンド, 51,赤木  , 2.0, 35, -15,  -7,12, 77.1,⑯⑯⑮,,,,,,,,,,,,,14,16,Ｐジョウノナンシｰ, 42,川田  , 1.2, 45,  -3,  -9,13, 55.4,②③⑦
,,,,,,,,,,,,15,16,Ｍシェセル, 35,田辺  , 2.6, 21,* -7, -33,16,461.1,⑦③②,,,,,,,,,,,,,15, 3, ヒロノジョｰ,---,吉留  , 1.5, 43, -16,  -1,18,205.0,⑮⑭⑭
,,,,,,,,,,,,16,15,Ｏスズノラヴ, 28,西原  , 9.0,-63, -14, ---,15,355.7,④⑮⑯,,,,,,,,,,,,,16, 4,Ｌドリブン, 51,赤木  , 1.5, 43, -14,  -2,11, 40.0,⑪⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｏエイシンラブリｰ, 46,角田  , 1.7, 41, -26,   5,16,125.4,⑰⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｑナツノタイガｰ, 35,田中学, 2.1, 33, -27,   1,17,180.5,⑱⑰⑱
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
"単勝:170円 複勝:03=100円 10=1,050円 04=190円 枠連:1,680円",,,,,,,,,,,,"単勝:400円 複勝:04=170円 09=1,550円 11=460円 枠連:530円",,,,,,,,,,,,単勝:280円 複勝:10=140円 02=170円 01=370円 枠連:970円,,,,,,,,,,,,"単勝:570円 複勝:13=320円 15=530円 17=1,580円 枠連:3,470円",,,,,,,,,,,
"馬連:5,410円 ワイド:03-10=1,510円 03-04=290円 04-10=4,890円",,,,,,,,,,,,"馬連:10,210円 ワイド:04-09=3,450円 04-11=1,240円 09-11=13,500円",,,,,,,,,,,,"馬連:1,270円 ワイド:02-10=460円 01-10=1,050円 01-02=1,420円",,,,,,,,,,,,"馬連:6,630円 ワイド:13-15=2,850円 13-17=7,660円 15-17=11,290円",,,,,,,,,,,
"馬単:6,460円 3連複:9,770円",,,,,,,,,,,,"馬単:16,830円 3連複:55,650円",,,,,,,,,,,,"馬単:1,880円 3連複:4,590円",,,,,,,,,,,,"馬単:10,790円 3連複:111,290円 3連単:614,860円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 5R  ダ1000m 4歳上500万(牝) 別定,,,,,,,,,,,,■ 8R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■11R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉野ヶ里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂユキノマｰメイド, 61,西田  ,, 58,* -9,   9, 1,  3.3,②②②, 1, 9,Ｈアイファｰペガサス, 58,内田浩,, 69,*  6,   1, 8, 26.7,②①①, 1, 1,Ｂセレスクラブ, 69,鮫島良,, 61,*-10,  12, 3,  4.9,①①①, 1, 6,Ｅウルヴズグレン, 74,吉留  ,, 71,  -4,  17,13, 53.3,⑬⑦⑤
 2, 6,Ａパインクｰル, 62,北村浩, 0.3, 48,* -9,   0, 2,  4.4,①①①, 2, 4,Ｇミヤジアイ, 60,和田  , 0.1, 68,*  4,   2, 6,  9.1,②②③, 2,10,Ｆホッカイアムレット, 61,池添  , 0.1, 64,* -9,  13,11, 29.7,⑥②②, 2, 7,Ｈヤナギムシ, 73,岩部  , 0.0, 71,  -5,  18,10, 32.8,⑧⑦⑤
 3, 8,Ｇスプリングピオリア, 45,中舘  , 0.4, 58, -13,  11, 6, 13.6,⑥⑥③, 3,12,Ｃセトモモチャン, 65,生野  , 0.1, 67,*  5,   0, 3,  5.2,①②②, 3, 7,Ｄエスケｰアパッチ, 63,野元  , 0.1, 71, -13,* 19,12, 45.3,⑪⑫⑤, 3, 4,Ｊゲイリｰスティング, 71,池添  , 0.0, 72,   0,  16, 2,  7.3,③③③
 4, 5,Ｃブレイズワン, 54,上野翔, 0.5, 48, -13,   4, 7, 17.9,⑤④③, 4, 7,Ｄチャイナバロック, 63,鮫島良, 0.2, 61,  -7,*  5, 2,  4.6,⑧⑦⑤, 4,14,Ｇシンメイガルダン, 60,川田  , 0.3, 59,*-10,  11, 2,  4.9,②②③, 4, 5,Ｉマヤノスタｰダム, 73,藤岡  , 0.1, 73,  -6,  20, 3,  8.1,⑪⑪⑪
 5,11,Ｉコスモマゼンタ, 37,モンテ, 0.6, 58, -16,* 14, 9, 29.0,⑧⑨⑧, 5, 1,Ｅキシュウマドンナ, 61,川田  , 0.4, 59,  -8,   5, 7, 22.9,⑧⑧⑥, 5, 2,Ｉアグネスマサオｰ, 60,鹿戸  , 0.6, 59, -11,  11, 7, 13.8,⑨⑤④, 5,12,Ｄカノヤバトルクロス, 75,モンテ, 0.2, 69,  -2,  16, 4, 12.2,⑦⑦⑦
 6, 2,Ｄミスタｰキセキ, 53,和田  , 0.8, 46,*-10,  -2, 3,  5.2,③③③, 6, 2,Ｉフジマサビュｰティ, 56,中舘  , 0.6, 55, -21,* 13, 4,  5.6,⑬⑬⑩, 6, 6,Ｊダイショウゴｰドン, 59,橋本美, 0.7, 59, -12,  11, 1,  4.7,⑤⑨⑤, 6,16,Ｌエストレｰア, 71,田中学, 0.2, 72,  -8,* 21,15, 75.3,⑪⑬⑬
 7,10,Ｅユｰロペ, 51,ルメｰ, 0.8, 55, -16,* 12, 4,  6.1,⑩⑩⑧, 7, 6,Ｂキマグレ, 66,藤岡  , 0.7, 59,  -2,   0, 1,  3.9,④④④, 7,12,Ｈタイグレｰト, 60,和田  , 1.0, 58, -14,  12,13, 62.4,⑭⑭⑭, 7, 8,Ｎサウスポｰル, 69,角田  , 0.3, 62,*  1,   6, 8, 18.1,①①②
 8, 3,Ｆキンショｰハヤテ, 50,鮫島良, 1.0, 40, -15,  -1, 8, 27.1,⑥⑥⑦, 8, 5,Ｆランバイルビｰ, 60,加藤士, 1.0, 51,  -8,  -2,12,139.2,⑩⑧⑥, 8, 8,Ｋトウショウコｰラル, 58,高橋智, 1.0, 55, -12,   9, 9, 23.4,⑨⑨⑧, 8, 9,Ｆマルブツシルヴァｰ, 74,中舘  , 0.3, 64,*  1,   6, 7, 18.1,④②①
