06年 4月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■ 7R  芝1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■10R  芝1600m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｈタケデンタンゴ, 35,高橋智,, 56,  -8,*  2, 8, 44.6, ⑥⑤, 1, 7,Ａコスモメルベｰユ, 49,松岡正,, 52,*-17,   9, 1,  1.7,③①①, 1,15,Ｇマリアヴァレリア, 66,藤田伸,, 62,* -2,   4, 1,  2.7,②①①, 1, 5,Ｄイブキディリｰタ, 73,蛯名正,, 75,  -9,* 21, 6, 14.4,⑧⑨⑦
 2, 5, ベロｰチェ,---,勝浦正, 0.1, 56,* -1,  -4, 7, 35.4, ②②, 2, 6, サクセスガｰウィン,---,藤田伸, 0.2, 56, -18,* 13, 3,  7.9,⑧⑦④, 2,13,Ｅトラッドスキｰム, 66,田中勝, 0.2, 62,  -5,   7, 6, 16.0,⑥⑤④, 2, 8,Ｅソリッドスライダｰ, 69,藤田伸, 0.0, 69,  -5,  15, 2,  3.8,①③③
 3, 9,Ｄシンボリプロキオン, 49,柴田善, 0.8, 46, -12,  -1, 2,  4.0, ⑧⑧, 3, 9,Ｄマイネルバウンサｰ, 43,丹内祐, 0.4, 47, -17,   7, 5, 15.4,④③②, 3,11,Ｃマイネルガスト, 68,蛯名正, 0.2, 63,  -5,*  8, 2,  3.3,⑧⑧⑥, 3, 4,Ａサイレントアスク, 79,横山典, 0.1, 66,  -5,  14, 1,  2.2,①③④
 4, 7,Ｆブラッシュボｰル, 44,田中勝, 1.1, 43, -14,  -2, 5, 14.9, ⑨⑨, 4, 1,Ｃショウワインラヴ, 44,小林淳, 0.4, 51, -17,   9, 4,  8.7,④④④, 4, 8,Ｌシャイニングスルｰ, 57,松岡正, 0.3, 60,  -4,   6,13, 83.1,⑥⑤⑥, 4, 7,Ｃジュラナスリング, 74,後藤浩, 0.1, 70,  -7,  17, 4,  8.4,⑦⑥④
 5, 2,Ａキッズアルタイル, 58,藤田伸, 1.2, 44,  -5, -12, 1,  2.0, ⑤⑥, 5, 4,Ｆマチカネミノリ, 33,横山典, 0.6, 51, -19,  10, 2,  3.5,⑧⑧⑦, 5,14,Ｊマチカネオオバン, 59,北村宏, 0.4, 63,  -7,* 10,12, 69.3,⑩⑫⑩, 5,10,Ｂアポインテッドデイ, 79,柴田善, 0.2, 63,* -4,   9, 3,  5.3,①①①
 6,10,Ｃエフテｰクリニック, 49,江田照, 1.2, 46,*  1, -17, 4,  9.4, ①①, 6, 5,Ｂジェイケイチｰフ, 47,北村宏, 1.0, 43, -17,   4, 6, 23.7,⑥④②, 6, 4,Ｍカフェリバティｰ, 54,柴田善, 0.4, 58,* -3,   3, 3,  6.1,④⑤⑥, 6, 6,Ｆオｰトゼウス, 69,小林淳, 0.3, 64,  -7,  14, 5, 10.8,⑤⑥⑦
 7, 8,Ｂセイカホルン, 50,池田鉄, 1.2, 44,  -2, -14, 6, 33.7, ②③, 7, 3,Ｅタマモアテンション, 38,津村明, 2.1, 30, -20,  -4, 7, 48.5,⑥⑧⑨, 7,12,Ｋネヴァｰトルネｰド, 58,横山典, 0.5, 56,* -3,  -1, 4, 13.8,④④④, 7, 2,Ｈフクノファイン, 68,田中剛, 0.5, 59,  -7,  11, 7, 38.8,⑨⑥⑨
 8, 1,Ｅサクライヤｰワン, 45,蛯名正, 1.4, 43,  -4, -15, 3,  4.6, ④③, 8, 2,Ｇストレイフ, -7,石崎隆, 3.5, 16, -17, -20, 8, 92.6,②④⑦, 8, 9,Ｈダイワカｰメル, 65,勝浦正, 0.5, 56,* -2,  -3, 8, 26.7,③③①, 8,11,Ｉスプリングタピアン, 68,津村明, 0.6, 62, -10,  14, 9, 55.2,⑨⑩⑨
 9, 6,Ｇプリマシア, 42,津村明, 1.5, 38,  -9, -13,10,165.5, ⑥⑦, 9, 8,Ｈマウントメガミ,-24,鈴来直, 4.9,  1,*-16, -36, 9,156.7,①①④, 9, 1,Ｉケイジｰウォリア, 60,後藤浩, 0.5, 58,  -6,   6,11, 64.7,⑩⑨⑪, 9, 3,Ｇダリオ, 69,田中勝, 0.8, 53,* -4,   0,10,130.3,①①①
10, 4, ゴｰルドトレイン,---,石崎隆, 2.1, 30, -22,  -5, 9,129.7, ⑩⑩,,,,,,,,,,,,,10, 3,Ｂタマモダンディ, 71,菊沢隆, 0.6, 55,  -6,   4, 5, 15.0,⑩⑨⑪,10, 1,Ｋマイネルジェム, 64,松岡正, 1.0, 50,  -5,   0, 8, 42.8,⑤③④
,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｄメイプルサンデｰ, 67,石崎隆, 0.6, 60,  -9,* 10,10, 37.8,⑮⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｆナムラシｰザｰ, 66,津村明, 0.8, 53, -11,   5, 7, 16.6,⑭⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ａコスモスパングル, 74,吉田豊, 1.0, 52,  -8,   1, 9, 35.8,⑩⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｏエステヴァン, 46,吉永護, 1.0, 52,  -6,  -2,14,103.2,⑧⑨⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｎサｰチエネミｰ, 53,田中剛, 2.0, 33,* -1, -27,15,113.8,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
