06年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂワンダｰグロｰリｰ, 42,野元  ,, 49,  -5,  -7, 1,  3.8,③③③, 1, 5, ミヤジヒｰト,---,和田  ,, 54, -18,*  7, 1,  2.4,⑤⑥③, 1, 6,Ｅオルティア, 63,生野  ,, 66,  -3,*  8, 7, 17.3,⑧⑥⑥, 1, 9,Ｇスｰパｰワシントン, 56,鮫島克,, 65,  -2,*  6, 9, 31.9,⑥⑥⑥
 2, 9,Ｃジュエリｰクイｰン, 40,中舘  , 0.1, 46, -14,  -3, 2,  4.6,⑧⑦⑥, 2, 7, メイショウダンディ,---,赤木  , 0.0, 51,*-13,   2, 4,  8.1,①②②, 2, 5,Ｇハッスルシチｰ, 61,中舘  , 0.1, 68,  -4,* 11, 6, 10.8,⑬⑩⑧, 2, 2,Ｅロングフラワｰ, 59,橋本美, 0.0, 67,*  7,  -3,11, 44.2,①①①
 3, 8,Ｈエｰスオネラエ, 29,塚田  , 0.1, 46,* -5, -11,10, 37.7,②②②, 3, 3, サバンナガｰル,---,中舘  , 0.2, 48, -16,   2, 2,  3.7,⑤③③, 3, 8,Ａデポジットブック, 68,赤木  , 0.4, 64,*  0,   1, 2,  4.2,⑧③②, 3,14,Ｄシルクゾディアック, 60,中舘  , 0.0, 67,*  6,  -2, 6, 13.0,②②②
 4, 1,Ｉアフリｰトバッハ, 25,津村  , 0.2, 44,  -6, -10, 4,  7.1,③③③, 4, 1, ワンマイドリｰム,---,柴原  , 0.3, 47, -21,*  5, 6, 21.8,⑨⑦⑦, 4,13,Ｃニシノガルｰダ, 63,田辺  , 0.5, 64,  -2,   4, 3,  5.9,⑩⑥④, 4,13,Ａマリンフェスタ, 70,渡辺薫, 0.1, 64,   2,   0, 4, 10.1,③③③
 5, 5,Ａグレｰトセイウン, 46,畑端  , 0.5, 45,* -2, -14, 3,  4.9,①①①, 5, 6, テイエムスカット,---,橋本美, 0.5, 41,*-11,  -7,10, 49.4,①①①, 5,10,Ｉダイショウゴｰドン, 59,橋本美, 0.6, 61,*  1,  -3, 5,  7.5,③②①, 5, 8,Ｃマイネルガッチャ, 64,大西  , 0.3, 60,  -2,   1, 2,  4.8,⑧⑥⑥
 6, 2,Ｇサクセスストｰリｰ, 33,中谷  , 0.5, 42,  -7, -11, 8, 20.2,③⑤⑤, 6, 2, アグネスチャレンジ,---,モンテ, 0.9, 36, -23,  -2, 7, 23.6,⑩⑩⑩, 6,12,Ｋシルキｰパンチ, 58,嘉藤  , 1.1, 61,  -6,   5,14,183.5,⑭⑬⑨, 6,15,Ｂナイスヴァレｰ, 66,和田  , 0.4, 57,  -9,*  6, 1,  3.0,⑪⑪⑫
 7, 4,Ｋタｰフスウォｰド, -3,鮫島良, 0.6, 33, -30,*  0, 5,  7.4,⑪⑪⑪, 7, 8, スリｰミスズヒメ,---,渡辺薫, 1.2, 29, -15, -15, 5, 11.4,③③③, 7, 4,Ｍホｰマンセフォｰ, 49,鮫島良, 1.5, 51,  -2,  -9, 8, 20.4,③④⑤, 7, 1,Ｎエｰピｰレジェンド, 47,嘉藤  , 0.4, 59,   2,  -5,13, 65.7,③③③
 8, 6,Ｅシゲルドッポダカ, 37,中村将, 0.7, 33, -23,  -6,11, 78.9,⑩⑩⑨, 8,13, ジュンジュンハニｰ,---,加藤士, 1.2, 26, -21, -12, 8, 25.8,⑦⑦⑦, 8,11,Ｄトウショウコｰラル, 63,高橋智, 1.8, 54,  -5,  -3, 9, 38.5,⑭⑬⑬, 8, 4,Ｆチアズガディス, 57,内田浩, 0.5, 58,   2,  -6, 5, 10.5,③③③
