06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上500万 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13, 8, クニノハル,---,田辺  , 3.1, 15, -30, -12,15,232.0,⑪⑫⑪,13, 2,Ｊシルクゲイナｰ, 59,野元  , 1.8, 50,*  0, -13, 3,  6.1,①①②,13,15,Ｌサイファ, 54,松永  , 1.6, 56,  -3,  -2,11, 52.6,⑱⑰⑯
,,,,,,,,,,,,14,15, レインボｰミｰナ,---,鮫島良, 3.3,  9, -25, -23,11, 62.9,⑩⑨⑨,14,12,Ｎメキメッサｰ, 49,中谷  , 2.1, 50,  -4,  -9,14,182.6,⑧⑧⑨,14,18,Ｍセイウンバンチョｰ, 50,小牧太, 1.7, 53,*  4, -20,13, 60.8,③②②
,,,,,,,,,,,,15,12, オｰタムチェリｰ,---,二本柳, 4.1,  1, -17, -40,14,175.6,⑥⑥⑦,15,14,Ｏギャンブルダンサｰ, 20,二本柳, 3.1, 43,  -7, -13,15,243.2,⑫⑭⑮,15,13,Ｈサクラトラスト, 62,津村  , 1.9, 49,*  3, -24, 7, 14.7,②②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｏミヤコフラッシュ, 46,柄崎  , 2.1, 49,  -1, -13,18,192.8,⑯⑮⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｐフォグキャスケｰド, 44,野元  , 2.2, 49,  -3, -10,14, 60.9,⑬⑱⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｒセイウンクレナイ, 43,嘉藤  , 2.4, 45,*  5, -32,10, 41.1,①①②
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+26 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,
"単勝:120円 複勝:06=110円 02=340円 07=330円 枠連:1,010円",,,,,,,,,,,,単勝:410円 複勝:09=200円 11=140円 07=990円 枠連:430円,,,,,,,,,,,,"単勝:920円 複勝:10=390円 06=350円 13=1,360円 枠連:3,230円",,,,,,,,,,,,"単勝:1,320円 複勝:05=430円 17=290円 04=530円 枠連:1,500円",,,,,,,,,,,
"馬連:1,040円 ワイド:02-06=430円 06-07=450円 02-07=2,130円",,,,,,,,,,,,"馬連:760円 ワイド:09-11=270円 07-09=2,190円 07-11=2,150円",,,,,,,,,,,,"馬連:3,420円 ワイド:06-10=990円 10-13=7,580円 06-13=7,420円",,,,,,,,,,,,"馬連:5,010円 ワイド:05-17=1,520円 04-05=1,810円 04-17=1,400円",,,,,,,,,,,
"馬単:1,190円 3連複:2,570円",,,,,,,,,,,,"馬単:1,620円 3連複:10,090円",,,,,,,,,,,,"馬単:6,830円 3連複:62,710円",,,,,,,,,,,,"馬単:11,320円 3連複:12,690円 3連単:83,890円",,,,,,,,,,,
