06年 6月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,樟葉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｅズｰムトウショウ, 51,佐藤哲,, 59,* -8,*  3, 6, 11.0,⑧④③, 1, 8, タニノエタニティ,,熊沢重,,,,, 6, 15.5,⑥②②, 1,16,Ｃミスティラブ, 73,中村将,, 84,  14,   9, 6, 12.8, ⑨⑦, 1,15,Ｂシンメイレグルス, 75,武豊  ,, 81,   5,* 15, 2,  4.0,⑫⑫⑧
 2, 7,Ｂニットウサラン, 58,幸英明, 0.1, 62, -10,*  6, 3,  4.5,⑪⑦⑥, 2, 3, ペルフェット,,岩崎祐, 0.0,,,, 1,  2.9,④⑤④, 2, 1,Ｆアスピリンスノｰ, 68,ボス  , 0.0, 91,* 24,  -4, 5, 11.2, ②②, 2, 2,Ｌキｰンゲイル, 62,太宰啓, 0.7, 73,   7,   2, 9, 26.9,⑦⑦⑤
 3, 4,Ｄスズカゲラン, 51,武豊  , 0.2, 54,* -7,  -1, 1,  2.7,①①①, 3, 4, キングジョイ,,内田浩, 0.3,,,,11, 84.3,⑥⑦④, 3,15,Ｈスマイルフォライフ, 67,武豊  , 0.2, 84,  10,* 20, 3,  5.4, ⑭⑭, 3, 1,Ａマンオブパｰサｰ, 77,ボス  , 0.7, 74,*  8,   0, 1,  3.6,③③③
 4, 1,Ａトｰホウシャイン, 62,岩田康, 0.7, 49,* -8,  -3, 2,  4.2,③④③, 4,10, ファンドリゴｰルド,,石山繁, 0.3,,,,12,130.6,⑪⑨⑦, 4, 2,Ｊコスモダンスナイト, 66,佐藤哲, 0.4, 83,* 20,  -7,10, 59.1, ③③, 4, 9,Ｊカルナバリｰト, 63,上村洋, 0.8, 72,   6,   3, 3,  5.5,⑪⑨⑧
 5,11,Ｆアイファｰエキスポ, 47,小牧太, 1.0, 46,  -9,  -4, 5, 10.8,⑩⑥⑥, 5,11, アズマビヨンド,,中村将, 0.5,,,, 2,  3.6,⑤④③, 5, 7,Ｄユニバｰサル, 68,福永祐, 0.5, 81,  12,  11, 4,  7.6, ⑫⑬, 5, 3,Ｇサンワｰドラン, 67,福永祐, 0.8, 73,   7,   4, 7, 18.2,⑧⑨⑩
 6, 3,Ｋアルデラミン, 38,角田晃, 1.4, 43, -10,  -6, 8, 45.7,⑪⑦⑥, 6,13, ゴｰルゲッタｰ,,金折知, 1.1,,,,10, 81.7,②①①, 6,10,Ａタケカワルキュｰレ, 73,池添謙, 0.5, 83,  18,   0, 7, 13.8, ⑦⑦, 5, 7,Ｅゼッツｰ, 71,岩田康, 0.8, 74,* 10,  -3, 4,  8.4,②②②
 7, 9, エイユｰミュｰズ,---,和田竜, 1.4, 41,* -7, -12, 7, 26.9,③②②, 7, 6, ランドブラザｰ,,嘉堂信, 1.8,,,, 7, 22.3,③⑤⑦, 7,17,Ｅヤマニンファビュル, 68,石橋守, 0.7, 81,* 24, -19, 2,  5.2, ①①, 7,16,Ｆメイショウポパイ, 68,佐藤哲, 1.1, 70,   4,   5, 8, 20.8,⑯⑬⑬
 8,14,Ｉシゲルジコバイバイ, 41,池添謙, 2.7, 37,* -7, -24,13,303.3,⑥③③, 8, 7, ヤシャボサツ,,白浜雄, 1.8,,,, 4,  6.6,⑨⑪⑪, 8, 4,Ｍラブアクチュアリｰ, 59,和田竜, 0.9, 75,  13,   1,11, 62.2, ⑫⑪, 8,11,Ｃタガノエスペランサ, 73,角田晃, 1.1, 70,   7,  -2, 6, 13.4,⑧⑦⑩
