06年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■10R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-11.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,利尻特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅトウカイファイン, 39,柴山雄,, 57,* -3,  -1, 3,  9.9, ②①, 1, 4,Ｃコスモラナップ, 65,武幸四,, 67,   1,   6, 6, 16.4, ③③, 1, 4,Ｃアドマイヤスバル, 64,柴山雄,, 67,* -2,  10, 6, 10.9,①①①, 1, 5,Ａマイネルバシリコス, 71,武幸四,, 70,   3,   7, 1,  2.0,③③②
 2,10,Ａラストベガ, 53,川島信, 0.3, 53,  -7,  -3, 2,  2.4, ③③, 2,11,Ｂシゲルダイノウカイ, 65,五十嵐, 0.1, 65,*  7,   1, 1,  1.8, ①①, 2, 8,Ｇワンダｰタイガｰ, 58,塚田祥, 0.2, 71,  -4,* 13, 5,  7.7,⑧⑦③, 2, 1,Ｈイナズマイｰジス, 49,川島信, 0.1, 70,   2,   7, 6, 22.4,④④④
 3, 5,Ｉケイアイアップヒル, -2,藤岡佑, 0.5, 47, -14,* -1, 6, 40.7, ⑤④, 3, 5,Ａライフブリｰズ, 67,藤岡佑, 0.4, 68, -12,* 15, 5, 11.5, ⑫⑪, 3, 1,Ｂノｰスベアハｰト, 67,藤岡佑, 0.3, 67,  -5,* 12, 2,  3.5,⑦⑦⑥, 3, 6,Ｂアドマイヤカンナ, 62,芹沢純, 0.1, 70,   2,   7, 3,  4.5,④④④
 4, 1,Ｄイエロｰファイト, 45,五十嵐, 0.8, 45, -18,*  0, 5, 33.5, ⑧⑥, 4,10,Ｇバｰンファイタｰ, 56,川島信, 0.4, 64,  -6,   9,11, 59.1, ⑨⑦, 4, 6,Ａヤマニンプレアデス, 70,武幸四, 1.0, 54,* -3,   1, 4,  5.8,②②②, 4, 3,Ｆセブンスアンコｰル, 55,藤岡佑, 0.7, 64,  -3,   7, 5, 13.8,⑨⑧⑥
 5, 2,Ｂハギノエアロ, 47,藤田伸, 1.1, 40, -10, -12, 1,  1.7, ④⑤, 5, 8,Ｉタケデンサンバ, 54,小林徹, 0.4, 65,  -7,* 10, 4, 11.4, ⑩⑦, 5, 7,Ｅジェイケイワンダｰ, 60,藤田伸, 1.5, 53,* -2,  -1, 7, 30.9,③③③, 5, 2,Ｇフレッシュブラッド, 53,柴山雄, 0.8, 61,*  4,  -7, 4, 12.5,②②①
 6, 9,Ｃディｰプハニｰ, 46,武英智, 1.4, 36, -13, -13, 7, 47.2, ⑤⑥, 6, 3,Ｈプラナグリｰン, 54,柴山雄, 0.5, 60,  -3,   4, 3,  9.4, ⑥⑤, 6, 5,Ｄシルクユニコｰン, 62,川島信, 1.8, 48,  -4,  -4, 1,  3.5,⑤④⑥, 6, 4,Ｉデンコウアタック, 42,五十嵐, 0.9, 63,  -6,* 10, 9, 63.7,⑩⑩⑧
 7, 4,Ｊミズホプリンス,-19,芹沢純, 1.4, 33, -22,  -7, 9,123.2, ⑨⑨, 7,14,Ｍラキシス, 48,荻野要, 0.8, 53,*  7, -10,15,326.6, ②②, 7, 2,Ｆゲイリｰアイトｰン, 59,的場勇, 2.0, 51, -11,   6, 9, 71.6,⑨⑨⑨, 7, 7,Ｊゴｰルドイチモンジ, 37,坂下秀, 0.9, 62,  -4,   7,10,171.9,⑧⑨⑩
 8, 6,Ｆレッドソウル, 37,武幸四, 1.7, 28, -14, -19, 4, 20.0, ⑤⑥, 8, 2,Ｋウインウラカワ, 53,塚田祥, 0.8, 58, -16,* 11,13,116.1, ⑭⑬, 8, 3,Ｈコスモメルベｰユ, 55,五十嵐, 2.4, 46,  -4, -11, 3,  4.5,④④③, 8, 9,Ｃニシノカエデマル, 59,藤田伸, 1.5, 56,*  5, -15, 2,  4.3,①①②
 9, 8,Ｈアイティメルヘン, 19,黛弘人, 2.0, 23, -23, -17,10,142.5, ⑨⑨, 9, 7,Ｄトドロキカポネツｰ, 63,田辺裕, 0.9, 56, -14,   9, 9, 48.3, ⑭⑮, 9, 9,Ｉビッグシャトル, 51,津村明, 2.8, 45,  -5, -14, 8, 42.1,⑤④⑧, 9,10,Ｅシルクロゼット, 56,小原義, 1.7, 55,   2, -12, 7, 27.9,⑥⑦⑧
10, 3,Ｇダンツクラフト, 19,松田大, 2.5, 19,* -2, -41, 8, 49.2, ①②,10, 6,Ｎロｰドノアｰル, 41,柴原央, 0.9, 52,  -1,  -3,12,107.7, ⑤⑤,,,,,,,,,,,,,10, 8,Ｄゼウスワンダｰ, 57,菊沢隆, 1.8, 53,   3, -15, 8, 28.6,⑥④⑥
,,,,,,,,,,,,11,15, マザｰリｰフ,---,藤田伸, 0.9, 51,*  4,  -8, 2,  4.8, ③③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,13,Ｊニｰニャロカ, 54,黛弘人, 1.3, 43, -12,  -2,10, 51.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,16,Ｅマイネルマルス, 60,津村明, 1.3, 45,  -8,  -4, 7, 29.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,12,Ｆウエスタンプリｰト, 59,芹沢純, 1.5, 44,  -3, -11, 8, 37.8, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 9,Ｌフィｰルザミリオン, 50,松田大, 1.8, 42,  -3, -16,14,230.6, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
