06年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａピｰスプロテクタｰ, 56,川田将,, 69,*  4,*  3, 2,  7.4, ①①, 1, 2, アインファスタｰ,---,内田浩,, 50,*  6, -17, 3,  5.5, ②②, 1, 7,Ａストｰンブリッジ, 75,武豊  ,, 80,*  7,  13, 2,  3.3, ②②, 1, 4,Ｉブライトトゥモロｰ, 69,和田竜,, 87,  -3,* 28, 3,  4.3,⑦⑧⑥
 2, 4,Ｂグリュｰエント, 55,岩田康, 0.8, 59,  -6,*  3, 1,  1.3, ⑦⑥, 2, 1, ロｰドクルｰザｰ,---,上村洋, 0.3, 45,*  5, -21, 2,  3.5, ①①, 2, 8,Ｂヴァｰチュ, 70,福永祐, 0.0, 83,   2,* 18, 1,  2.6, ⑦⑤, 2,10,Ｄピカレスクコｰト, 74,武豊  , 0.1, 77,*  0,  20, 4,  6.0,③③②
 3, 1,Ｃメｰクアポイント, 54,幸英明, 1.0, 57,  -5,   0, 4, 12.6, ④③, 3, 3, ワキノドライバｰ,---,福永祐, 0.4, 40, -17,* -7, 1,  2.0, ⑦⑥, 3, 9,Ｇウイングビｰト, 62,佐藤哲, 0.1, 74,*  5,   9, 3,  5.6, ②④, 3, 8,Ｃトｰワクリスタル, 74,渡辺薫, 0.4, 73,  -2,  19, 7, 18.2,④④④
 4, 2,Ｎステップロケット,-34,武豊  , 1.0, 57,  -2,  -2, 6, 23.9, ②②, 4, 5, ボンバｰヘッド,---,野元昭, 1.0, 29,  -2, -24, 6, 27.8, ③③, 4, 6,Ｋマンテンハット, 47,佐久間, 0.2, 74,* 10,   7,10,121.6, ①①, 4, 2,Ｂワンマンシャチョウ, 75,熊沢重, 0.4, 73,  -2,  19, 2,  4.2,⑥④④
 5,13,Ｋナリタチｰフ, 31,小牧太, 1.7, 49,  -5,  -8, 5, 19.8, ④⑤, 5, 8, カシノチｰフ,---,小林久, 1.0, 32, -14, -15, 7, 34.2, ⑤③, 5, 4,Ｃコアレスパレｰド, 68,田村太, 0.3, 75,  -7,* 17, 7, 28.9, ⑪⑧, 5,12,Ａシルクネクサス, 81,幸英明, 0.4, 69,*  1,  14, 1,  3.7,②②②
 6,12,Ｆケイアイシュンライ, 47,佐久間, 1.8, 47,  -6,  -8, 7, 35.8, ⑦⑥, 6, 6, チャｰミングギャル,---,高橋亮, 1.1,  9, -25,* -9, 9, 84.3, ⑧⑧, 6, 2,Ｄメイショウバル, 66,岩田康, 0.4, 72,   5,   8, 4,  6.0, ④②, 6, 5,Ｊキングオブウィナｰ, 68,福永祐, 0.7, 63,*  2,   8, 6, 11.9,①①①
 7,14,Ｇリデレ, 41,中村将, 1.9, 43, -14,  -6,12,302.4, ⑫⑪, 7, 7, ブラックマジック,---,飯田祐, 1.8, 19, -13, -25, 5, 16.8, ⑤③, 7, 1,Ｉノｰブルレディ, 57,熊沢重, 0.9, 63,  -1,   7, 9, 73.2, ⑨⑧, 7, 6,Ｇフレアリングベスト, 71,小林久, 1.2, 63,  -6,  16,10, 54.7,⑫⑫⑨
 8, 7,Ｅトウケイアトラント, 49,高橋亮, 1.9, 45, -11,  -5, 9, 54.1, ⑨⑨, 8, 4, ネイルビュｰティｰ,---,金折知, 2.3,-69, -41, -11, 8, 45.9, ⑨⑨, 8,12,Ｅアグネスプロトン, 64,田中克, 0.9, 57,   3,  -1, 5, 12.9, ④⑤, 8, 3,Ｅビッグタイガｰ, 73,佐藤哲, 1.3, 57,  -3,   8, 8, 27.4,⑪⑧⑥
 9, 5,Ｊホｰマンマジスティ, 33,田村太, 2.0, 42, -13,  -8,14,428.1, ⑨⑩, 9, 9, キクノジュピタｰ,---,幸英明, 3.0, -7, -10, -40, 4,  7.8, ④⑦, 9, 3,Ｌトゥランスレイト, 47,飯田祐, 1.1, 61,  -6,   8,12,161.1, ⑫⑫, 9, 9,Ｋメイショウシャフト, 67,石橋守, 2.0, 49,  -4,  -6, 9, 51.3,⑦⑥⑧
10,11,Ｍブライティアビスタ, 24,田中克, 2.0, 44,  -3, -14,10,190.2, ②③,,,,,,,,,,,,,10,10,Ｈハッスルガｰル, 62,幸英明, 1.2, 53,  -2,  -1,11,125.3, ⑨⑪,10, 1,Ｈグランプリゴｰルド, 71,岩田康, 2.5, 49,  -5,  -7, 5,  8.4,⑨⑩⑨
11, 9,Ｄマイティｰキラｰ, 53,鮫島良, 2.0, 44, -10,  -8, 3, 11.0, ⑨⑪,,,,,,,,,,,,,11,11,Ｆゴｰルドイモン, 63,和田竜, 1.3, 54,   5,  -6, 6, 15.0, ④⑧,11,11,Ｆシゲルフェニックス, 73,鮫島良, 2.7, 48,  -5,  -9,11,141.5,⑨⑩⑫
12, 6,Ｌアロｰン, 30,小林久, 2.3, 40, -14,  -7,13,354.4, ⑫⑪,,,,,,,,,,,,,12, 5,Ｊドナラｰク, 52,中村将, 1.4, 48,  -1,  -7, 8, 71.4, ⑦⑤,12, 7,Ｌグランドサファイヤ, 65,中谷雄, 2.8, 45,  -2, -16,12,144.3,④⑥⑨
13, 3,Ｉワンダｰヘクタｰ, 38,野元昭, 2.5, 40,  -5, -16,11,260.5, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 8,Ｈウィズインシｰズ, 40,赤木高, 2.9, 33, -16, -13, 8, 47.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
