06年 9月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-10.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアポロサｰカス, 52,吉田隼,, 60,   4,* -4, 2,  2.5, ③③, 1,10, トモクン,,田中剛,,,,, 2,  3.0,③②①, 1,16,Ｃキングルｰキｰ, 64,田中勝,, 75,*  5,*  6, 2,  4.6,③①①, 1, 4,Ｄピサノヘネシｰ, 67,後藤浩,, 75,* 11,   6, 1,  3.4, ②②
 2, 3,Ｃリッシンボス, 48,柴田善, 0.3, 60,*  7,  -8, 3,  4.9, ②②, 2, 4, フリｰスタイル,,熊沢重, 0.6,,,, 1,  2.8,⑥④③, 2,11,Ｂトミケンカイドウ, 65,後藤浩, 0.6, 67,   1,   4, 4,  5.7,⑦⑦③, 2, 8,Ｇコリントシチｰ, 62,吉田豊, 0.3, 74,   4,   9, 4,  6.7, ⑤⑤
 3, 1,Ｅアルｰリングライン, 41,武豊  , 0.7, 56,*  7, -12, 1,  2.1, ①①, 3,13, ジョッシュ,,浜野谷, 1.9,,,,12,127.2,①②③, 3, 4,Ｇトｰセンシャレｰド, 52,福永祐, 0.6, 64,  -3,* 11, 5, 14.6,⑨⑪⑧, 3,13,Ａピクシｰダスト, 71,安藤勝, 0.4, 70,* 10,   3, 2,  3.7, ②②
 4, 2,Ｂエプソムモルギフ, 50,二本柳, 1.8, 41,   2, -19, 4, 12.4, ④④, 4, 1, ベストグランチャ,,五十嵐, 2.0,,,, 7, 24.6,②①②, 4, 9,Ｈモｰニングラヴ, 52,木幡初, 0.7, 64,   2,   1,10, 38.1,③④③, 4,10,Ｆゼンノエキスプレス, 65,小林淳, 0.5, 73,  -2,* 13,11, 52.6, ⑧⑧
 5, 4,Ｄロｰザヴィｰ, 41,小野次, 1.8, 43, -12,  -6, 6, 27.5, ⑧⑦, 5,12, レッツゴｰアテネ,,金子光, 2.4,,,,11,118.2,⑩⑧⑦, 5, 7,Ｋタイキランデヴｰ, 43,横山典, 0.8, 63,   2,   0, 9, 36.7,①④③, 5, 2,Ｋシュウザンコンドル, 59,木幡初, 0.5, 73,  -1,  12, 7, 17.3, ⑧⑧
 6, 5,Ｆステッバイステップ, 26,大野拓, 1.9, 37,  -5, -15, 7,133.4, ⑥⑥, 6, 8, スガノグラスワン,,柴田大, 2.4,,,,10, 58.5,⑦⑥⑤, 6,12,Ｆテンエイミュｰズ, 52,イネス, 0.8, 62,   0,   3, 6, 17.2,⑦⑧⑦, 6, 3,Ｊショウグンエックス, 61,大庭和, 0.5, 75,  -4,* 15,14,140.8, ⑪⑫
 7, 7,Ｇスマｰトフラッシュ, 21,後藤浩, 2.2, 37,   1, -22, 5, 21.7, ⑤⑤, 7,14, ワイズタイクｰン,,穂苅寿, 2.5,,,, 5, 15.3,④⑤⑥, 7,14,Ａトｰセンアラベスク, 66,武豊  , 0.8, 64,*  3,  -3, 1,  2.6,②②②, 7, 1,Ｃエスティメｰション, 67,武士沢, 0.6, 67,* 12,  -1, 5, 14.4, ①①
 8, 6,Ｈスガノクリスタル,  4,幸英明, 4.4, 15,  -6, -37, 8,177.7, ⑦⑦, 8, 2, マイネルゼスト,,江田勇, 2.6,,,, 9, 42.4,⑨⑧⑦, 8, 1,Ｌバルトアンジェラ, 42,川田将, 1.1, 57,  -5,*  6,11, 56.7,⑮⑬⑪, 8, 9,Ｈガイヤｰル, 62,田中勝, 0.6, 71,  -1,  11, 8, 21.1, ⑧⑩
