06年 7月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａスｰサンライダｰ, 47,和田竜,, 54,* -5,* -3, 3,  3.9, ①①, 1,11, コウセイカズコ,---,吉永護,, 43,* -9,  -6, 1,  2.6, ①①, 1, 2,Ｂナリタモｰガン, 65,川田将,, 49,  -4,* -8, 4,  8.9,④④②, 1,12,Ｅモンロｰブロンド, 76,岩田康,, 92,   3,* 25, 3,  6.9, ④④
 2, 4,Ｃビｰドラスティック, 43,角田晃, 0.7, 44, -18,* -1, 4,  7.3, ⑧⑥, 2,16, テイエムヨカドｰ,---,酒井学, 0.7, 34, -24,  -3, 4,  9.0, ⑨⑧, 2, 1,Ｇデンコウミサイル, 48,池添謙, 0.1, 49,  -5,* -5, 5, 17.7,⑧⑤⑦, 2, 3,Ｆテイエムポイント, 76,上村洋, 0.0, 86,*  2,* 21, 6, 13.5, ②②
 3, 1,Ｂアルｰリングライン, 44,武豊  , 0.9, 42, -13,  -7, 1,  2.7, ⑤⑤, 3, 5, シゲルフヴァラ,---,上野翔, 0.7, 28, -19, -11,15,132.7, ④⑤, 3, 3,Ｄエプソムベガ, 52,上野翔, 0.6, 41,* -4, -22, 8, 51.9,①①①, 3, 4,Ａマルブツブリザｰド, 82,川田将, 0.3, 80,*  9,  14, 1,  2.0, ①①
 4, 2,Ｄエイシンイッパツ, 43,福永祐, 1.5, 36, -10, -15, 2,  3.3, ③③, 4,12, ペプチドマリｰ,---,橋本美, 0.8, 30,*-14, -14, 6, 10.8, ②③, 4,11,Ｆサンデｰカズ, 48,田嶋翔, 0.9, 41,  -4, -19, 6, 18.2,⑧⑤②, 4, 5,Ｉトｰワユメジ, 72,渡辺薫, 0.7, 82, -10,* 26, 7, 24.2, ⑭⑫
 5, 8,Ｅゴｰルドキリシマ, 42,石橋守, 1.5, 36,* -7, -17, 5,  8.0, ②②, 5, 6, コウエイパスポｰト,---,田中克, 0.9, 27,*-14, -19,11, 45.3, ②②, 5, 4,Ｈアドマイヤヒｰロｰ, 46,武豊  , 1.2, 38,* -3, -26, 2,  3.1,②②⑦, 5, 6,Ｎマルカシリウス, 68,石橋守, 0.8, 70,  -4,  15,11, 77.1, ⑦⑦
 6, 3,Ｆエプソムスタウト, 34,野元昭, 1.8, 31, -15, -15, 8, 96.2, ⑥⑥, 6,10, カシノエデン,---,小林久, 1.0, 28, -21, -11,10, 39.4, ⑦③, 6,12,Ｅロングファイト, 48,高橋亮, 1.3, 37,  -4, -25, 7, 40.2,⑥⑤⑤, 6,11,Ｂダブルタイトル, 81,熊沢重, 0.9, 67,   0,  11, 9, 26.9, ⑥⑤
 7, 6,Ｈエマｰブル, 28,太宰啓, 1.9, 31, -10, -19, 7, 47.8, ③③, 7, 4, マルシゲパｰル,---,船曳文, 1.1, 24, -19, -18, 8, 18.9, ④⑥, 7, 5,Ａクｰルビスティｰ, 70,福永祐, 1.4, 36,* -3, -29, 1,  2.1,②②②, 7, 9,Ｇトシザサンサン, 75,川島信, 1.0, 70, -10,  19, 8, 24.2, ⑭⑫
 8, 7,Ｇノｰスフォンテン, 32,池添謙, 2.7, 21, -15, -25, 6, 39.7, ⑥⑥, 8, 7, マルシゲタイヨウ,---,福永祐, 1.1, 31, -35,*  1, 3,  7.0, ⑭⑬, 8, 6,Ｃタガノエンブレス, 60,小原義, 1.4, 36,  -6, -23, 3,  6.8,⑩⑨⑦, 7, 8,Ｋタマモヘラクレス, 69,和田竜, 1.0, 65,  -6,  13,13,137.8, ⑩⑨
,,,,,,,,,,,, 9, 8, アフレルココロ,---,小坂忠, 1.2, 24, -24, -11, 7, 14.9, ⑨⑧, 9,10,Ｌリリｰスナイパｰ, 35,田中克, 1.9, 28,  -6, -36,11,230.4,④⑤⑤, 9,15,Ｏチャレンジセイエン, 66,幸英明, 1.0, 68,  -7,  16,15,413.6, ⑩⑫
,,,,,,,,,,,,10,15, キリシマスピｰド,---,小牧太, 1.3, 23, -30,  -6, 2,  6.3, ⑪⑪,10, 7,Ｉムチュウナノサ, 42,中村将, 1.9, 28, -10, -27,10,144.4,⑩⑩⑩,10, 1,Ｍタムロイｰネｰ, 68,酒井学, 1.0, 64,  -3,  10,14,150.4, ⑦⑦
,,,,,,,,,,,,11,14, イフウドウドウ,---,渡辺薫, 1.4, 24, -17, -20, 9, 28.6, ④⑥,11, 8,Ｊランドウイング, 41,幸英明, 4.6,-18, -10, -61, 9, 82.1,⑥⑪⑪,11, 2,Ｃシャイニングアレキ, 79,佐藤哲, 1.0, 68,  -7,  16,12, 78.5, ⑩⑩
,,,,,,,,,,,,12,13, カシノラブコｰル,---,高野容, 1.4, 33, -48,*  9,17,223.1, ⑮⑮,,,,,,,,,,,,,12,13,Ｈガｰネットスタｰ, 72,小牧太, 1.1, 63,*  5,   4, 4, 10.1, ②②
,,,,,,,,,,,,13,17, マルシゲサイクロン,---,鮫島良, 1.6, 18, -31, -12,14,107.8, ⑪⑪,,,,,,,,,,,,,13,14,Ｊオメガスピリット, 72,武豊  , 1.1, 64,   2,   7, 2,  6.7, ④⑤
,,,,,,,,,,,,14, 2, テイエムノゾミ,---,佐久間, 1.9,  5, -22, -23,12, 60.6, ⑧⑧,,,,,,,,,,,,,14, 7,Ｌアンティｰクコイン, 68,福永祐, 1.6, 58,  -7,   9, 5, 10.8, ⑬⑫
,,,,,,,,,,,,15, 1, テイエムジカッド,---,上村洋, 2.0, 14, -34, -14, 5,  9.7, ⑬⑭,,,,,,,,,,,,,15,10,Ｄマヤノガニｰシュ, 76,鮫島良, 2.4, 48,  -2, -11,10, 31.1, ⑦⑩
,,,,,,,,,,,,16, 3, トウリュウガｰル,---,野元昭, 9.4, 9.4---, ---, -65,16,181.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 9, テイエムソイジャガ,---,和田竜,12.2,12.2---, ---, -90,13, 62.0, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
