06年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.1,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃキングエルドラド, 49,北村宏,, 63,*  3,   0, 3, 10.1, ①①, 1,12, オリオンワンサイド,---,後藤浩,, 72,*  2,*  5, 1,  2.2, ①①, 1, 2,Ａピサノデイラニ, 74,北村宏,, 72,*  4,   7, 1,  1.8,①①①, 1, 2,Ａスリｰアベニュｰ, 87,御神本,, 76,   3,* 17, 2,  2.8, ⑫⑫
 2, 5,Ｂシアトルタコマ, 60,後藤浩, 0.1, 65,  -7,*  8, 2,  3.0, ⑥④, 2, 9, ウエストライン,---,内田博, 0.6, 70, -11,* 11, 3,  5.9, ⑦⑤, 2, 7,Ｋアクセルホッパｰ, 53,大庭和, 0.2, 75,  -2,* 15, 7, 40.2,⑫⑩⑥, 2, 4,Ｅナトゥｰア, 80,吉田豊, 0.0, 81,  10,  11,10, 68.0, ④⑤
 3, 3,Ｅシｰキングドｰラ, 45,吉田隼, 0.4, 60,  -8,*  5, 5, 27.6, ⑥⑥, 3, 4, ベルモントエアロ,---,上村洋, 1.7, 47,* -2,  -9, 4,  8.1, ②②, 3,14,Ｈマイネルクルｰガｰ, 61,田中博, 0.4, 67,*  1,   5, 6, 36.9,⑨②③, 3, 5,Ｎウエスタンビｰナス, 64,二本柳, 0.3, 81,* 14,   4,14,236.4, ①①
 4, 4,Ｊモンテグリｰン, 32,大西直, 0.5, 58,* -1,  -1, 4, 25.2, ③②, 4,10, ニシノマンゲキョウ,---,吉田隼, 2.7, 36, -11, -12, 5, 11.2, ⑥⑥, 4, 8,Ｅプロミスフェアｰ, 66,吉田隼, 0.5, 68,*  1,   5, 4, 13.7,④②②, 4,10,Ｈシュウマノチカラ, 75,横山典, 0.5, 70,   1,* 14, 5, 14.2, ⑭⑬
 5, 2,Ａコスモリバイアサン, 61,内田博, 0.6, 59,  -9,*  5, 1,  1.6, ⑧⑧, 5,14, エイブルコスマｰ,---,南田雅, 2.9, 35, -18,  -6, 8, 64.9, ⑧⑧, 5,12,Ｆニシノフジヤマ, 66,勝浦正, 1.2, 64,   0,   2, 8, 44.3,⑧⑦④, 5, 8,Ｄビｰビｰバｰニング, 80,服部剛, 0.7, 72,   7,   6, 8, 34.9, ⑨⑦
 6,13,Ｈセレスクラｰジュ, 36,蛯名正, 1.2, 49,  -3,  -6, 8, 70.0, ④④, 6, 7, コスモエルフ,---,津村明, 3.5, 31,  -9, -21,10, 83.8, ④④, 6,13,Ｄフサイチカムｰン, 67,小野次, 1.4, 62,   1,  -2, 5, 22.1,⑤②④, 6, 9,Ｆアントニオマグナム, 79,内田博, 0.7, 76,* 13,   1, 4,  7.1, ②②
 7,11,Ｄマルタｰズドｰラ, 45,大野拓, 1.8, 42, -15,  -3, 6, 39.7, ⑫⑪, 7, 3, ヒカルラブレタｰ,---,田中勝, 3.6, 28, -23,  -8, 7, 32.3, ⑨⑨, 7,10,Ｂスズノネイビｰ, 72,内田博, 2.1, 58,  -2,  -2, 3,  7.5,⑪⑩⑩, 7,13,Ｊケイエスアイ, 73,大西直, 0.9, 66,   0,  11, 6, 24.0, ⑭⑭
 8, 9,Ｌアジルメンテ, 25,二本柳, 2.1, 39, -11,  -8,11,203.5, ⑨⑨, 8,11, マルタチｰフ,---,田中博, 4.4, 19, -30, -12,14,412.8, ⑫⑪, 8, 9,Ｃクランエンブレム, 71,横山典, 2.8, 52,   0, -12, 2,  2.9,⑤⑦⑥, 8,15,Ｃケｰジｰアジュデ, 81,太宰啓, 0.9, 71,   8,   3, 3,  6.6, ⑦⑧
 9, 8,Ｉマルチヒット, 34,勝浦正, 2.2, 39, -15,  -5,12,212.8, ⑭⑫, 9, 6, ダノンバチアｰ,---,吉田豊, 4.5, -4,*  0, -38, 2,  3.9, ②③, 9, 5,Ｎサラトガ, -6,武士沢, 3.3, 47,*  2, -21,10,181.0,②②⑥, 9, 1,Ｂアドマイヤカリブ, 83,後藤浩, 0.9, 71,   8,   3, 1,  2.8, ⑦⑤
10,10,Ｋハイギアチェンジ, 30,御神本, 2.5, 35, -10, -13, 7, 63.1, ⑨⑩,10, 1, クリｰンレディ,---,五十嵐, 4.6, 20, -30, -12, 9, 78.9, ⑫⑪,10, 4,Ｊオリエンタルカｰン, 53,後藤浩, 4.1, 41,*  2, -28, 9,102.5,②②⑥,10,11,Ｋダイワフォｰチュン, 72,北村宏, 1.1, 70,  11,  -1,12,118.7, ④③
11, 6,Ｇジェイキング, 36,江田照, 2.6, 35,*  1, -24,10, 89.8, ②②,11, 5, タケショウプリンス,---,木幡初, 4.8, 16, -23, -20,11,167.9, ⑨⑨,11,11,Ｉセントラルボｰイ, 55,江田照, 4.2, 41,  -1, -24,11,224.0,⑤⑨⑩,11, 6,Ｌナリタフロンテアｰ, 72,大野拓, 1.2, 71,* 13,  -4,15,262.7, ②③
12,14,Ｎスロｰダンサｰ, 21,武士沢, 2.8, 32, -14, -12,14,382.6, ⑫⑭,12, 2, ロｰレルクロタカ,---,高野和, 5.3,-10, -27, -24,13,209.8, ⑪⑪,12, 1,Ｍエフテｰパンサｰ, 25,中谷雄, 5.0, 36,  -3, -27,13,530.1,⑫⑫⑫,12, 7,Ｉカシマフラワｰ, 74,小野次, 1.8, 58,   3,  -1, 9, 40.6, ⑫⑮
13, 1,Ｆエプソムモルギフ, 43,小林淳, 2.8, 33,  -6, -20, 9, 87.5, ⑤⑥,13,13, アネモス,---,小林淳, 5.7, -6, -35, -18, 6, 14.7, ⑭⑭,13, 6,Ｌミスアモン, 25,御神本, 5.9, 30,  -6, -30,12,279.1,⑩⑬⑬,13,12,Ｍセイウンヒノアラシ, 70,上村洋, 1.8, 61,   7,  -5,13,138.3, ⑨⑧
