06年 4月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1200m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■10R  芝1600m 4歳上1600万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卯月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂブンブンブン, 50,内田博,, 60,*  0,  -2, 3,  6.7, ①①, 1, 9,Ｆアラマサスナイパｰ, 51,四位洋,, 62, -12,* 15, 6, 16.3,③③②, 1,12,Ｂキョウエイシンファ, 66,的場勇,, 69,*  7,  -2, 7,  9.4, ①①, 1, 8,Ｂブラックカフェ, 82,四位洋,, 88,  -3,* 29, 3,  4.9,⑫⑩⑨
 2, 5,Ｄサザンウインド, 45,石神深, 0.2, 56,  -7,   2, 6, 26.7, ⑥⑥, 2,12,Ｈオｰベルステｰジュ, 48,内田博, 0.0, 61, -11,* 13, 5, 10.6,②②②, 2, 1,Ｄシャイニングムｰン, 61,藤田伸, 0.0, 70,   0,*  8, 5,  7.2, ⑨⑥, 2, 7,Ｄムｰンシャイン, 79,内田博, 0.1, 79,*  4,  15, 1,  3.5,③②①
 3, 6,Ａフジマサリｰダｰ, 56,後藤浩, 0.5, 56,*  1,  -7, 1,  1.5, ①①, 3,13,Ｃミヤマリンドウ, 57,柴田善, 0.2, 57, -12,  12, 3,  4.7,⑤③④, 3,10,Ｉコクハク, 59,田中勝, 0.2, 66,  -1,*  7,11, 39.9, ⑨⑧, 3,12,Ｃニシノナｰスコｰル, 81,横山典, 0.5, 75,   1,  16, 2,  3.5,⑨⑦⑧
 4, 8, スタｰラビット,---,横山典, 0.6, 50, -18,*  8, 7, 40.4, ⑨⑧, 4, 6,Ｂスタｰクロス, 60,武豊  , 0.4, 57, -15,* 13, 2,  3.6,⑥⑥⑤, 4,11,Ｋワンモアフリｰト, 58,津村明, 0.2, 66,   3,   1, 9, 33.7, ④③, 4, 4,Ｆシンデレラボｰイ, 78,福永祐, 0.6, 76,   0,  15, 5,  9.9,⑦⑨⑤
 5, 9, ウエｰバｰ,---,福永祐, 1.2, 48,  -1, -12, 4,  8.4, ③③, 5,10,Ｉウエスタンフォルス, 34,郷原洋, 0.6, 53, -15,  10,13,292.7,⑧⑥⑤, 5, 9,Ｊテンカジョウ, 58,柴田善, 0.4, 67,*  9,  -4, 4,  7.0, ①①, 5, 6,Ｋダイタクソニック, 70,中舘英, 0.7, 70,*  4,   6, 7, 18.8,②②①
 6, 4,Ｅメジログレイブス, 39,的場勇, 1.3, 41, -14,  -5, 8, 95.1, ⑦⑦, 6, 2,Ｇハセノテンマ, 50,北村宏, 0.8, 52, -18,  12,10,118.8,⑪⑩⑨, 6,14,Ｅリンクスクイン, 60,中舘英, 0.5, 63,   2,   1, 1,  5.0, ⑥⑦, 6, 1,Ｅトウキュウトップ, 79,武豊  , 0.7, 70,   4,   8, 4,  5.0,③④⑤
 7, 3,Ｆロｰドソニック, 34,岩田康, 1.7, 42,  -2, -16, 2,  6.3, ③③, 7, 8, ミヤビシャナオｰ,---,中舘英, 0.9, 51, -19,  12, 8, 62.9,⑬⑩⑨, 7, 2,Ｏニシノカイシンゲキ, 50,吉田豊, 0.9, 57,  -5,   2,13, 58.5, ⑫⑫, 7,11,Ｊウルヴズグレン, 70,田中勝, 0.8, 73,  -3,  17, 9,108.7,⑩⑩⑨
 8,10,Ｇサツキイｰグル, 27,津村明, 1.8, 38,  -4, -18, 9,110.8, ③⑤, 8, 3,Ｄマイネリｰリオ, 55,津村明, 1.0, 42, -17,   3, 4,  8.7,⑥⑥⑧, 8, 3,Ｈドゥｰウィズウイン, 60,郷原洋, 0.9, 58,  -2,   0,14, 69.2, ⑪⑪, 8, 5,Ｈタイキヘリオス, 75,北村宏, 1.0, 66,   3,   4,11,157.6,③⑥⑤
 9, 1,Ｃユキノスバル, 46,吉田豊, 1.8, 37, -18,  -3, 5, 19.1, ⑨⑩, 9, 1, メジロワグナｰ,---,吉田豊, 1.3, 46, -22,  10,11,152.9,⑬⑬⑪, 9, 5,Ｃセレナダンス, 64,福永祐, 1.1, 56,  -3,   0, 6,  8.0, ⑫⑫, 9, 2,Ａプライマリｰケア, 82,岩田康, 1.0, 66,   1,   8, 8, 23.6,⑦⑦⑨
10, 2,Ｈボストンホｰプ, 10,大庭和, 2.1, 34, -15,  -8,10,469.9, ⑧⑨,10,14,Ａストロングアサクサ, 64,藤田伸, 1.3, 30,*  7, -37, 1,  2.6,①①①,10, 7,Ｌニシノジャンヌ, 56,菊沢隆, 1.3, 53,  -4,  -3,12, 57.9, ⑫⑫,10, 9,Ｇワイルドファイアｰ, 75,後藤浩, 1.8, 53,   3,  -9,10,117.0,⑥④④
,,,,,,,,,,,,11, 5,Ｊリックチョモランマ, 29,福永祐, 1.4, 38, -13,  -5,12,169.4,③③⑤,11, 8,Ｍエプソムヌｰヴェル, 54,小牧太, 1.7, 52,   4, -13,15,145.5, ④③,11, 3,Ｉモアザンベスト, 72,藤田伸, 2.9, 35,*  6, -29, 6, 18.6,①①①
,,,,,,,,,,,,12, 7,Ｅシルクルｰラｰ, 51,的場勇, 1.8, 26, -17, -10, 9,102.6,⑪⑥⑫,12, 6,Ｎジャックヒマワリ, 52,北村宏, 1.7, 47, -13,   3,10, 34.5, ⑮⑮,12,10,Ｌマイネデセｰル, 58,津村明, 3.7, 31, -10, -15,12,213.5,⑪⑫⑫
,,,,,,,,,,,,13, 4, リオニアンレディｰ,---,岩田康, 2.0, 31, -19,  -5, 7, 21.6,⑧⑩⑬,13,13,Ｇユｰワパンドラ, 60,内田博, 1.8, 51,*  6, -16, 2,  5.6, ③③,,,,,,,,,,,,
,,,,,,,,,,,,14,11,Ｋクリノサクラコ, 27,菊沢隆, 2.9, 19, -22, -14,14,562.4,⑧⑬⑭,14,15,Ａグリｰンヒルヒット, 68,武豊  , 1.8, 49,   2, -12, 3,  6.7, ⑥⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｆパメラ, 60,後藤浩, 2.4, 43,   2, -18, 8, 13.0, ⑥⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
"単勝:670円 複勝:07=150円 05=330円 06=100円 枠連:7,800円",,,,,,,,,,,,"単勝:1,630円 複勝:09=400円 12=330円 13=180円 枠連:6,010円",,,,,,,,,,,,"単勝:940円 複勝:12=290円 01=280円 10=910円 枠連:1,400円",,,,,,,,,,,,単勝:490円 複勝:08=150円 07=130円 12=140円 枠連:890円,,,,,,,,,,,
"馬連:8,460円 ワイド:05-07=1,170円 06-07=180円 05-06=470円",,,,,,,,,,,,"馬連:6,250円 ワイド:09-12=1,700円 09-13=870円 12-13=810円",,,,,,,,,,,,"馬連:2,930円 ワイド:01-12=1,160円 10-12=4,450円 01-10=3,990円",,,,,,,,,,,,馬連:920円 ワイド:07-08=290円 08-12=310円 07-12=260円,,,,,,,,,,,
"馬単:15,630円 3連複:2,030円",,,,,,,,,,,,"馬単:13,140円 3連複:8,640円",,,,,,,,,,,,"馬単:6,730円 3連複:41,200円",,,,,,,,,,,,"馬単:2,120円 3連複:900円 3連単:6,170円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■ 5R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,,■ 8R  芝1800m 3 歳ｵｰﾌﾟﾝ 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.7,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾞﾝｼﾞｬﾐﾝｽﾃｰｸｽ,,,,,,,,,,,,皐月賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａショウナンバラｰド, 50,吉田豊,, 56,  -6,*  0, 1,  1.6,⑥⑤③, 1,15,Ｆハンナフレグランス, 56,安藤勝,, 73,*  7,*  3, 3, 12.2, ①①, 1, 6,Ａパッシングマｰク, 64,武豊  ,, 76, -18,* 24, 1,  1.9,③③①, 1, 5,Ｄメイショウサムソン, 83,石橋守,, 97,* 14,  22, 6, 14.5,⑤④③
 2, 9,Ｃクｰルダンサｰ, 48,内田博, 0.4, 52,* -3,  -8, 3,  7.0,②①①, 2, 2,Ｄチェルケッティ, 57,福永祐, 0.2, 70,   4,*  4, 4, 14.2, ③②, 2, 2,Ｂサイバｰキングダム, 62,内田博, 0.0, 63,*-16,  20, 2,  2.5,②②①, 2, 2,Ｇドリｰムパスポｰト, 80,高田潤, 0.1, 96,  12,* 27,10, 34.3,⑧⑥⑨
