06年 3月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.7,,,,,■10R  芝1200m 4歳上1600万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心斎橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｍキアヌバロｰズ, 25,岩田康,, 58, -13,*  8, 6, 33.6,⑤⑤⑤, 1, 7, ウインタクティクス,,中村将,,,,, 4,  6.9,②①①, 1,10,Ａアドマイヤメイン, 74,武豊  ,, 97,* 22,*  3, 1,  1.6,①①①, 1, 5,Ａシンボリエスケｰプ, 85,蛯名正,, 90,  -3,* 26, 1,  1.8, ⑧⑤
 2,14,Ｊギャラクシｰキッド, 43,高山太, 0.1, 53,*-11,   4,12,172.2,②①②, 2, 3, バンジョｰブルｰ,,植野貴, 0.3,,,, 5, 13.9,⑥⑥⑤, 2, 7,Ｂアペリティフ, 74,岩田康, 1.5, 81,  13,*  0, 2,  3.1,②②②, 2, 3,Ｇリボンアｰト, 79,川原正, 0.1, 88,  -8,* 30, 2,  5.3, ⑩⑨
 3,13,Ａルルドウォｰタｰ, 55,藤田伸, 0.4, 48,*-11,   0, 4,  9.9,①①①, 3, 2, テイエムサムライ,,出津孝, 0.9,,,, 2,  3.2,④④④, 3, 4,Ｄマイネルオレア, 67,川島信, 2.7, 69,   8,  -6, 4,  9.5,⑥⑥⑥, 3, 8,Ｉフラワリングバンク, 78,幸英明, 0.2, 83,*  6,  15, 7, 16.7, ②②
 4, 9,Ｎニットウサラン, 22,佐久間, 0.5, 57, -16,*  9,10, 98.6,⑬⑪⑦, 4, 6, ラブアフェアｰ,,高田潤, 0.9,,,, 6, 24.1,⑧⑤⑤, 4, 9,Ｃベルジュｰル, 73,藤田伸, 2.8, 68,  12, -15, 3,  8.7,⑤⑤③, 4, 4,Ｃクリノワｰルド, 82,上村洋, 0.3, 81,*  4,  14, 3,  7.6, ④③
 5, 7,Ｅデンコウミサイル, 47,安部幸, 0.7, 47, -13,   2, 5, 23.6,⑤⑤⑥, 5,10, ブレｰブティック,,江田勇, 1.2,,,, 7, 26.8,②③③, 5, 2,Ｉラッセルバロｰズ, 47,幸英明, 2.9, 67,  13, -19, 6, 33.6,④④③, 5,13,Ｂホｰマンアピｰル, 85,岩田康, 0.4, 81, -10,* 26, 5, 14.0, ⑩⑬
 6, 6,Ｃナリタベガ, 51,安藤勝, 0.7, 46,*-12,   0, 2,  2.8,③③④, 6, 4, サフランブリザｰド,,金折知, 1.4,,,, 1,  2.7,①①①, 6, 3,Ｇウエスタンホｰク, 57,川田将, 3.5, 59,   7, -17, 5, 32.8,⑧⑦⑥, 6,11,Ｋチアフルワｰルド, 75,武豊  , 0.7, 76,  -3,  16, 4, 12.6, ⑦⑤
 7, 2,Ｆゼンノコルモ, 46,千田輝, 1.2, 44, -14,   0, 3,  4.9,⑨⑨⑦, 7, 5, マルブツトルネｰド,,今村康, 1.6,,,, 8, 49.7,⑩⑧⑦, 7, 8,Ｆカルストンペｰスオ, 59,川原正, 3.6, 60,   5, -12, 8,213.8,⑦⑧⑧, 7,10,Ｅサンデｰサンライズ, 81,藤岡佑, 0.7, 74,   3,  10, 8, 21.8, ③④
 8,11,Ｂスズカダｰク, 52,武豊  , 1.4, 40, -12,  -6, 1,  2.4,④③③, 8,14, フジヤマヘイザン,,白浜雄, 2.6,,,,10, 73.1,⑪⑨⑧, 8, 6,Ｊインパクトワン, 46,安部幸, 5.1, 44,   0, -21, 9,348.3,⑨⑨⑨, 8, 6,Ｄナムラジｰガｰ, 81,小坂忠, 0.8, 72,   0,  11,14,481.2, ⑥⑤
