06年 8月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8.5,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａナムラコネリｰ, 63,川原正,, 54,* -9,*  2, 1,  2.4, ①①, 1,11, タキオンプリンセス,---,小牧太,, 50, -30,* 15, 2,  4.9,③③②, 1, 8,Ｅニホンピロザプラウ, 59,北村浩,, 70,  -2,* 12,10, 57.9,⑥⑤④, 1, 5,Ｆツルマルヨカニセ, 77,小牧太,, 72,*-11,  24, 3,  5.8,①①①
 2, 6,Ｃマヤノラヴィｰナ, 49,太宰啓, 0.2, 53,* -9,   2, 2,  2.9, ②②, 2, 1, ヴィヴァルディ,---,池添謙, 0.2, 37,*-30,*  9, 1,  1.8,②①①, 2, 9,Ｇインタｰメルボルン, 59,池添謙, 0.0, 68,  -1,* 10, 2,  3.8,④③②, 2, 1,Ｃアルビレオ, 85,和田竜, 0.1, 82, -15,* 30, 4,  6.3,⑥⑥⑤
 3, 4,Ｂラインストｰム, 52,福永祐, 0.3, 50, -14,*  2, 3,  4.5, ③③, 3, 3, マイネルキｰロフ,---,鮫島良, 0.8, 24, -33,   4, 3,  5.6,⑤④④, 3, 1,Ｂマｰスエンペラｰ, 64,藤岡佑, 0.0, 65,* -1,   7, 1,  2.5,②②①, 3, 7,Ａブラックタイド, 86,藤岡佑, 0.2, 70,*-13,  24, 1,  2.3,④③③
 4, 2,Ｅマルブツセンタｰ, 39,小牧太, 0.5, 45, -14,  -1, 4, 12.5, ③③, 4, 2, ディジュリドゥｰ,---,中村将, 1.1, 15, -34,  -1, 9, 46.0,⑦④⑥, 4,13,Ｈオルクリスト, 57,上村洋, 0.3, 58,*  0,   1, 4,  7.0,①①②, 4, 4,Ｄシルクネクサス, 85,幸英明, 0.2, 71, -14,  25, 2,  2.9,④③③
 5, 3,Ｆシンワヘイロｰ, 35,熊沢重, 0.8, 39, -17,  -3, 6, 22.8, ⑥⑤, 5, 8, クロｰザｰ,---,川原正, 1.3, 15, -34,   0, 6, 22.9,⑩⑧⑥, 5, 7,Ｄランドフラッグ, 60,高橋亮, 0.4, 61,  -2,   6, 5, 13.0,⑦⑤④, 5, 6,Ｅダイタクアルビン, 78,石橋守, 0.3, 60,*-13,  20, 5, 11.7,②②②
 6, 1,Ｉスｰパｰヴァイザｰ,-10,藤岡佑, 0.9, 36, -14,  -7, 5, 14.3, ③⑤, 6,10, オｰスミエトワｰル,---,熊沢重, 1.3, 15, -33,  -3, 7, 29.7,⑤④④, 6,11,Ｆトｰホウセントレア, 59,幸英明, 0.6, 56,  -5,   3, 3,  5.5,⑨⑧⑥, 6, 3,Ｈレッドペガサス, 66,田中学, 0.8, 67, -19,  25, 7, 55.7,⑦⑦⑦
 7, 7,Ｈロｰランドナルド, 23,田中学, 1.6, 28, -17, -15, 8, 60.9, ⑥⑦, 7, 6, セレスディｰン,---,幸英明, 1.6, 13, -34,  -4, 5, 21.6,⑨⑧⑥, 7, 4,Ａカルストンペｰスオ, 69,川原正, 0.6, 59,  -6,*  6, 7, 19.5,⑩⑩⑧, 7, 2,Ｇスパルタクス, 71,上村洋, 1.0, 46,*-14,  11, 6, 25.4,③③⑤
 8, 5,Ｄカネコメハｰシル, 39,野元昭, 1.6, 30, -18, -12,10,141.7, ⑧⑨, 8, 7, リバｰトｰマス,---,北村友, 2.0,-14, -35, -13,11,166.7,③⑦⑨, 8, 3,Ｃツルミベレイザ, 61,和田竜, 0.8, 61,  -4,   7, 8, 36.3,⑩⑩⑨,,,,,,,,,,,,
 9,10,Ｇダブルダンスシチｰ, 34,中村将, 1.8, 23, -25, -13, 7, 28.0, ⑩⑩, 9, 5, タカラジャイアンツ,---,和田竜, 2.1,-28,*-30, -20,10, 70.9,①②③, 9, 2,Ｊホワイトドラゴン, 55,赤木高, 1.2, 57,  -5,   6,11, 93.8,⑫⑫⑫,,,,,,,,,,,,
10, 9,Ｊジョｰザッツライフ,-67,鮫島良, 1.8, 25, -19, -17, 9, 71.3, ⑧⑧,10, 9, マルブツタキオン,---,川田将, 2.3,-14, -36, -12, 4,  8.3,⑩⑪⑩,10,10,Ｍアスカノエナリｰ, 52,川田将, 1.2, 50,* -1, -10, 6, 18.3,③③⑥,,,,,,,,,,,,
,,,,,,,,,,,,11, 4, シゲルサラマッポ,---,赤木高, 3.5,-67, -34, -33, 8, 41.1,⑦⑧⑪,11,12,Ｌヒミノハｰド, 53,上野翔, 1.7, 43,  -5, -12,12,107.3,⑦⑧⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｉパワｰホｰル, 57,金折知, 2.2, 49,  -2, -20, 9, 53.4,④⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｋディクタトル, 54,中村将, 3.2, 38, -15,   0,13,129.8,⑫⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
