06年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾌﾗﾝ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａホットマニュｰバｰ, 57,松岡正,, 70,* -3,* 10, 1,  1.9, ④④, 1, 8, マイディアサン,---,蛯名正,, 45, -22,   8, 1,  2.7, ③③, 1,16,Ｃキングルｰキｰ, 71,田中勝,, 67,* -3,  13, 2,  5.4, ③③, 1,16,Ｎホットファッション, 49,中舘英,, 61, -14,  16,10, 35.8, ⑦⑦
 2, 4,Ｅニシノテンカ, 44,後藤浩, 0.7, 62,  -6,   7, 2,  5.1, ⑦⑥, 2, 6, トｰセンファング,---,二本柳, 0.2, 44, -26,* 10, 8, 31.1, ⑦⑤, 2,11,Ｈダイワブレｰド, 66,後藤浩, 0.0, 80,  -9,* 25, 3,  6.1, ⑮⑭, 2, 5,Ｆサンタフェソレイユ, 60,横山典, 0.1, 68, -20,* 22, 2,  4.4, ⑯⑪
 3, 9,Ｂトｰセンセイント, 55,勝浦正, 1.3, 51,* -1,  -4, 6, 17.2, ③②, 3, 3, マルタカエンペラｰ,---,柴田善, 0.2, 39,*-21,   3, 4,  7.2, ①①, 3,18,Ｎラムグレス, 59,北村宏, 0.0, 79,  -9,* 24,10, 54.8, ⑯⑭, 3,12,Ｉシャルロットノアル, 57,吉田豊, 0.2, 60, -18,* 17, 1,  3.2, ⑧⑩
 4, 8,Ｆアタゴコマンダｰ, 44,村田一, 1.3, 59, -13,* 10, 5, 14.6, ⑭⑪, 4,11, サンワｰドブル,---,吉田隼, 0.3, 43, -29,* 10, 5,  9.4, ⑨⑨, 4,10,Ｇウエスタンクィｰン, 67,的場勇, 0.1, 72, -10,* 20, 6, 11.6, ⑪⑫, 4,14,Ｄミルクトｰレル, 64,松岡正, 0.2, 58, -16,  16, 8, 23.5, ⑧⑧
 5,16,Ｏヒシポラリス, -3,北村宏, 1.9, 51, -15,   6, 9, 64.8, ⑫⑭, 5,10, キングオｰサム,---,伊藤直, 0.3, 40, -24,   7,10, 46.3, ④⑤, 5,15,Ａドクタｰグリム, 75,柴田善, 0.2, 66,  -4,  14, 1,  3.0, ⑥⑤, 5, 4,Ｂマルタｰズクラシカ, 69,後藤浩, 0.4, 50, -13,   8, 3,  5.3, ⑤④
 6, 1,Ｃケイアイスキャット, 47,蛯名正, 1.9, 46,* -1, -11, 4,  8.2, ①①, 6, 9, テンジンニチオｰ,---,松岡正, 0.6, 39, -30,* 10, 3,  5.2, ⑩⑩, 6, 7,Ｆシｰユｰサンデｰ, 68,吉田隼, 0.3, 62,  -5,  11, 5,  9.6, ⑤⑤, 6, 1,Ｌヴィヴァチッシモ, 55,北村宏, 0.4, 56, -19,  16,14, 45.2, ⑪⑪
 7, 3,Ｌエスデイブレイク, 27,高山太, 2.0, 50, -15,   6,16,355.7, ⑯⑭, 7, 2, カシマゼロワン,---,中舘英, 0.7, 31, -23,  -1, 7, 19.7, ⑥④, 7,14,Ｉマジカルスタｰ, 65,柴山雄, 0.5, 61,  -5,   9,11, 57.3, ⑪⑤, 7,15,Ｃノボスイｰツ, 67,柴田善, 0.4, 49,*-11,   5, 9, 34.3, ②②
 8, 7,Ｇショウナンライジン, 36,吉田豊, 2.2, 44,  -5,  -9, 7, 21.8, ⑤⑤, 8, 1, ホワイトリｰベ,---,吉田豊, 0.8, 29, -27,   1, 2,  4.4, ⑧⑧, 8, 6,Ｊメアリｰステラ, 64,松岡正, 0.6, 59,  -6,  10,13, 58.2, ⑧⑧, 8,11, プレミアノアｰル,---,小林俊, 0.6, 52, -20,  14, 7, 18.8, ⑪⑪
 9,14,Ｍケイコバラカ, 27,柴山雄, 2.5, 40, -11,  -6,13,218.7, ⑩⑧, 9, 5, カッタｰレ,---,田中勝, 1.1, 27, -24,  -6,11, 47.8, ④⑤, 9,13,Ｋタイキクラリティ, 64,嘉藤貴, 0.7, 54,* -2,   1,14, 63.8, ②②, 9, 7,Ｈトｰセンラピュタ, 58,イネス, 0.6, 50, -19,  13, 5, 12.1, ⑪⑪
10,15,Ｉユウタｰビスケット, 35,南田雅, 2.8, 39, -12,  -5,11,126.0, ⑩⑪,10, 7, コアレスタイガｰ,---,後藤浩, 1.3, 24, -32,   2, 9, 35.0, ⑪⑪,10, 2,Ｂマイネルスカット, 72,石橋脩, 0.7, 54,* -3,   3, 7, 13.1, ③③,10, 3,Ｍディｰズメンフィス, 54,勝浦正, 0.6, 53, -21,  16, 6, 17.6, ⑭⑮
11,13,Ｈラビットジｰズニ, 35,田中勝, 3.0, 37, -13,  -8, 8, 36.8, ⑫⑪,11, 4, スルファｰ,---,横山典, 1.6,  6,*-21, -18, 6, 15.3, ②②,11,17,Ｅライフゴｰズオン, 69,田辺裕, 0.9, 54,  -7,   7,12, 58.0, ⑥⑩,11, 9,Ｏヴィンテｰジライン, 36,蛯名正, 0.7, 45,*-12,   2,13, 43.9, ⑤④
12, 5,Ｎアイティメルヘン, 25,小島太, 3.2, 33, -21,  -2,14,248.0, ⑮⑯,,,,,,,,,,,,,12, 5,Ｐラスティングピｰス, 57,蛯名正, 0.9, 53,  -5,   5, 8, 22.7, ⑧⑧,12,13,Ｅアポロティアラ, 61,吉田隼, 0.8, 44,*-11,  -1,12, 39.4, ②②
13,12,Ｊゴｰルドリｰヴァ, 34,田中博, 3.3, 35, -12, -14,15,303.7, ⑨⑩,,,,,,,,,,,,,13, 3,Ｌシルクアヴァロン, 63,横山典, 1.1, 51,  -8,   6, 4,  9.2, ⑪⑫,13, 2,Ｊモデスティｰ, 57,木幡初, 0.9, 43, -16,   5,16,145.0, ⑧⑧
14,11,Ｄマルタｰズドｰラ, 46,柴田善, 3.4, 37, -10, -16, 3,  7.0, ⑥⑧,,,,,,,,,,,,,14, 4,Ｄビュレットライナｰ, 69,大野拓, 1.3, 50,* -2, -11, 9, 27.3, ①①,14, 8,Ａシャルマンレｰヌ, 71,柴山雄, 0.9, 43,*-12,  -1, 4,  8.2, ④④
