06年12月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄナンヨｰウエスト, 49,柴田善,, 57,  -1,* -1, 4, 14.6, ⑤②, 1,11, ラスカｰラ,---,五十嵐,, 38,* -9, -12,16,179.0,①②②, 1, 5,Ｋタｰキｰ, 71,吉田豊,, 78,  -5,* 25, 2,  4.6,⑧⑥⑥, 1, 6,Ｂプリュネル, 76,岩田康,, 79,* 11,   9, 1,  3.7, ①①
 2,12,Ｃアルコイリス, 50,安藤勝, 0.5, 54,   1,  -8, 2,  4.3, ③②, 2,17, キングオブチャド,---,安藤勝, 0.0, 48, -15,*  2, 5,  9.6,⑬⑪⑩, 2, 7,Ｆエプソムアルテマ, 75,蛯名正, 0.1, 70,  -4,  20, 8, 30.3,⑤④③, 2, 2,Ｄウォｰタｰオｰレ, 73,安藤勝, 0.0, 83,   3,* 16, 4,  7.2, ⑥④
 3, 3,Ｊファディスタ, 36,武豊  , 0.6, 50,  -2,* -6, 3,  6.7, ⑧⑦, 3, 1, チェルシｰザベスト,---,蛯名正, 0.1, 43, -13,  -3, 7, 15.1,⑧⑧⑪, 3, 9,Ｄマイネルファｰマ, 77,池添謙, 0.2, 63,  -3,  14, 7, 26.9,②②②, 3,11,Ａエイシンイｰデン, 78,ペリエ, 0.2, 79,   6,  12, 2,  3.7, ⑤⑥
 4, 1,Ｂエイワンキセキ, 51,横山典, 0.9, 46,  -5,* -6, 1,  1.9, ⑪⑪, 4,12, サラトガティプトン,---,柴田善, 0.2, 36,*-10, -12, 2,  4.6,④③③, 4,13,Ｂピサノパテック, 78,岩田康, 0.2, 69,  -2,  19, 1,  2.4,③③③, 4, 1,Ｉイチライタッチ, 69,吉永護, 0.3, 76,*  9,   8,11, 51.7, ③③
 5,15,Ｇピンククラウド, 42,岩田康, 1.0, 48,   0, -12, 5, 14.8, ⑤②, 5,13, ロックザキャスバ,---,横山典, 0.3, 53, -19,*  6, 3,  4.8,⑮⑯⑯, 5,14,Ｅアドマイヤセナ, 77,武豊  , 0.2, 73,  -4,  23, 3,  5.7,⑨⑥⑦, 5, 3,Ｋベルモントサンダｰ, 67,内田博, 0.4, 78,   1,* 14, 7, 16.6, ⑩⑦
 6, 4,Ｅマジックカイマナ, 48,蛯名正, 1.2, 44,  -3, -11, 7, 20.7, ⑨⑦, 6, 9, ジョイザラス,---,内田博, 0.4, 48, -18,*  3,10, 30.4,⑯⑮⑬, 6, 1,Ａオルドリｰバ, 83,安藤勝, 0.4, 79,  -7,* 27, 4,  8.1,⑪⑭⑫, 6,14,Ｇリトルスポｰツカｰ, 72,小野次, 0.6, 70,* 11,   4, 6, 16.1, ②②
 7,11,Ｏシャドウブｰケ, 24,田中勝, 1.2, 43,  -6,  -8, 8, 45.6, ⑬⑪, 7, 4, クロフネマンボ,---,小林淳, 0.5, 34,*-10, -17, 9, 30.3,③③③, 7, 6,Ｃドクタｰグリム, 78,柴田善, 0.5, 68,  -6,  20, 5, 14.5,⑩⑨⑧, 7,13,Ｅゼンノスカイブルｰ, 73,吉田豊, 0.7, 72,   2,  10, 8, 18.3, ⑧⑧
 8,13,Ａアラバマ, 57,池添謙, 1.2, 50,*  5, -18, 6, 17.1, ①①, 8,18, プラチナブラック,---,ペリエ, 0.5, 34, -13, -11, 8, 27.9,⑧⑧⑥, 8,10,Ｈドラマチックテナｰ, 74,横山典, 0.6, 60,  -6,  15,10, 33.8,④⑥⑧, 8, 5,Ｏマリットチャｰジ, 64,郷原洋, 0.7, 74,   0,  12,15,142.1, ⑫⑪
 9, 8,Ｐロｰリエカルラ, 22,勝浦正, 2.2, 34,  -5, -19,12,212.6, ⑪⑬, 9,15, ブリリアントタイム,---,武豊  , 0.6, 33, -12, -15, 4,  9.3,⑤⑤③, 9,11,Ｉリワｰドプレイン, 73,勝浦正, 0.6, 63,  -7,  18, 6, 19.5,⑪⑨⑩, 9,15,Ｍセイウンマル, 66,高山太, 0.7, 75,  -2,* 14,10, 40.6, ⑬⑮
10, 9,Ｈクリオ, 40,内田博, 2.4, 35,   1, -27,11, 90.6, ③⑥,10, 2, オｰランボｰ,---,小野次, 0.7, 32, -12, -15,13, 73.6,⑤⑥⑥,10, 8,Ｌヤクモアクティヴ, 70,内田博, 0.8, 54,  -5,   9, 9, 30.5,⑥④⑤,10,12,Ｈブルｰチェイサｰ, 70,武士沢, 0.8, 71,   2,   9,14,119.9, ⑧⑧
11,16,Ｋコスモエンドレス, 31,吉田豊, 2.4, 32,  -4, -22,14,376.0, ⑨⑨,11, 5, エルソルダｰド,---,池添謙, 0.8, 32, -15,  -9, 6, 12.7,⑫⑬⑬,11,12,Ｏキタグニジョｰ, 68,小林淳, 0.9, 45,*  4, -23,14, 96.3,①①①,11, 8,Ｃアｰマメント, 75,蛯名正, 0.8, 69,   8,   5, 3,  7.2, ④④
12,14,Ｍクｰルロｰレライ, 27,田面木, 2.4, 32,  -7, -19,15,411.2, ⑮⑯,11, 8, セイウンドラゴン,---,吉田豊, 0.8, 32, -12, -17,12, 63.5,⑤⑥⑥,12, 4,Ｎグランドホイッスル, 69,田面木, 1.1, 52,  -7,  10,15,150.2,⑦⑨⑩,12, 4,Ｎカマｰバンド, 64,木幡初, 0.9, 74,  -6,* 16, 9, 23.8, ⑯⑮
13, 2,Ｎジングルベル, 26,加藤士, 2.6, 31,  -9, -19, 9, 50.5, ⑯⑬,13,16, アイアムポセイドン,---,岩田康, 0.8, 32, -13, -15, 1,  3.5,⑩⑧⑥,13, 2,Ｍハイエンドクォｰツ, 69,石橋守, 1.3, 50,  -6,   8,13, 72.4,⑬⑨⑫,13,16,Ｌセイウンワキタツ, 66,武幸四, 1.0, 68,   1,   8, 5,  7.6, ⑩⑫
14, 5,Ｆエアロバティックス, 43,村田一, 2.9, 28,  -1, -30,13,290.4, ⑤⑨,14, 3, フレンドリｰエム,---,石橋守, 0.9, 31, -15, -12,15,107.1,⑬⑪⑪,14,15,Ｇマイネルスパｰクル, 75,小野次, 1.4, 60, -10,  18,11, 55.9,⑮⑮⑭,14, 7,Ｊウォｰタｰバロン, 69,石橋守, 1.3, 66,  -4,  10,12, 67.1, ⑮⑭
15, 6,Ｌベルモントパンドラ, 29,小林淳, 3.0, 26,  -6, -26,16,490.3, ⑬⑬,15, 7, ハイポジション,---,木幡初, 1.4, 28, -15, -18,17,180.3,⑩⑬⑬,15, 3,Ｊサウザンブライト, 71,木幡初, 2.1, 49,  -6,  -4,12, 65.5,⑬⑨⑮,15, 9,Ｐタイセイドラゴン, 59,五十嵐, 1.4, 64,  -2,   7,16,156.6, ⑬⑫
16, 7,Ｉカネスマリリン, 38,木幡初, 3.7, 26,*  5, -42,10, 50.6, ②②,16, 6, ラｰドロプライマｰ,---,勝浦正, 1.6, 25, -20, -11,14, 88.1,⑯⑰⑰,,,,,,,,,,,,,16,10,Ｆグラシアスワン, 72,勝浦正, 1.7, 58,   3,   0,13, 68.9, ⑥⑧
,,,,,,,,,,,,17,10, ハツカリ,---,村田一, 2.6,-54,* -8, -53,11, 45.3,②①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,14, マリｰンチャチャ,---,武幸四, 5.2,-75, -26, -52,18,189.1,⑱⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,460円 複勝:10=440円 12=160円 03=270円 枠連:3,030円",,,,,,,,,,,,"単勝:17,900円 複勝:11=3,200円 17=390円 01=520円 枠連:630円",,,,,,,,,,,,"単勝:460円 複勝:05=230円 07=910円 09=730円 枠連:2,890円",,,,,,,,,,,,単勝:370円 複勝:06=150円 02=170円 11=160円 枠連:950円,,,,,,,,,,,
"馬連:4,420円 ワイド:10-12=1,140円 03-10=1,860円 03-12=650円",,,,,,,,,,,,"馬連:56,760円 ワイド:11-17=18,950円 01-11=13,560円 01-17=2,840円",,,,,,,,,,,,"馬連:7,060円 ワイド:05-07=2,540円 05-09=2,190円 07-09=5,480円",,,,,,,,,,,,"馬連:1,090円 ワイド:02-06=420円 06-11=290円 02-11=400円",,,,,,,,,,,
"馬単:11,770円 3連複:9,870円",,,,,,,,,,,,"馬単:146,540円 3連複:247,350円",,,,,,,,,,,,"馬単:12,770円 3連複:51,060円 3連単:225,040円",,,,,,,,,,,,"馬単:2,010円 3連複:1,240円 3連単:5,610円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7.9,,,,,■ 5R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■ 8R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱｳｪﾙS,,,,,,,,,,,,,,,,,,,,,,
