06年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万(牝) 別定,,,,,,,,,,,,■10R  ダ1400m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,節分賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｌアドマイヤマントル, 32,村田  ,, 59,*  0,* -4, 9, 25.0,①①①, 1, 9,Ｆダンシングボｰイ, 48,石橋脩,, 55,*-13,*  7, 4,  8.2,②②②, 1, 5,Ａコパノニキｰタ, 70,吉田豊,, 69,   1,*  7, 1,  2.1,⑬⑫⑩, 1, 2,Ａチョウカイロイヤル, 79,柴田善,, 85,*  7,  17, 1,  2.4,②③③
 2,15,Ｂステラディクオｰレ, 50,柴山  , 0.1, 58,*  0,* -4, 7, 15.8,②②②, 2, 8,Ｄヤマニンイグナイト, 52,藤田  , 0.1, 50,*-11,   3, 3,  6.8,①①①, 2,16,Ｃニュｰグランジ, 64,柴田善, 0.6, 64,   3,*  0, 4,  9.4,⑪⑧⑧, 2,12,Ｄベルｰガ, 75,松岡  , 0.5, 80,  -3,* 26, 7, 13.4,⑮⑮⑮
 3, 5,Ｆウイニングヒット, 42,北村宏, 0.4, 55,  -2,  -5, 4,  7.1,③③③, 3,12,Ｈテンエイミュｰズ, 43,小林淳, 0.3, 56, -17,* 11, 5, 10.6,③⑤⑥, 3, 6,Ｆコスモキャンディス, 63,小野  , 0.8, 63,*  8, -10, 2,  5.4,④②②, 3, 6,Ｆマコトスペリオル, 72,柴山  , 0.8, 79,   6,  12, 2,  5.1,④④⑥
 4, 3,Ｄサンパレス, 46,松岡  , 0.8, 49, -12,*  2, 6,  9.4,⑯⑯⑮, 4, 5,Ｂビｰビｰイリュｰム, 53,バルジ, 0.3, 50,*-14,   5, 1,  2.7,③③③, 4,12,Ｂランプランサス, 68,石橋脩, 0.8, 61,*  6, -10, 5, 10.0,②③③, 4, 9,Ｃゲイリｰリボルバｰ, 76,木幡  , 0.8, 78,   1,  17, 4,  7.7,⑪⑪⑪
 5, 2,Ｃアルゲニブ, 48,後藤浩, 1.0, 51,  -3,  -9, 3,  6.5,⑩⑨⑥, 5, 6,Ａパリサンジェルマン, 57,菊沢徳, 0.4, 48,*-14,   5, 2,  3.8,③③③, 5, 4,Ｇシャイニンブルｰ, 63,後藤浩, 1.1, 59,   4,  -8, 7, 26.0,⑧⑥⑥, 5, 1,Ｈワイルドソニック, 71,後藤浩, 1.1, 76,*  9,   5, 6, 12.8,①①①
 6, 1,Ａロｰレルハンバｰバ, 54,バルジ, 1.6, 44,  -4, -14, 2,  5.1,⑤⑦⑥, 6,15,Ｍマイネオｰドリｰ, 18,小野  , 0.6, 48, -17,   6,12, 79.1,⑨⑦⑥, 6, 3,Ｋガイヤｰル, 52,左海  , 1.2, 58,   2,  -6,12,117.8,⑨⑪⑩, 6,13,Ｏトウショウヴォイス, 59,左海  , 1.2, 75,   0,  16,13,361.2,⑭⑭⑭
 7, 9,Ｉケイアイボサツ, 36,内田博, 1.7, 44,  -2, -18, 1,  2.8,⑤③③, 7,13,Ｅコアレスビジョン, 52,松岡  , 0.7, 48, -20,*  7, 7, 16.2,⑦⑦⑧, 7,11,Ｈリスティアエナｰ, 61,藤田  , 1.3, 57,*  6, -13, 6, 10.5,⑥④④, 7, 7,Ｊタケショウヤマト, 70,江田照, 1.2, 76,   7,   7, 9, 49.1,④④④
 8,13,Ｅトレンドシチｰ, 45,木幡  , 2.0, 40,  -6, -15,10, 92.8,⑩⑩⑩, 8, 7,Ｌスカイブルｰ, 31,穂苅  , 0.9, 40, -15,  -1,10, 46.5,③⑤⑤, 8,13,Ｄトウカイルックス, 64,村田  , 1.3, 58,   3,  -8, 8, 34.5,⑨⑩⑧, 8,15,Ｌマイネルクオリティ, 62,梶    , 1.4, 73,   3,   9,15,443.1,⑧⑨⑨
 9, 4,Ｈセｰゴｰルド, 37,大野  , 2.7, 31, -10, -20,15,499.8,⑩⑬⑫, 9,11,Ｇロｰレルナイト, 46,柴田善, 1.1, 46, -23,*  8, 6, 14.3,⑬⑬⑨, 9, 9,Ｐマルタカデビュｰ, 39,大野  , 1.7, 53,  -2,  -7,16,339.9,⑮⑮⑬, 9,10,Ｐゲイルタッチ, 59,小野  , 1.5, 74,   1,  12,12, 91.7,⑫⑬⑪
10,14,Ｏマックスバニヤン, 14,江田照, 2.9, 31,  -5, -25,12,160.3,⑩⑦⑨,10, 3,Ｋカシマウェイヴ, 34,勝浦  , 1.3, 41, -24,   6, 9, 35.1,⑨⑩⑫,10,15,Ｅレディクロｰリス, 64,北村宏, 2.1, 51,   3, -17, 3,  7.1,⑥⑥⑦,10, 3,Ｇナチュラルリｰダｰ, 72,勝浦  , 1.5, 72,   6,   4, 3,  7.5,⑥⑥④
11, 8,Ｍゴｰルデンミシエロ, 30,丹内  , 2.9, 31,  -3, -30, 8, 19.8,④③③,11,10,Ｊロｰテロｰゼ, 34,柴山  , 1.5, 40, -25,   6,11, 63.9,⑭⑭⑬,11,14,Ｌグラスジャスミン, 51,武士沢, 2.6, 49,   0, -15,14,221.5,⑮⑮⑬,11, 5,Ｉダイヤモンドスタｰ, 71,バルジ, 1.6, 71,   3,   7,11, 69.6,⑩⑨⑨
12, 6,Ｊアルプスアザミ, 34,郷原  , 2.9, 32,  -6, -23,14,360.1,⑤⑩⑩,12,16,Ｃバッドフォｰチュン, 53,吉田隼, 1.7, 27, -24,  -5, 8, 31.8,⑨⑩⑨,12, 8,Ｎバリュアットリスク, 49,バルジ, 2.8, 46,   1, -19, 9, 59.5,⑭⑫⑫,12, 4,Ｍダンシングホｰク, 60,池田  , 1.7, 70,   4,   4,14,438.9,⑧⑦⑦
13,10,Ｇソレックス, 40,藤田  , 3.0, 29, -15, -14, 5,  9.2,⑩⑮⑯,13, 1,Ｎミスティルテイン, 16,江田照, 1.9, 30, -25,   0,15,276.0,⑮⑭⑬,13,10,Ｉウッドリリｰ, 53,松岡  , 2.8, 44,*  7, -30,13,129.4,①①①,13,11,Ｋウセル, 65,石橋脩, 2.3, 64,  -6,  12, 8, 26.7,⑯⑮⑯
14,11,Ｎグレｰスアロｰ, 16,勝浦  , 3.2, 30,  -9, -23,16,517.5,⑮⑭⑫,14, 2,Ｉステルスグリｰン, 36,木幡  , 3.2,  7, -26, -18,14,267.2,⑧⑩⑬,14, 1,Ｊマイハマムスメ, 52,横山義, 4.1, 34,  -3, -24,15,242.9,⑫⑭⑯,14,14,Ｎロックバルスカ, 60,菊沢徳, 2.3, 65,   4,  -1,16,450.8,⑦⑦⑦
15, 7,Ｋニチリンタロｰ, 33,菊沢徳, 5.3, 10,  -8, -45,11,130.2,⑤⑩⑫,15, 4,Ｐユキノシラユキ,  6,丹内  , 3.9, -8, -24, -37,13,203.4,⑨⑨⑨,15, 2,Ｍヴァインドレッサｰ, 50,江田照, 4.2, 31,  -2, -27,11,107.6,②⑧⑮,15,16,Ｂミヤマガリバｰ, 77,北村宏, 2.5, 63,   1,   0,10, 63.4,⑫⑪⑪
16,12,Ｐミヤビガノン,-25,石橋脩, 5.4,  8,  -4, -52,13,319.1,⑤③⑥,16,14,Ｏダイワフルｰレ,  8,村田  , 6.7,-42, -37, -54,16,450.6,⑮⑯⑯,16, 7,Ｏキスミｰクイック, 49,勝浦  , 4.6, 31,   6, -44,10, 61.8,④④⑤,16, 8,Ｅスペシャルストック, 75,吉田豊, 2.9, 59,*  9, -13, 5,  8.3,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:3),,,,,,,,,,,
"単勝:2,500円 複勝:16=570円 15=480円 05=260円 枠連:12,950円",,,,,,,,,,,,"単勝:820円 複勝:09=220円 08=250円 12=350円 枠連:1,880円",,,,,,,,,,,,単勝:210円 複勝:05=120円 16=180円 06=150円 枠連:340円,,,,,,,,,,,,単勝:240円 複勝:02=120円 12=310円 06=190円 枠連:830円,,,,,,,,,,,
"馬連:12,280円 ワイド:15-16=3,710円 05-16=1,990円 05-15=1,560円",,,,,,,,,,,,"馬連:2,180円 ワイド:08-09=930円 09-12=1,260円 08-12=1,340円",,,,,,,,,,,,馬連:890円 ワイド:05-16=350円 05-06=230円 06-16=530円,,,,,,,,,,,,"馬連:1,380円 ワイド:02-12=600円 02-06=330円 06-12=1,240円",,,,,,,,,,,
"馬単:24,490円 3連複:35,320円",,,,,,,,,,,,"馬単:4,500円 3連複:8,770円",,,,,,,,,,,,"馬単:1,300円 3連複:1,040円",,,,,,,,,,,,"馬単:2,420円 3連複:2,640円 3連単:11,920円",,,,,,,,,,,
■ 2R  ダ1300m 3 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 5R  ダ1300m 3 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝3300m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,春麗ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,白富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂコペルニクス, 56,内田博,, 60,   1,* -3, 1,  1.7,④③③, 1,13, クリスティイモン,---,小野  ,, 71,*  7,*  1, 2,  5.4,①①①, 1, 1, アインオｰセン,,林    ,,,,, 4, 18.7,⑥⑥④, 1, 6,Ｄエアシェイディ, 85,後藤浩,, 84,  -4,* 27, 4,  7.4,④③③
 2,14,Ａヤクモキャット, 57,柴山  , 0.0, 59,  -3,*  1, 3,  7.9,⑬⑧⑧, 2, 8, ブラックプｰル,---,後藤浩, 1.3, 57,  -3,*  0, 7, 16.1,③⑨⑧, 2, 6, ブルｰアルパイン,,今村  , 0.6,,,, 5, 20.8,⑧⑤②, 2, 1,Ｊコスモオｰスティン, 75,勝浦  , 0.0, 76,* -3,  22, 9, 31.8,①①①
 3, 2,Ｄメジロルバｰト, 49,後藤浩, 0.2, 58,*  4,  -8, 5, 12.3,①①①, 3,16, カルストンアルプス,---,勝浦  , 1.9, 53,*  5, -15, 4,  6.2,②②②, 3, 3, マイネルオｰパｰ,,宗像  , 0.7,,,, 2,  6.1,⑤②①, 3, 4,Ｋナイトフライヤｰ, 74,北村宏, 0.1, 87,  -6,* 30,10, 41.1,⑥⑥⑦
 4, 1,Ｃオリエンタルゲイル, 50,吉田隼, 0.5, 52,   0, -10, 4, 12.0,③③③, 4, 3, スイｰツトラップ,---,松岡  , 2.1, 50,   3, -16,10, 37.3,③④③, 4, 5, テイエムドラゴン,,白浜  , 1.1,,,, 1,  1.3,⑦⑦④, 4,10,Ｂマチカネメニモミヨ, 87,藤田  , 0.1, 86,  -5,* 29, 7, 14.6,⑩⑨⑦
 5, 3,Ｉディスイズザライフ, 44,吉田豊, 0.9, 51,  -4,  -6,10, 53.9,⑦⑪⑨, 5,11, スｰパｰアンカｰ,---,柴田善, 2.5, 46,   3, -18, 6,  8.5,⑩④⑤, 5, 2, ビジネスサイクル,,浜野谷, 1.2,,,, 9, 82.7,⑪⑨⑧, 5, 8,Ａトウショウナイト, 90,武士沢, 0.3, 80,  -4,  25, 6,  9.5,⑤⑥⑥
 6, 4,Ｅエフテｰクリニック, 47,木幡  , 0.9, 52,  -2,  -8, 6, 14.5,⑤⑧⑥, 6, 9, チャｰムラブ,---,左海  , 3.4, 36,  -2, -22, 8, 17.2,⑦⑥⑦, 6,10, トｰセンメイザン,,金子光, 1.5,,,,14,143.8,⑬⑪⑩, 6, 3,Ｇメジロマントル, 80,吉田豊, 0.6, 68,* -2,  17, 3,  4.9,②②②
 7, 6,Ｈウインカスケｰド, 45,バルジ, 1.0, 51,*  3, -15, 2,  5.1,①②②, 7,10, スイｰトシャッセ,---,吉田豊, 3.6, 36,   3, -30, 3,  5.8,⑦②③, 7,11, マイネルユニバｰス,,平沢健, 1.8,,,, 8, 47.7,⑨⑦⑧, 7,12,Ｃアサクサキニナル, 86,柴田善, 0.7, 66,  -4,  16, 1,  3.9,③③③
 8,15,Ｆミスティアスガイ, 46,高山太, 2.0, 39,  -6, -15, 9, 45.9,⑬⑩⑪, 8, 5, ビｰビｰオファｰド,---,木幡  , 3.9, 29, -17, -11, 9, 22.4,⑫⑬⑬, 8,12, テイエムアラムシャ,,出津  , 2.1,,,,10, 92.9,⑪⑨⑪, 8, 2,Ｌエルカミｰノ, 73,石橋脩, 0.7, 74,  -7,  24,11, 85.3,⑫⑩⑫
 9,10,Ｊカシノロイヤル, 36,吉永  , 2.3, 36,  -8, -16,13,343.2,⑪⑪⑫, 9, 7, ノボミラクル,---,丹内  , 3.9, 25, -24,* -4,13,111.3,⑬⑭⑭, 9, 4, マダンテ,,高井  , 2.4,,,, 3, 15.8,①②④, 9, 5,Ｅユキノサンロイヤル, 83,小野  , 0.8, 71,  -6,  22, 8, 24.2,⑧⑩⑩
10, 9,Ｍユウタｰアクセス, 23,大庭  , 2.4, 37,  -7, -18,14,414.8,⑮⑮⑫,10,14, ゴルゴンシチｰ,---,武士沢, 4.1, 30,  -7, -23,14,140.2,⑭⑩⑨,10,13, タイキリオン,,穂苅  , 3.2,,,,12,121.1,④⑪⑪,10,14,Ｉカンファｰベスト, 79,柴山  , 0.9, 67,  -2,  15, 5,  8.4,⑥⑤③
11,13,Ｋゼネラルビスティｰ, 31,平沢健, 2.7, 31, -12, -15,15,629.9,⑫⑭⑮,11, 6, オｰトハンタｰ,---,藤田  , 4.2, 27,  -7, -24, 1,  4.3,③⑥⑨,11,14, ストｰムセイコｰ,,五十雄, 3.3,,,,13,138.3,①④④,11,13,Ｈアグネススペシャル, 79,菊沢徳, 1.1, 65,  -8,  19,13,185.7,⑫⑬⑫
12,11,Ｌキングフォンテン, 26,北村宏, 2.8, 34,   1, -31, 8, 33.7,⑦③③,12, 2, カザバナジョウ,---,穂苅  , 4.9, 21,  -8, -30,11, 44.9,③⑩⑪,12, 9, モエレタマモクロス,,矢原  , 3.7,,,, 6, 24.9,③①②,12, 7,Ｍスムｰスバリトン, 71,バルジ, 1.2, 60,  -6,  13, 2,  4.2,⑧⑥⑦
