06年11月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晩秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｊピサノデイラニ, 29,北村宏,, 75,*  1,* 13, 1,  1.3, ②②, 1, 1, クルワザｰド,,今村康,,,,, 1,  3.2,③②②, 1,10,Ｂサｰチエネミｰ, 68,川島信,, 67,  -1,* 10, 2,  5.0, ⑧⑧, 1, 2,Ａコスモプロデュｰス, 82,蛯名正,, 73,  -1,  17, 3,  5.4,⑧④②
 2, 8,Ｌタカラトゥルｰ, 27,蛯名正, 1.9, 58,*  1,  -6, 2,  7.9, ①①, 2, 8, クロコアイト,,沢昭典, 0.3,,,,11, 30.4,①①①, 2, 8,Ｃフサイチギャロップ, 65,蛯名正, 1.0, 57,  -2,   2, 3,  5.3, ⑩⑪, 2,11,Ｉロケットパンチ, 67,勝浦正, 0.2, 72,  -4,* 18, 7, 49.4,⑩⑩⑩
 3, 6,Ｂサンジャンボリｰ, 46,藤岡佑, 2.2, 54,  -3,  -3, 3, 13.8, ⑤⑥, 3, 4, スリｰエリシオ,,佐久間, 1.4,,,,12, 77.6,④④③, 3, 6,Ｉミルククラウン, 56,内田博, 1.1, 56,  -4,*  3, 6, 11.5, ⑬⑬, 3, 7,Ｂトップオブサンデｰ, 78,内田博, 0.3, 73,  -1,  18, 1,  1.9,⑩⑨⑧
 4, 2,Ｆコスモフリｰダム, 35,横山典, 2.2, 55,  -1,  -6, 5, 16.9, ③③, 4, 5, ディクタトル,,北沢伸, 1.9,,,, 5, 10.5,⑨⑦⑦, 4,16,Ｌマイネルメロス, 52,石神深, 1.1, 57,  -1,   0,12, 53.6, ⑩⑧, 4, 9,Ｄレディインブラック, 74,北村宏, 0.8, 60,  -2,   8, 6, 27.0,⑤⑦⑧
 5, 3,Ｃピュアｰフレｰム, 43,内田博, 2.4, 51,  -8,*  3, 6, 19.8, ⑫⑫, 5,10, アザンクｰル,,高野容, 2.6,,,, 8, 24.2,⑤⑤⑤, 5, 2,Ｄモルフェテレス, 64,北村宏, 1.2, 60,*  6, -11, 4,  7.0, ②②, 5, 8,Ｋハイタイド, 65,北沢伸, 0.9, 55,  -2,   4,10, 76.7,⑦⑦⑥
 6, 5,Ｉドンアドヴァイタ, 32,津村明, 2.5, 50,  -5,  -3,10,117.7, ⑩⑧, 6,14, スリｰダンシング,,仲田雅, 3.2,,,,13, 95.6,⑪⑨⑩, 6,12,Ａエボニｰビジョン, 74,横山典, 1.2, 55,  -4,   2, 1,  3.6, ⑩⑬, 6,10,Ｆバブルサウンド, 70,松岡正, 1.0, 54,  -1,   1, 9, 68.9,③④②
 7,10,Ｅナンヨｰノｰス, 40,勝浦正, 2.5, 52,  -2,  -8, 8, 36.6, ⑤③, 7, 2, デイトレｰダｰ,,大庭和, 3.4,,,, 3,  5.3,⑫⑬⑬, 7,14,Ｆヒシレｰシｰ, 60,加藤士, 1.3, 57,   2,  -7, 8, 21.7, ④③, 7, 5,Ｃペネトレｰタｰ, 78,横山典, 1.0, 57,   0,   2, 2,  3.5,⑤②②
 8, 1,Ａコスモピロリ, 46,松岡正, 3.5, 44,  -1, -18, 4, 15.1, ③③, 8,12, ストレッチランナｰ,,田中剛, 3.4,,,, 6, 17.1,⑤⑥⑥, 8,11,Ｍスタｰラビット, 52,津村明, 1.5, 51,  -5,   0,14,166.8, ⑬⑬, 8, 4,Ｊエイシンテンライ, 65,藤岡佑, 1.2, 55,*  0,  -2, 5, 26.7,①①②
 9, 7,Ｄキングブライト, 41,吉田豊, 4.0, 39,  -7, -15, 9, 46.7, ⑩⑩, 9, 6, グロｰリアスゲスト,,蓑島靖, 3.5,,,,10, 30.3,⑨⑨⑧, 9, 1,Ｈニシノツキカゲ, 59,勝浦正, 1.5, 58,*  7, -15, 5, 10.5, ①①, 9, 1,Ｇマイネルアンセム, 70,後藤浩, 1.5, 56,*  1,  -6, 4, 11.4,②②①
10, 4,Ｋセトウチアキレス, 28,今野忠, 4.0, 38, -10, -10,13,249.0, ⑭⑭,10,13, マイネルコレドｰル,,柴田未, 4.3,,,, 4,  7.1,⑫⑫⑫,10, 5,Ｅレイザストレングス, 63,今野忠, 1.6, 54,  -2,  -4, 7, 13.1, ⑮⑪,10, 6,Ｈマイネルガスト, 70,吉田豊, 1.5, 51,  -2,  -5, 8, 54.7,③④⑥
11, 9,Ｎテンエイカムカム,  8,イネス, 4.1, 38,  -7, -15,11,168.8, ⑫⑫,11, 9, エムテイクラウン,,林満明, 4.6,,,, 7, 19.3,⑧⑧⑧,11, 4,Ｇクリノセレブオｰ, 60,後藤浩, 1.6, 51,  -5,  -1, 9, 24.0, ⑯⑬,11, 3,Ｅニホンピロザプラウ, 72,川島信, 1.9, 48,  -4,  -3,11, 97.0,⑨⑩⑪
12,12,Ｇレガシｰオブジｰン, 33,川島信, 4.5, 35,  -3, -25,14,513.2, ⑦⑥,12, 7, ウインリゲル,,内田浩, 5.9,,,, 2,  4.2,②②③,12,13,Ｎアイアイスピｰチ, 50,池田鉄, 1.8, 51,   0,  -9,11, 38.8, ⑤⑤,,,,,,,,,,,,
13,14,Ｍニシノタマテバコ, 26,後藤浩, 4.6, 34,  -5, -23, 7, 33.5, ⑨⑧,13, 3, ギフテッドラブ,,黒岩悠, 9.8,,,, 9, 28.3,⑦⑨⑩,13, 7,Ｊシンボリハレｰ, 56,和田竜, 2.1, 49,   0, -12,10, 34.0, ⑧⑤,,,,,,,,,,,,
14,13,Ｈコスモシンヒダカ, 32,小野次, 5.0, 31,  -6, -25,12,186.1, ⑦⑩,14,11, ロｰドマイティ,,平沢健,14.6,,,,14,126.7,⑭⑭⑭,14, 9,Ｐレディエレガンス, 41,イネス, 5.6, 19,  -2, -44,15,183.3, ⑤⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｋニシノオウヒ, 54,藤岡佑, 5.7, 18,   3, -51,13, 68.1, ②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｏゴウカケンラン, 46,水出大, 5.8, 15,  -1, -51,16,308.8, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,
単勝:130円 複勝:11=110円 08=140円 06=210円 枠連:290円,,,,,,,,,,,,"単勝:320円 複勝:01=160円 08=490円 04=1,830円 枠連:730円",,,,,,,,,,,,"単勝:500円 複勝:10=180円 08=250円 06=290円 枠連:1,520円",,,,,,,,,,,,"単勝:540円 複勝:02=180円 11=630円 07=130円 枠連:5,670円",,,,,,,,,,,
馬連:410円 ワイド:08-11=200円 06-11=350円 06-08=800円,,,,,,,,,,,,"馬連:2,680円 ワイド:01-08=1,120円 01-04=4,220円 04-08=9,310円",,,,,,,,,,,,"馬連:1,630円 ワイド:08-10=630円 06-10=1,060円 06-08=1,300円",,,,,,,,,,,,"馬連:11,560円 ワイド:02-11=2,190円 02-07=310円 07-11=1,140円",,,,,,,,,,,
"馬単:510円 3連複:1,390円",,,,,,,,,,,,"馬単:4,160円 3連複:71,920円",,,,,,,,,,,,"馬単:3,600円 3連複:6,310円",,,,,,,,,,,,"馬単:19,760円 3連複:6,860円 3連単:71,680円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.3,,,,,■ 5R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,
