05年12月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  ダ1700m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沓掛特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｌブルｰフェアプレｰ, 36,古川吉,, 64,  -6,* 12,11,209.8,⑧⑩⑦, 1, 2,Ｄガｰネットスタｰ, 54,小牧太,, 65,*  4,* -3, 1,  3.9,①①①, 1, 9,Ａエリモジェンヌ, 66,赤木  ,, 71,*  4,*  7, 1,  2.9,⑥②②, 1,13,Ｅタガノゲルニカ, 65,池添  ,, 79,*  6,* 10, 1,  3.5,⑥②②
 2, 4,Ｆビッグポパイ, 41,和田  , 0.3, 60,* -1,   0, 1,  2.5,①①①, 2, 7,Ｂラブハｰト, 61,長谷川, 0.3, 57,  -1,* -3, 3,  6.0,⑥④④, 2,10,Ｃテンジンノジョオｰ, 64,塚田  , 0.2, 66,*  2,   3, 3,  6.6,④②④, 2,10,Ｃダブルスポット, 67,ルメｰ, 0.2, 77,   5,* 11, 3,  4.2,⑨④④
 3, 8,Ａサクセスラゴｰラ, 51,ルメｰ, 1.1, 55,  -5,  -2, 2,  3.5,⑥⑤③, 3, 9,Ａツルミトゥインクル, 63,松田  , 0.3, 57,  -1,* -3, 4,  6.1,②④⑥, 3, 2,Ｂシャイニングムｰン, 66,田辺  , 0.4, 69,   2,*  5, 4,  8.3,⑦⑦④, 3, 2,Ｆメイショウウｰキｰ, 65,安田  , 0.7, 72,*  6,   4, 2,  3.8,③②①
 4, 9,Ｈスマｰトバイパｰ, 40,長谷川, 1.2, 53,  -4,  -5, 4, 10.1,⑥③③, 4, 4,Ｉシャペロン, 39,橋本美, 0.5, 55,  -1,  -6, 8, 20.4,⑩④④, 4, 4,Ｈハネダキセキ, 58,南田  , 0.6, 65,   1,   1, 6, 21.0,⑫⑦④, 4, 8,Ｎリュウゴｰルド, 55,西田  , 0.7, 73,   4,   9,16,505.6,⑦⑤④
 5, 5,Ｏサｰユウジｰン, 29,小林徹, 1.2, 54,  -5,  -3,16,618.4,⑩⑤⑤, 5, 1,Ｊビッグオパｰル, 36,川島信, 0.7, 51,  -7,* -3,10, 38.0,⑫⑨⑧, 5, 7,Ｅケリｰズナカヤマ, 61,津村  , 0.6, 64,   0,*  4, 9, 28.1,⑨⑨⑧, 5,14,Ｈリｰジェントゲスト, 64,小牧太, 1.0, 71,  -1,* 13,12, 85.8,⑬⑭⑬
 6,16,Ｎマイネルトラヴェル, 32,赤木  , 1.4, 52,  -6,  -3, 6, 15.0,⑫⑧⑨, 6, 5,Ｃラッキｰクロコ, 57,石橋脩, 0.8, 49,*  0, -13, 6, 10.1,②②②, 6, 8,Ｆスリｰブルｰ, 60,長谷川, 0.7, 63,*  3,  -1, 2,  3.8,④②④, 6, 7,Ｊイエス, 61,武幸  , 1.0, 70,   2,  10, 9, 32.6,⑪⑧⑨
 7, 3,Ｂイブキゴルゴ, 47,野元  , 2.1, 45,  -4, -12, 8, 16.5,③③⑤, 7,13,Ｈウグイスジョウ, 43,北村浩, 1.1, 40, -10,  -9, 7, 19.1,⑩⑨⑩, 7,12,Ｍウエディングメリｰ, 48,安田  , 1.1, 63,  -1,   3,14, 63.6,⑯⑪⑩, 7, 5,Ｄレコンパンス, 66,津村  , 1.6, 66,   2,   3, 5,  8.5,⑦⑧⑦
 8,15,Ｃサイレントベッド, 46,池添  , 2.4, 44,* -2, -19, 3,  7.0,②②②, 8, 6,Ｅフレアキャスケｰド, 52,河北  , 1.1, 44, -13,* -3, 2,  4.6,⑯⑮⑫, 8,11,Ｉニシノイエロｰ, 58,川島信, 1.2, 62,  -1,   2, 5, 10.8,⑭⑪⑩, 8, 6,Ｋエイシンカイフォン, 60,和田  , 1.6, 65,   0,   5,10, 65.6,⑬⑪⑫
