05年10月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1800m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａコスモダンスナイト, 70,安藤勝,, 67,   7,* -2, 2,  4.3,⑦⑦⑦, 1, 4, オンワｰドラトゥル,,金折  ,,,,, 7, 24.6,③③②, 1, 5,Ａシｰキングザベスト, 80,福永  ,, 82,   8,*  9, 1,  1.8,⑥⑦⑤, 1, 6,Ｏヴァｰミリアン, 75,武豊  ,, 88,* 11,  13, 3, 10.8,②②②
 2,12,Ｅツルミトゥインクル, 55,福永  , 0.0, 69,* 13,  -9, 6,  9.7,③②②, 2,12, アドマイヤホｰプ,,北沢  , 0.7,,,, 1,  2.6,④③②, 2, 3,Ｂウインセイヴァｰ, 77,本田  , 0.2, 78,   9,*  4, 4,  9.6,⑥④④, 2, 5,Ｎドンクｰル, 80,後藤浩, 0.0, 89,  10,* 16, 2, 10.4,④④④
 3,10,Ｄニシノマｰメイド, 55,太宰  , 0.1, 65,   7,  -4, 5,  8.8,⑧⑦⑦, 3, 5, タニノエタニティ,,熊沢  , 1.3,,,, 3,  5.0,⑤⑤④, 3, 9,Ｇドラゴンアロｰ, 67,幸    , 1.0, 70,* 10,  -6, 2,  6.3,②②②, 3, 7,Ｃカイトヒルウインド, 88,四位  , 0.6, 87,  10,  14, 5, 16.2,⑦⑥⑥
 4,17,Ｂエイシンラビアン, 57,和田  , 0.3, 63,  10, -10, 4,  8.1,⑤④④, 4,11, テンプテｰション,,村山  , 1.4,,,, 2,  3.7,⑤⑥④, 4, 1,Ｊマッスルダンサｰ, 65,北村宏, 1.2, 67,   4,   0,10, 85.6,⑪⑩⑩, 4,14,Ｄヒシアトラス, 85,安藤勝, 0.6, 88,  12,  12, 4, 11.4,⑥④④
 5, 4,Ｌヘヴンリｰビｰナス, 40,後藤浩, 0.3, 61,  -3,*  2, 1,  3.2,⑮⑮⑫, 5,10, セイウンバンチョｰ,,林    , 2.1,,,, 5, 13.3,①①①, 5,16,Ｅデポジットブック, 71,池添  , 1.4, 66,   6,  -4, 5, 13.8,⑨⑦⑤, 5,16,Ｂウインデュエル, 90,北村宏, 1.0, 85,  13,   7, 1,  1.4,③②③
 6,13,Ｃプリティタヤス, 55,池添  , 0.4, 58,   2,  -4, 3,  7.2,⑩⑦⑩, 6, 9, チェリｰツｰトップ,,嘉堂  , 3.0,,,, 4,  9.2,①②④, 6, 4,Ｌホッコｰランチャｰ, 60,上村  , 1.4, 66,   2,   2,14,327.3,⑬⑫⑪, 6, 1,Ｋイサオヒｰト, 81,佐藤哲, 1.3, 80,   4,* 15,14,176.5,⑬⑭⑬
 7,14,Ｊオｰスミシルク, 44,長谷川, 0.4, 57,   0,* -3,10, 46.3,⑪⑪⑫, 7, 2, レガシｰロｰド,,難波  , 3.5,,,,10, 71.8,⑦⑦⑦, 7,14,Ｆアイファｰフクオｰ, 69,熊沢  , 1.5, 66,* 10,  -9, 6, 13.9,③③②, 7, 2,Ｍエイシンチャンプ, 80,福永  , 1.4, 81,   6,  12, 6, 19.0,⑪⑪⑨
 8, 6,Ｆラプタル, 53,佐藤哲, 0.5, 62,* 15, -18, 8, 17.1,①①①, 8, 8, シャンディムｰン,,高橋康, 3.9,,,, 8, 25.8,⑧⑨⑨, 8, 2,Ｃスズカデヒア, 76,柴原  , 1.6, 64,   5,  -5, 3,  8.0,⑩⑩⑧, 8, 4,Ｐラヴァｰズレｰン, 69,柴原  , 1.4, 77,* 18, -14,11, 87.8,①①①
