05年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1200m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂタガノエスペランサ, 47,本田  ,, 62,  -3,*  1, 3,  7.1,⑧⑧⑤, 1, 5, ヤシャボサツ,,植野  ,,,,, 2,  3.7,④③②, 1, 4,Ｂチェリｰヴァレｰ, 67,和田  ,, 69,  -3,*  9, 2,  3.3,④④⑤, 1, 2,Ｄファストアズライト, 77,佐藤哲,, 94,   8,* 24, 5,  7.5,⑧⑪⑧
 2, 1,Ｊトレノトマト, 33,上村  , 0.7, 54,*  3, -12, 4, 16.8,③②③, 2,11, メイショウタロｰ,,嘉堂  , 0.3,,,, 4,  7.0,①①①, 2, 6,Ｆネバｰエンディング, 58,鮫島良, 0.1, 64,  -4,   5, 7, 21.7,③③③, 2, 1,Ｆイソシギ, 76,武豊  , 0.2, 92,  17,  11, 2,  3.7,②④④
 3, 2,Ｄスｰパｰペガサス, 41,吉田豊, 1.2, 51,*  6, -19, 2,  5.9,②①①, 3, 6, シマノラピス,,リデル, 0.4,,,, 3,  5.6,⑦③③, 3, 7,Ａドリｰムアプロｰチ, 71,武豊  , 0.3, 70,  -6,* 12, 1,  2.1,⑩⑩⑩, 3, 6,Ａスピニングノアｰル, 79,武幸  , 0.3, 85,   4,* 21, 4,  7.3,⑫⑫⑬
 4,10,Ｌバクシンホｰプ, 24,藤岡  , 1.6, 45,*  3, -21, 5, 20.1,①②②, 4, 8, イナズマゼウス,,金折  , 2.2,,,, 5, 11.9,②②④, 4, 2,Ｅマイネカレッシュ, 59,内田利, 0.4, 64,  -4,   6, 5, 15.4,④⑥⑦, 4,11,Ｃテイエムポイント, 78,吉田豊, 0.5, 87,* 20,   2, 6, 14.3,⑤②②
 5, 6,Ｇスイングブレｰヴ, 37,北村浩, 1.9, 38,  -7, -16,12,186.2,⑩⑨⑨, 5, 4, ブレｰヴホｰラｰ,,白坂  , 4.0,,,,11, 62.5,⑦⑦⑧, 5, 3,Ｃサンエムラヴ, 63,秋山  , 0.5, 63,  -4,   5, 4, 10.2,⑧⑧⑥, 5, 4,Ｍチリエｰジェ, 73,河北  , 0.5, 84,   9,  13, 3,  5.5,⑧⑨⑧
 6, 8,Ｅリキアイファイト, 40,安田  , 2.3, 36,   0, -25, 6, 34.9,⑤⑤⑤, 6,12, ダイナミックゴｰル,,難波  , 4.7,,,,10, 54.1,⑪⑦⑤, 6, 5,Ｉグリントウィｰク, 54,生野  , 0.7, 57,* -1,  -4, 8, 24.7,②②②, 6, 7,Ｂシｰキングマイラブ, 79,小牧太, 0.6, 85,  12,   9, 1,  3.6,⑩⑦⑦
 7,13,Ｋダンスパｰク, 32,和田  , 2.4, 35,  -1, -25,11,131.1,⑦⑤⑤, 7,10, スカイバレンタイン,,小坂  , 4.8,,,, 7, 18.0,⑩⑩⑦, 7,10,Ｋキシュウレディ, 49,佐藤哲, 0.8, 61,  -6,   5,10, 57.1,⑧⑨⑨, 7,13,Ｊトシオジジアン, 75,秋山  , 0.7, 75,  -4,* 22,12, 63.0,⑯⑮⑯
 8, 4,Ａシゲルユウボウカブ, 55,佐藤哲, 2.4, 33,  -5, -21, 1,  1.4,⑧⑨⑨, 8, 3, サムライワｰルド,,浜野谷, 4.8,,,, 8, 21.7,⑨⑨⑤, 8, 9,Ｇアマゾンリリｰ, 58,河北  , 0.9, 58,  -3,  -1, 3,  8.5,④④③, 8, 5,Ｐケイウンバクシン, 65,鮫島良, 0.8, 79,   5,  12, 7, 26.0,⑦⑫⑪
