05年11月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1600m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvk賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｍピサノバンキッシュ, 25,北村宏,, 56,* -3,* -6, 2,  3.5,⑥⑥②, 1, 7, ブルｰアルパイン,,今村  ,,,,, 2,  3.6,④①①, 1,11,Ｅプリンコックス, 65,田中勝,, 71,   1,   9, 4,  7.7,④④⑤, 1, 3,Ａムｰンシャイン, 78,後藤浩,, 83,   2,* 19, 1,  2.4,④④③
 2, 6,Ｇトウショウアラジン, 37,伊藤直, 0.6, 49,  -5,* -9, 6, 18.0,⑩⑦⑥, 2, 1, バンチフラワｰ,,穂苅  , 1.4,,,, 1,  3.0,⑤⑤④, 2,14,Ｄセイウンタイヨウ, 65,北村宏, 0.0, 70,  -1,  11, 3,  5.4,⑦⑦⑦, 2, 9,Ｊバシュアｰス, 69,ボニヤ, 0.4, 79,   0,* 18, 4, 12.0,④⑤⑤
 3, 2,Ｃインベスタｰ, 45,後藤浩, 0.8, 47,* -2, -15, 1,  2.4,①①①, 3,11, スｰパｰヒｰロｰ,,五十雄, 1.5,,,, 8, 15.9,⑦⑥⑥, 3, 8,Ｂユｰワインパルス, 66,松岡  , 0.1, 69,*  4,   2, 2,  3.7,①①①, 3,10,Ｂガッテンワン, 77,柴田善, 0.7, 72,  -1,  14, 3,  5.3,⑦⑥⑤
 4, 9,Ｌキクノポロロッカ, 26,岩部  , 1.3, 44,  -9,* -9,10, 71.6,⑫⑫⑩, 4,12, マルブツトルネｰド,,北沢  , 2.0,,,, 9, 38.6,⑥⑧⑧, 4,10,Ｃスマｰトギルド, 65,藤岡  , 0.2, 65, -11,* 18, 6, 17.0,⑩⑩⑩, 4, 8,Ｄラストモア, 75,菊沢徳, 0.7, 74,  -3,* 17, 2,  3.7,⑦⑥⑧
 5,13,Ｋライブリチチカカ, 27,菊沢徳, 1.4, 44,  -7, -13,12,255.0,⑪⑪⑦, 5, 3, サテライトエｰス,,山本  , 3.3,,,, 6, 12.7,⑩⑧⑧, 5,15,Ａレオアンナ, 84,大野  , 0.3, 66,*  2,   2, 1,  2.8,①②②, 5,13,Ｇダイワセレクション, 70,田中勝, 0.8, 69,   2,   9, 6, 15.6,③③③
 6, 5,Ａスマｰトバイパｰ, 47,松岡  , 1.6, 39,* -4, -22, 3,  4.4,④②②, 6,10, イチバンタイソウシ,,宗像  , 3.5,,,,10, 52.3,⑨⑦⑦, 6, 6,Ｉパｰプルコブラ, 60,畑端  , 0.6, 63,  -6,  10,11, 43.6,⑨⑨⑨, 6, 6,Ｃハウズトリックス, 76,松岡  , 1.0, 70,  -3,  15, 7, 16.4,⑦⑨⑨
 7, 1,Ｄアドリアシチｰ, 42,ボニヤ, 1.6, 40,* -3, -21, 4, 11.1,⑤②②, 7, 5, オンワｰドハヤブサ,,矢原  , 3.7,,,,11, 53.6,⑧⑩⑩, 7, 5,Ｈフジノヘイロｰ, 61,小林淳, 0.8, 62, -11,* 15, 7, 23.0,⑭⑭⑭, 7, 7,Ｅピサノデュエル, 74,藤岡  , 1.1, 66,   0,   7, 5, 13.4,⑦⑥⑤
 8,11,Ｉグラスクロｰザｰ, 29,柴田善, 1.9, 38, -12, -11, 8, 45.3,⑬⑬⑫, 8, 2, グランイグアス,,嘉堂  , 3.8,,,,13, 60.7,⑩⑪⑪, 8,12,Ｏカウンタｰブラスト, 52,宮崎光, 0.8, 62,  -4,   6, 8, 33.4,⑧⑧⑧, 8, 1,Ｋタツショウワ, 66,田中剛, 1.3, 60,*  4,  -2,12,163.2,①②②
 9, 3,Ｈカシノスズラン, 30,鈴来  , 3.7, 23,  -6, -37,13,269.5,⑥⑦⑦, 9, 9, デュアルライフ,,金子光, 3.8,,,, 4, 11.1,①②②, 9, 7,Ｍシルクアルタイル, 57,後藤浩, 1.2, 58, -11,  10, 5, 15.9,⑭⑭⑫, 9,11,Ｆレディインブラック, 70,北村宏, 1.4, 62,  -6,  11, 8, 21.3,⑪⑨⑪
10, 7,Ｆサｰプラス, 38,大野  , 3.7, 20,* -5, -43, 7, 29.0,②②②,10,13, スリｰプレアデス,,高野容, 5.6,,,, 7, 14.4,⑭⑬⑫,10, 9,Ｇウォｰクドントラン, 64,小野  , 1.4, 56,   1,  -6,13, 82.1,④④⑤,10, 2,Ｉイルデパン, 69,村田  , 1.4, 65,  -6,  13,13,166.4,⑥⑫⑫
11,12,Ｊマイネルレモリｰノ, 28,小林淳, 3.7, 23,  -8, -34, 9, 71.3,⑨⑩⑨,11, 6, タニノカフェオｰレ,,リデル, 6.4,,,, 5, 12.3,③④⑤,11, 2,Ｎトｰセンエタニティ, 55,郷原  , 1.5, 55,  -9,   6,10, 37.3,⑩⑩⑩,11, 5,Ｍブレｰブティック, 57,小林淳, 1.5, 56,*  6,  -8, 9, 45.5,①①①
12, 8,Ｅタカミツルビｰ, 39,池田  , 5.2,  9,  -9, -47,11,186.2,⑥⑦⑩,12,14, メイスンボｰイ,,浜野谷, 6.7,,,,12, 57.0,②②③,12, 4,Ｆナウシカトウショウ, 65,石崎隆, 1.8, 50, -16,  10, 9, 37.1,⑯⑯⑯,12,12,Ｌアチｰブフィｰト, 61,郷原  , 1.7, 58,  -3,   4,10,156.1,⑪⑨⑨
,,,,,,,,,,,,13, 8, ザブラックヘイロｰ,,沢    , 9.3,,,,14,165.4,⑩⑫⑬,13, 1,Ｋニッショウカイドウ, 58,村田  , 2.1, 50,   2, -14,15,203.3,④④③,13, 4,Ｈトレジャｰハンタｰ, 69,鈴来  , 1.8, 59,  -7,   9,11,162.9,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｌマイネルヴェッカｰ, 57,ボニヤ, 2.1, 47, -14,   5,12, 62.9,⑬⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｐケイツｰバｰク, 49,五十雄, 2.3, 45, -11,  -1,16,378.0,⑩⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｊオトメザプリンセス, 58,池田  , 2.8, 43,   2, -21,14,145.8,①②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,
