05年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒松賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａアルカライズ, 55,横山典,, 58,* -5,*  0, 1,  1.3,④③③, 1, 1,Ａショウナンアルス, 55,大庭  ,, 68,*  0,*  5, 5,  6.1,①①①, 1, 7, ウインミッション,---,藤田  ,, 51, -30,* 19, 4, 14.3,⑤⑤③, 1, 4,Ｂダイワパッション, 58,長谷川,, 64,* -2,   5, 6, 12.6,①①①
 2,13,Ｊアンダンテシチｰ, 28,石崎隆, 0.6, 52,* -4,  -7, 6, 40.2,②②②, 2,12,Ｃユキノマｰメイド, 53,北村宏, 0.2, 66,  -3,*  8, 2,  4.1,④④③, 2, 2, リワｰドフォンス,---,村田  , 0.1, 37,*-25,   8,10, 83.1,①①①, 2, 5,Ｅスリｰセブンスピン, 58,吉田隼, 0.1, 63,* -3,   5, 2,  3.9,②②②
 3, 1,Ｅユキノスバル, 35,田中剛, 0.9, 48,  -7,  -7,11,142.0,③④④, 3, 7,Ｇリヴァリｰガｰデン, 44,藤田  , 0.5, 63,  -4,*  7, 3,  5.0,⑦⑦⑤, 3, 9, マイネルネオス,---,梶    , 0.3, 39, -28,  11, 9, 37.5,③③③, 3, 1,Ｄコスモスカイライン, 58,村田  , 0.3, 60, -10,*  8, 3,  7.5,⑦⑦⑦
 4, 4,Ｆコスモライトニング, 35,池田  , 1.0, 46, -10,  -5, 8, 52.6,⑥⑦⑦, 4, 5,Ｂクレヨンルｰジュ, 54,横山典, 0.8, 58,  -3,  -1, 4,  5.7,④④④, 4, 6, フェラｰリセブン,---,横山典, 0.5, 42, -33,  16, 1,  1.8,⑦⑦⑥, 4,15,Ｆロｰドスウェアｰ, 57,デザｰ, 0.3, 60,  -8,   6, 1,  3.0,⑦⑦⑦
 5,10,Ｂブルｰバイオレット, 47,吉田隼, 1.1, 45,* -5, -13, 3,  6.8,①①①, 5, 4,Ｅエイダイタカラブネ, 52,柴田善, 1.0, 55,* -1,  -9, 1,  3.6,②②②, 5, 1, ウイニングヒット,---,北村宏, 0.6, 45, -36,* 19, 7, 18.6,⑩⑩⑧, 5, 3,Ｍノボワｰルド, 44,木幡  , 0.4, 57,  -7,   3, 5, 11.2,⑤④⑤
 6, 3,Ｇコスモロザリオ, 31,北村宏, 1.4, 41, -14,  -5, 5, 32.3,⑩⑨⑨, 6, 6,Ｄコアレスキャスト, 52,田中勝, 1.0, 56,  -6,   2, 6, 12.7,⑪⑨⑧, 6, 5, セレナガルｰダ,---,デザｰ, 0.6, 48, -38,* 22, 6, 17.4,⑬⑫⑪, 6,10,Ａアッパｰジｰン, 69,石崎隆, 0.6, 56, -18,* 11, 4, 10.2,⑮⑭⑯
 7,12,Ｎミスティアスガイ,-13,高山太, 1.6, 39, -14,  -7, 9, 66.8,⑨⑨⑨, 7,11,Ｉアインマｰル, 35,五十雄, 1.2, 53,  -5,  -2,11,121.9,⑧⑦⑧, 7,14, エマルノジョン,---,木幡  , 0.8, 34, -33,  11,12,200.8,⑧⑦⑧, 7,11,Ｇコスモグラッチェ, 57,石神  , 0.6, 53,* -3,  -3, 9, 26.1,③②③
 8,14,Ｌハプン, 15,木幡  , 1.7, 40,  -8, -14, 2,  6.6,⑥④④, 8,15,Ｈディスイズザライフ, 39,吉田豊, 1.5, 50,  -7,  -2,10,108.8,⑬⑫⑪, 8, 3, バンダムラッシュ,---,郷原  , 0.9, 42, -38,* 19,14,215.7,⑬⑬⑫, 8, 6, ラムグレス,---,北村宏, 0.6, 57, -18,* 11,15,231.1,⑬⑭⑬
