05年12月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1700m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香嵐渓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂブレイバｰ, 49,柴山  ,, 58, -12,*  8, 4,  6.7,⑪⑥⑥, 1, 2,Ｂテンシノゴｰルド, 58,小牧太,, 64, -12,* 17, 1,  2.2,⑨⑧⑧, 1,11,Ｂゲンキナシャチョウ, 68,松岡  ,, 66,  -1,   6, 1,  2.2,⑦⑤⑤, 1,10,Ｊポジティヴトライ, 71,菊沢徳,, 79,   6,* 13,12, 38.0,⑪⑧⑧
 2, 8,Ｄゼンノマルビナス, 48,藤岡  , 0.2, 53, -12,*  4, 2,  2.8,⑤④⑤, 2,11,Ｄハリｰダンカン, 52,中舘  , 0.1, 67, -15,* 21, 3,  5.3,⑪⑩⑩, 2, 6,Ａダイシンチャンス, 69,太宰  , 0.5, 66,  -6,* 11, 2,  4.8,⑮⑬⑩, 2, 7,Ｃワｰルドサンボｰイ, 78,本田  , 0.2, 78,   7,* 10, 2,  4.6,⑦⑥⑤
 3, 1,Ｊキングダムバイオ, 33,小牧太, 0.4, 48,* -8,  -3, 8, 43.9,①①①, 3, 1,Ｃエリモエクスパイア, 53,佐藤哲, 0.2, 55, -10,   9, 7, 31.6,⑦④④, 3, 8,Ｊフサイチウィｰド, 58,柴山  , 0.5, 62,   0,   1, 6, 18.5,③③③, 3,16,Ａヒｰロｰアンセム, 82,藤岡  , 0.3, 76,  10,   2, 8, 17.6,⑤③②
 4,14,Ｃプルｰフオブキング, 48,本田  , 0.5, 49,* -9,  -1, 1,  2.8,①③③, 4,13,Ａマイネルヴェステン, 58,柴山  , 0.2, 55,  -9,   8, 2,  4.2,④④④, 4, 2,Ｋニュｰスブレイク, 58,ボニヤ, 0.5, 62,   0,   1, 5, 14.2,⑥③③, 4, 4,Ｆタマモドン, 74,ボニヤ, 0.7, 75,   5,*  9,10, 20.6,⑭⑬⑪
 5, 4,Ｉサンパレス, 34,ボニヤ, 0.6, 47,* -8,  -4, 7, 30.0,①②②, 5,12,Ｇデｰトリッヒ, 47,赤木  , 0.2, 52,* -8,   4, 8, 43.0,①①①, 5,14,Ｈタイキブラック, 60,武士沢, 0.7, 64,  -3,   6,11, 41.3,⑭⑩⑧, 5, 5,Ｇサクラギャラクシｰ, 74,中舘  , 0.9, 73,   8,   2, 7, 15.0,⑨⑥⑤
 6, 6,Ａカザックシチｰ, 50,佐藤聖, 0.8, 48, -16,*  3, 6, 22.0,⑨⑨⑨, 6, 8,Ｅカツヨカムトゥルｰ, 52,武士沢, 0.4, 52, -10,   6, 6, 16.3,⑥④⑥, 6, 1,Ｅウインルミエｰル, 61,中舘  , 0.7, 60,*  2,  -4, 8, 23.5,②②②, 6, 3,Ｈグランプリスタｰ, 73,川田  , 0.9, 71,* 12,  -7, 6, 11.4,③①①
 7, 5,Ｆロングコジｰン, 40,安田  , 0.8, 50, -14,   4,12,178.2,⑨⑨⑦, 7, 7,Ｆアサクサブラボｰ, 50,藤岡  , 0.7, 44, -10,  -1, 4,  6.5,④④⑥, 7, 9,Ｎロックスピリッツ, 51,赤木  , 0.8, 62,  -3,   2, 4, 13.8,⑪⑧⑥, 7,13,Ｎマルブツシルヴァｰ, 65,松田  , 1.3, 67,   5,   1, 4, 10.0,⑪⑩⑪
 8,10,Ｌタニノバロン, 25,福永  , 1.0, 44, -11,  -4, 3,  5.9,⑦④③, 8,10,Ｊラインハルト, 23,佐藤聖, 1.1, 38,*-11, -10,11,196.3,②②②, 8,16,Ｄスカイウイング, 62,藤岡  , 0.8, 64,  -8,* 11, 7, 19.3,⑯⑮⑬, 8, 8,Ｂエアオｰサム, 78,小牧太, 1.4, 68,   5,   1, 1,  4.3,⑬⑬⑪
 9, 9,Ｅライブリチチカカ, 41,菊沢徳, 1.2, 47, -15,   3,10, 48.6,⑬⑪⑪, 9, 3,Ｍアバランシュ, 16,川島信, 1.3, 49, -19,  11,13,342.8,⑬⑫⑫, 9, 5,Ｃツィンクルヴェｰル, 63,蛯名  , 1.0, 60,  -4,   2, 3,  5.7,⑫⑩⑩, 9,15,Ｌウインプログレス, 70,柴山  , 1.7, 64,   2,   2,11, 25.0,⑯⑮⑮
10,13,Ｋリトルプレイヤｰ, 26,中舘  , 1.4, 41, -12,  -5,11,115.2,④⑥⑦,10, 5,Ｉカイテキラボンバ, 34,勝浦  , 1.6, 35, -12,  -8,10,178.5,⑦⑧⑧,10,10,Ｍエイシンハルピン, 53,小牧太, 1.4, 58,  -7,   3,15,165.2,⑩⑬⑬,10,12,Ｋアドマイヤムサシ, 70,赤木  , 2.0, 63,   3,  -2, 5, 10.2,⑮⑮⑭
11, 3,Ｈタマモアテンション, 38,蛯名  , 1.8, 36, -12,  -9, 5, 17.5,⑧⑥⑨,11, 6,Ｌカズサハｰト, 20,石橋脩, 1.6, 37, -15,  -4, 9, 73.9,⑩⑩⑩,11, 7,Ｉロｰランプレイス, 58,本田  , 1.6, 54,  -3,  -5, 9, 28.4,⑨⑧⑩,11, 6,Ｏスギノウルフ, 62,鹿戸  , 2.1, 62,* 11, -16,15,168.3,②③③
12, 2,Ｇサクセスストｰリｰ, 39,塚田  , 2.7, 27, -17, -13, 9, 45.1,⑫⑪⑫,12, 9,Ｈシゲルシンキガイ, 44,幸    , 1.7, 32,* -8, -18, 5, 15.1,②②②,12, 4,Ｇフェｰヴ, 60,石橋脩, 1.7, 51,*  2, -16,13,128.7,①①①,12,11,Ｐテンエイゴｰルド, 60,武幸  , 2.3, 62,   6,  -8,14,147.7,⑩⑩⑨
13, 7,Ｍヒシアプロｰズ, 20,生野  , 4.5, 11, -16, -30,13,218.9,⑤⑪⑫,13, 4,Ｋアイファｰエキスポ, 20,大西  , 1.9, 36, -20,   3,12,210.0,⑫⑬⑬,13,15,Ｆグレｰトザラン, 60,小林慎, 1.8, 52,  -2,  -9,14,141.7,⑧⑦⑧,13, 9,Ｍメイショウエイシ, 69,飯田  , 2.3, 60,   8, -14,13, 38.7,⑥⑤⑤
14,12,Ｎヒカリエルドラド, 14,古川吉, 6.0,  2, -21, -34,14,223.9,⑭⑭⑭,,,,,,,,,,,,,14,12,Ｏマルタカチハヤブル, 47,田辺  , 2.6, 47,  -5, -11,16,471.2,⑬⑫⑬,14, 2,Ｉオリエントヒｰロｰ, 71,田辺  , 2.6, 58,   7, -12,16,251.6,⑦⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｌゼロキャット, 56,幸    , 3.2, 41,  -1, -23,12, 75.7,④⑤⑥,15, 1,Ｅサクラグッドラック, 75,佐藤哲, 4.6, 42,* 12, -42, 9, 19.0,①②③
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐゲイリｰザスカイ, 45,北村浩, 4.2, 34, -10, -19,10, 29.0,④⑯⑯,16,14,Ｄメイショウホウオウ, 76,幸    , 8.0, 14,   6, -62, 3,  5.2,④⑩⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:670円 複勝:11=160円 08=150円 01=750円 枠連:1,030円",,,,,,,,,,,,単勝:220円 複勝:02=130円 11=150円 01=530円 枠連:690円,,,,,,,,,,,,単勝:220円 複勝:11=120円 06=150円 08=370円 枠連:320円,,,,,,,,,,,,"単勝:3,800円 複勝:10=810円 07=180円 16=470円 枠連:3,060円",,,,,,,,,,,
"馬連:1,110円 ワイド:08-11=450円 01-11=3,670円 01-08=2,080円",,,,,,,,,,,,"馬連:610円 ワイド:02-11=310円 01-02=1,030円 01-11=2,030円",,,,,,,,,,,,"馬連:560円 ワイド:06-11=270円 08-11=640円 06-08=1,560円",,,,,,,,,,,,"馬連:9,960円 ワイド:07-10=3,530円 10-16=8,120円 07-16=1,940円",,,,,,,,,,,
"馬単:2,690円 3連複:15,930円",,,,,,,,,,,,"馬単:1,230円 3連複:4,940円",,,,,,,,,,,,"馬単:940円 3連複:2,620円",,,,,,,,,,,,"馬単:25,790円 3連複:38,490円 3連単:296,560円",,,,,,,,,,,
■ 2R  ダ1000m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 5R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 8R  芝2500m 3歳上500万 別定,,,,,,,,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(父) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅヒカリアイ, 68,武士沢,, 70,  -7,* 16, 2,  4.9,⑧⑨⑧, 1,10,Ｂサヨウナラ, 67,小牧太,, 67, -14,* 20, 1,  2.6,⑥⑥⑥, 1, 5,Ｌユメロマン, 64,ボニヤ,, 78,  10,*  3, 9, 23.5,⑩⑩⑧, 1, 8,Ｎグランリｰオ, 79,柴山  ,, 90,* 26,  -4, 8, 17.8,②②②
 2, 7,Ａアップルマティｰニ, 71,小牧太, 0.2, 71,   4,   6, 5,  8.4,②③③, 2, 2,Ｄメグミロマンス, 65,本田  , 0.1, 72, -16,* 24, 4,  9.3,⑪⑪⑩, 2,10,Ｆスタｰダストボｰイ, 70,佐藤哲, 0.1, 75,* 12,  -6, 1,  3.3,⑩④④, 2,16,Ｅダンスインザモア, 85,蛯名  , 0.2, 90,  16,* 14, 1,  4.8,⑭⑪⑧
 3, 6,Ｃチャｰムダイヤ, 70,藤岡  , 0.4, 67,   2,   5, 3,  5.7,④③④, 3, 5,Ｅベネザプレ, 64,柴山  , 0.3, 61, -13,  16, 5, 15.5,④⑤②, 3,15,Ａダンツトレジャｰ, 80,中舘  , 0.4, 74,  11,  -5, 4,  9.4,⑨⑥⑥, 3, 9,Ｉカナハラドラゴン, 81,勝浦  , 0.3, 90,  17,  12,10, 18.6,⑨⑪⑪
 4,11,Ｈキシュウマドンナ, 61,川田  , 0.8, 61,  -3,   4,11, 91.8,④⑦⑥, 4, 7,Ｃアドマイヤキラメキ, 65,幸    , 0.3, 65, -15,* 20, 3,  5.5,⑧⑧⑧, 4, 3,Ｋシルクマイスタｰ, 66,藤岡  , 0.6, 70,* 13, -17, 5, 12.6,③③②, 4, 6,Ｏメイショウオスカル, 77,武幸  , 0.3, 89,* 25,  -5,11, 23.8,④③③
