05年12月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 別定,,,,,,,,,,,,■10R  芝2000m 2 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葉牡丹賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃスマｰトスナイパｰ, 43,五十冬,, 51, -15,*  6, 3,  9.5,⑫⑪⑨, 1,10, ジラソｰレ,---,勝浦  ,, 48,* -9,  -5, 5, 15.0,⑧②②, 1,12,Ａベルモントサンダｰ, 78,ペリエ,, 72,   4,*  6, 1,  2.0,⑧⑤③, 1, 4,Ａナイトレセプション, 74,ボニヤ,, 80,* 14,   1, 2,  5.7,③③②
 2, 5,Ｌコスモメテオ, 20,松岡  , 0.7, 43,  -8,  -8, 8,113.8,⑥⑦⑦, 2, 5, スミノバンビｰナ,---,丹内  , 0.0, 45, -15,* -1, 1,  3.3,⑬⑦⑧, 2,16,Ｂユｰワインパルス, 68,松岡  , 0.1, 71,*  9,  -1, 2,  3.7,②②②, 2,14,Ｂマチカネゲンジ, 69,デザｰ, 0.3, 78,   7,* 13, 1,  1.7,⑮⑭⑬
 3,11,Ｅアイノヤマト, 36,柴田大, 0.8, 44,  -6,  -9, 5, 32.6,⑥⑦⑦, 3, 6, マタタキ,---,五十冬, 0.1, 47,* -8,  -7,11, 50.4,①①①, 3,15,Ｆイブキペガサス, 62,大野  , 0.2, 63, -10,* 14, 7, 40.4,⑭⑭⑫, 3,17,Ｃフラムドパシオン, 64,ペリエ, 0.3, 77,  11,   2, 3,  7.5,⑧⑦⑧
 4,14,Ａケイアイカルディナ, 53,柴田善, 0.9, 48,*  5, -20, 1,  1.1,①②②, 4, 8, ラストプルｰフ,---,木幡  , 0.2, 45, -14,* -2, 6, 16.0,⑥⑦⑧, 4,11,Ｄガッサンルｰブル, 66,蛯名  , 0.8, 64,   4,  -2, 3,  6.1,⑤⑤③, 4, 1,Ｇダｰクメッセｰジ, 60,佐藤哲, 0.3, 78,  11,   4, 5, 14.1,⑨⑧⑤
 5, 4,Ｂザンテツケン, 44,田中勝, 0.9, 44,  -2, -14, 2,  9.4,④④④, 5,12, ファラｰシャ,---,吉田隼, 0.6, 39, -13,  -9, 8, 26.4,④⑤⑤, 5, 2,Ｃブルｰベレッタ, 67,田中剛, 0.9, 65,* 11, -10, 5, 14.2,①①①, 5, 2,Ｄニシノアンサｰ, 64,菊沢徳, 0.4, 74,* 16, -12, 6, 16.2,①①①
 6,10,Ｄサｰプラス, 36,デザｰ, 1.1, 42,  -2, -16, 4, 32.0,⑥④④, 6, 3, マイネケｰニギン,---,後藤浩, 0.7, 40, -16,  -5, 2,  3.6,⑨⑪⑪, 6, 5,Ｇダイワフェロｰ, 60,田中勝, 0.9, 62,   2,  -1, 4, 11.2,⑥⑦⑥, 6,16,Ｎエイシンキャプテン, 50,吉田豊, 0.4, 75,  12,  -1,10, 67.3,⑤⑤⑤
 7, 7,Ｇプラナグリｰン, 35,小野  , 1.2, 41,  -2, -17, 6, 43.9,④④④, 7, 2, タケデンジャズ,---,土谷  , 0.8, 41, -14,  -8,10, 39.6,⑪⑦⑤, 7, 6,Ｅタヤスワカシオ, 64,ボニヤ, 1.4, 56,   1,  -5, 8, 45.0,⑦⑧⑦, 7, 8,Ｈハネダテンシ, 59,後藤浩, 0.4, 77,   7,* 11, 4, 13.5,⑮⑭⑬
 8,12,Ｊモｰルドコウスケ, 27,小島一, 1.2, 35, -14,  -9,12,369.1,⑪⑩⑪, 8,14, ゴッドリズ,---,武士沢, 0.8, 40,* -9, -13, 7, 23.2,④②②, 8,14,Ｋデルマアポロ, 52,石神  , 1.4, 55,  -1,  -3,13,223.2,⑪⑨⑩, 8, 6, モエレメジャｰル,---,五十冬, 0.5, 73,  11,   1,14,194.4,⑤⑧⑩
 9, 2,Ｉマイネルバウンサｰ, 30,勝浦  , 1.5, 33, -22,* -2,10,206.4,⑬⑮⑬, 9, 9, オエドニホンバシ,---,大野  , 0.9, 37, -16,  -9,13, 74.6,⑦⑩⑧, 9, 1,Ｊリンダシチｰ, 55,丹内  , 1.4, 51, -10,   3,12,155.9,⑭⑭⑭, 9, 5,Ｊノンコ, 57,江田照, 0.5, 75,   9,   5, 7, 39.6,⑭⑪⑩
10,13,Ｋヤマテプログレス, 20,丹内  , 1.6, 40,*  5, -29,13,448.7,①②①,10,11, コアレスボニｰタ,---,松岡  , 1.3, 33, -23,  -6,12, 71.7,⑭⑬⑬,10, 7,Ｎアミフジハナザカリ, 46,吉田隼, 1.5, 49,  -8,   0,10, 69.2,⑫⑫⑬,10,15,Ｐムｰヴスタｰ, 47,蛯名  , 0.9, 71,   4,* 11,18,305.1,⑰⑰⑯
11, 6,Ｏマスピアドｰル,-238,小林淳, 1.6, 33, -19,  -5,15,596.3,⑬⑬⑫,11,13, ミカヅキオトヒメ,---,伊藤直, 1.4, 34, -13, -15,14,125.4,⑨⑤⑤,11, 8,Ｌロｰドマジシャン, 49,江田照, 1.8, 50,  -1,  -7,14,293.0,⑧⑨⑪,11,12,Ｉコマンダｰシップ, 59,田中勝, 1.1, 70,   4,*  8,11, 80.7,⑰⑰⑯
12, 8,Ｆエメラルドスズラン, 35,牧原  , 1.8, 31, -20,  -6, 7, 89.5,⑬⑭⑬,12, 1, スズノクロカミ,---,村田  , 1.7, 30, -16, -15, 9, 33.0,⑪⑪⑪,12, 3,Ｈミオラシオン, 57,吉田豊, 2.0, 50,   0, -10,11, 79.7,⑧⑨⑦,12, 7,Ｅマジカルスタｰ, 63,柴田善, 1.1, 69,   9,  -4,13,141.4,⑫⑪⑫
13,15,Ｎリバｰファンタジｰ,  6,中谷  , 1.9, 32, -10, -16,14,456.0,⑩⑨⑨,13, 4, パリサンジェルマン,---,田中勝, 2.6, 20, -26, -15, 3,  3.6,②⑭⑭,13, 4, レッツゴｰアテネ,---,郷原  , 2.1, 45, -12,   0,15,464.2,⑯⑯⑯,13,18,Ｌサインオブゴッド, 55,勝浦  , 1.3, 67,  12, -15,17,301.4,⑤⑤⑤
14, 3,Ｍクリノダグラス, 18,大野  , 3.3, 12, -18, -25,11,350.6,⑨⑫⑬,14, 7, カルメンリング,---,デザｰ, 3.9,  9, -11, -41, 4, 12.2,②④④,14,13,Ｉイノセンス, 57,北村宏, 2.2, 48,   5, -17, 9, 47.8,②③⑦,14,13,Ｆタガノバスティｰユ, 61,熊沢  , 1.5, 65,* 15, -24, 9, 43.2,③③②
15, 1,Ｈナンゴクエンジェル, 31,二本柳, 3.7, 20,*  6, -48, 9,184.6,①①②,,,,,,,,,,,,,15, 9,Ｏモモイロロマンス, 22,五十冬, 2.8, 43,   6, -24, 6, 20.4,②③⑤,15, 9,Ｏタニオブゴｰルド, 48,北村宏, 1.7, 62,  10, -16,12,128.7,⑨⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｍマイネルパイレット, 50,梶    , 1.9, 60,   7, -12,16,264.4,⑫⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｋマイネルグロリアス, 55,松岡  , 2.1, 58,* 15, -34, 8, 41.4,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｑマキノタキシｰド, 35,木幡  , 3.4, 43,   9, -39,15,248.0,⑨⑪⑬
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,
"単勝:950円 複勝:09=240円 05=2,390円 11=610円 枠連:1,560円",,,,,,,,,,,,"単勝:1,500円 複勝:10=430円 05=170円 06=860円 枠連:2,200円",,,,,,,,,,,,単勝:200円 複勝:12=130円 16=160円 15=790円 枠連:320円,,,,,,,,,,,,単勝:570円 複勝:04=160円 14=110円 17=220円 枠連:450円,,,,,,,,,,,
"馬連:25,180円 ワイド:05-09=3,890円 09-11=1,130円 05-11=11,910円",,,,,,,,,,,,"馬連:2,550円 ワイド:05-10=1,040円 06-10=2,760円 05-06=2,730円",,,,,,,,,,,,"馬連:450円 ワイド:12-16=240円 12-15=1,330円 15-16=1,420円",,,,,,,,,,,,馬連:550円 ワイド:04-14=260円 04-17=600円 14-17=310円,,,,,,,,,,,
"馬単:55,380円 3連複:100,430円",,,,,,,,,,,,"馬単:6,410円 3連複:31,340円",,,,,,,,,,,,"馬単:750円 3連複:3,320円",,,,,,,,,,,,"馬単:1,500円 3連複:1,120円 3連単:7,040円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万 別定,,,,,,,,,,,,■11R  芝3600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾃｲﾔｰｽﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅダイワオンディｰヌ, 46,柴田善,, 66, -15,* 17, 3,  5.5,④⑤⑤, 1, 5, キンシャサノキセキ,---,五十冬,, 39, -48,* 13, 1,  1.8,③⑤④, 1,12,Ａダンスウイザｰド, 76,蛯名  ,, 81,*  5,* 15, 1,  2.2,⑥③②, 1, 6,Ａデルタブルｰス, 96,ペリエ,, 88,   3,  29, 1,  1.8,⑤⑤⑤
 2,13,Ａマイイｰジス, 53,吉田豊, 0.4, 56,*-12,   9, 5,  7.5,⑤①①, 2, 6, ヤクモキャット,---,後藤浩, 0.4, 30, -46,   9, 2,  3.9,⑥⑤⑥, 2,11,Ｅマチカネウソブキ, 72,吉田豊, 0.3, 79,   4,  14, 7, 24.6,⑤⑤④, 2, 2,Ｃエルノヴァ, 86,デザｰ, 0.0, 92,   2,* 32, 4, 10.2,⑧⑦⑦
 3, 5,Ｆミラクルトライ, 42,ボニヤ, 0.9, 50,*-13,   6, 6, 21.2,②②③, 3, 4, コスモストライプ,---,郷原  , 0.6, 20, -43,   2, 5, 16.8,③④④, 3,16,Ｏカオリエスペランサ, 63,小野  , 0.4, 75,*  5,   8,10, 55.5,①①①, 3, 1,Ｂサクラセンチュリｰ, 92,佐藤哲, 0.2, 89,   3,  30, 2,  4.4,⑨⑦⑦
 4,11,Ｄインベスタｰ, 46,ペリエ, 1.7, 47, -18,   7, 2,  5.1,⑨⑪⑨, 4, 3, スプリｰムラヴ,---,武士沢, 0.6, 20,*-40,  -1,10, 69.5,②②②, 4, 3,Ｄアサクササイレン, 72,ペリエ, 0.6, 77,  -1,* 18, 2,  2.9,⑬⑬⑬, 4, 4,Ｈラヴァリｰジェニオ, 75,五十冬, 0.2, 74,*  4,  18, 8, 54.8,②②①
 5, 7,Ｃモストロビアンコ, 50,後藤浩, 1.8, 40,*-13,  -4, 4,  5.8,①②②, 5, 2, リソウ,---,北村宏, 0.7, 17,*-40,  -2, 9, 59.2,①①①, 5, 1,Ｉスズカアジテｰタｰ, 69,丹内  , 0.6, 73,   2,   9,12, 90.9,⑨⑤⑥, 5,11,Ｅハイフレンドトライ, 80,小林淳, 0.4, 73,*  4,  18, 7, 54.6,③③③
