05年12月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1400m 2 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千両賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃヤマトマリオン, 51,安藤勝,, 56,  -8,*  1, 4, 10.8,⑥⑦⑥, 1,10, コウエイトライ,,岩崎  ,,,,, 6, 14.9,⑤⑤③, 1,10,Ａブライティアカｰム, 74,四位  ,, 76,* 11,  -1, 4,  6.4,①①①, 1,11,Ｃゴウゴウキリシマ, 63,中舘  ,, 72,*  7,   0, 5, 10.9,②②①
 2,14,Ｋシルクエクレｰル, 40,横山典, 0.3, 54,* -3,  -7, 3, 10.0,③②②, 2, 6, サフランブリザｰド,,金折  , 0.1,,,, 2,  4.3,①①①, 2, 8,Ｂウイングスオブヒロ, 73,プラｰ, 0.7, 68,   4,   1, 2,  3.2,④④④, 2, 4,Ｍフミノサチヒメ, 52,本田  , 0.1, 70,*  4,   1, 8, 35.7,②③③
 3, 5,Ｈヒシカツフォレスト, 43,角田  , 0.6, 50,  -6,  -7, 9, 49.0,⑤⑦⑥, 3, 1, マルカラスカル,,仲田  , 0.1,,,, 1,  3.0,③④③, 3, 1,Ｆタガノメガミ, 61,小原  , 0.8, 69,* 10,  -6, 5, 15.7,②③②, 3, 6,Ｇセイウンワキタツ, 61,松永  , 0.2, 67,   0,*  6, 4, 10.3,④⑥⑨
 4, 9,Ｂプリティアンブレラ, 53,武豊  , 0.7, 48, -10,* -4, 1,  1.8,⑫⑪⑩, 4,12, バアゼルゴｰルド,,高田  , 0.7,,,, 5, 10.8,⑥⑤⑥, 4, 2,Ｅセフティパラダイス, 62,安藤勝, 1.0, 66,   3,   0, 3,  5.7,⑤⑥⑤, 4, 3,Ｂワイキュｰブ, 72,岩田  , 0.4, 66,   0,*  3, 3,  8.8,⑫⑪⑨
 5,10,Ｇホｰマンラブリｰ, 46,飯田  , 0.8, 50,* -2, -13, 8, 46.0,①①①, 5,11, サンエムタロウ,,菊地昇, 1.7,,,,10, 74.8,③②②, 5, 5,Ｉキシュウレディ, 56,太宰  , 1.4, 60,  -3,*  4, 9, 87.7,⑪⑪⑪, 5, 5,Ｄウインレジェンド, 62,福永  , 0.4, 66,*  4,  -3, 2,  2.8,⑦③③
 6, 6,Ｄニシノマｰメイド, 48,太宰  , 0.9, 47,  -6, -10, 2,  3.3,⑨⑦⑥, 6, 2, ナムラエルゲルｰジ,,植野  , 2.1,,,, 8, 38.2,⑨⑨⑧, 6, 4,Ｈティボリサンライズ, 60,横山典, 1.4, 63,   2,  -1, 7, 46.0,⑨⑧⑦, 6,16,Ａプレザントウインド, 72,安藤勝, 0.7, 63,   0,  -2, 1,  2.4,⑬⑨⑤
 7, 7,Ｊニホンピロルｰジュ, 41,プラｰ, 1.0, 47,* -4, -13,11, 70.9,⑥④③, 7, 7, メイショウワグナｰ,,白坂  , 2.3,,,, 7, 35.5,⑧⑤⑦, 7,11,Ｇマイソｰルカラｰ, 61,福永  , 2.2, 56,* 11, -21, 1,  2.3,②②②, 6, 7,Ｋキシュウティアラ, 56,ホワイ, 0.7, 62,   2,  -5,13,176.3,⑨⑥⑤
 8,16,Ｎメイショウアマン, 29,松永  , 1.2, 44,  -5, -14,13,412.8,⑥④③, 8, 5, スリｰブラボｰ,,小坂  , 3.2,,,, 4,  5.6,②③③, 8, 7,Ｊライブリロデム, 56,松永  , 2.2, 54,   1,  -8,10,173.8,⑧⑧⑨, 8,14,Ｆオｰスミシャトル, 62,横山典, 0.9, 59,  -6,*  3, 7, 32.0,⑮⑮⑫
